price,number_of_reviews,rating,bedrooms
140,116,4.95,1
160,18,4.78,1
125,18,4.83,1
139,194,4.72,2
150,24,4.92,1
106,359,4.81,1
93,20,4.95,1
150,163,4.87,1
83,542,4.7,1
75,20,4.25,2
138,123,4.9,2
75,241,4.74,1
75,19,4.61,1
103,17,4.47,1
525,52,4.86,8
80,21,4.81,2
78,202,4.77,1
214,70,4.88,1
91,387,4.87,2
65,211,4.9,1
115,107,4.77,2
86,12,4.42,2
188,358,4.58,2
78,729,4.65,1
75,674,4.72,1
60,19,4.32,1
260,2,5,1
166,222,4.97,2
450,1,5,3
350,14,4.69,4
149,118,4.81,3
175,29,4.64,2
145,64,4.8,1
225,177,4.94,2
120,12,4.82,1
160,5,4.8,3
130,1,5,1
150,37,4.7,4
300,14,4.86,4
156,47,4.66,2
85,23,4.53,2
151,12,4.33,2
100,201,4.77,2
82,29,5,1
140,14,4.5,2
59,2,5,2
104,183,4.54,2
155,20,4.95,1
129,113,4.89,2
275,41,4.73,2
87,360,4.84,1
100,215,4.81,1
80,8,4.5,1
139,14,4.57,1
80,42,4.41,1
135,290,4.81,1
325,83,4.58,4
151,361,4.85,2
130,50,4.92,1
110,268,4.97,1
101,16,4.5,2
139,21,4.76,2
193,41,4.98,4
166,5,5,1
177,60,4.68,1
110,6,5,1
89,3,4.5,2
130,499,4.73,2
200,143,4.83,2
200,25,4.54,1
130,67,4.97,2
295,19,4.89,2
84,400,4.81,1
80,282,4.81,1
212,5,4.8,2
100,23,4.78,1
55,400,4.83,1
219,110,4.75,1
120,123,4.81,1
140,24,4.88,3
225,35,4.83,2
170,197,4.47,2
147,3,5,1
130,61,4.69,1
75,19,5,1
76,235,4.79,1
152,65,5,2
135,31,4.97,2
115,54,4.87,1
116,280,4.48,2
342,42,4.71,7
117,366,4.48,2
185,3,5,2
130,93,4.84,1
149,82,4.94,1
150,14,4.64,2
81,631,4.71,1
230,222,4.81,2
165,21,4.95,3
101,71,4.89,1
168,30,4.7,2
106,36,4.48,1
99,41,4.86,1
129,18,4.83,2
159,6,5,1
110,37,4.81,2
180,12,4.36,2
160,77,4.95,2
120,171,4.84,1
107,33,4.94,1
175,9,4.89,2
200,16,5,3
109,134,4.73,1
185,5,4.8,1
184,163,4.85,2
222,16,4.67,1
103,22,4.95,1
