condition,odometer,paint_color,price,year
good,237000,"",3500,2003
like new,160000,white,4000,2002
excellent,147000,grey,10800,2013
excellent,114500,blue,8500,2011
good,237000,"",3500,2003
like new,160000,white,4000,2002
good,133244,grey,5600,2008
good,237000,"",3500,2003
fair,250000,silver,1000,2006
excellent,152000,silver,9495,2013
excellent,166000,green,4995,2007
good,183600,"",5000,2003
excellent,210500,silver,5599,2010
good,152212,silver,4999,2002
excellent,82282,blue,11950,2012
excellent,47500,red,16850,2017
good,109000,blue,9100,2011
excellent,123000,blue,6500,2008
good,128000,"",8000,2010
excellent,101399,white,13995,2015
excellent,164397,silver,3995,2005
excellent,163246,"",8000,2011
excellent,165200,grey,5500,2011
like new,54481,grey,500,2014
excellent,135000,"",5900,2002
good,40200,red,14500,2012
fair,180500,grey,2200,2004
like new,36880,grey,22367,2019
good,165000,white,3900,2003
excellent,116980,silver,12999,2013
excellent,56212,"",17499,2017
excellent,116980,silver,12999,2013
good,237284,silver,5000,2009
like new,181000,blue,4900,2008
good,236000,green,4000,2007
excellent,56212,"",17499,2017
good,163508,grey,4800,2007
good,165000,white,3900,2003
excellent,179000,"",4500,2005
good,161687,silver,5995,2007
excellent,56212,"",17499,2017
good,210000,"",2250,1997
excellent,125600,grey,9500,2012
excellent,185000,"",2950,2000
like new,148000,custom,3350,2005
like new,74000,silver,6700,1993
good,213000,grey,7000,2012
good,146300,red,7490,2007
good,104016,grey,13595,2016
like new,118811,"",6000,2009
excellent,57320,black,10490,2015
good,280000,green,1800,1999
like new,118811,"",6300,2009
excellent,130000,"",9800,2012
excellent,114093,grey,7900,2010
like new,44000,white,11200,2014
excellent,161000,silver,6975,2009
good,162740,white,8995,2009
excellent,126291,grey,12999,2016
excellent,58890,silver,17800,2017
excellent,126291,grey,12999,2016
good,165400,blue,5200,2007
good,155000,white,2500,2001
excellent,140000,"",6700,2009
good,200000,white,2900,1997
excellent,180000,blue,6500,2010
excellent,193115,silver,3850,2000
excellent,129043,grey,11995,2016
excellent,189000,silver,4100,2005
good,219499,white,5000,2007
excellent,210000,brown,2450,1998
excellent,185623,"",5900,2008
excellent,144000,"",5995,2002
excellent,260000,"",4995,2005
excellent,185623,"",5900,2008
excellent,126000,grey,9600,2012
like new,120783,blue,10999,2012
excellent,129043,grey,11995,2016
excellent,139000,white,6900,2009
excellent,49549,black,17499,2017
excellent,130695,grey,5999,2004
fair,280000,"",800,1999
excellent,90200,silver,5800,2005
excellent,16657,brown,21900,2018
excellent,77588,silver,9900,2007
good,99742,black,10495,2010
good,188373,silver,5000,2009
excellent,161000,silver,6975,2009
good,247000,black,2900,2005
excellent,183000,red,5250,2007
good,193000,black,8000,2012
excellent,107561,silver,13900,2015
fair,100620,black,4800,2009
excellent,136000,"",6997,2004
excellent,87432,white,9900,2012
like new,25794,white,17900,2019
excellent,126291,grey,12999,2016
excellent,87432,white,9900,2012
excellent,102129,green,10998,2012
like new,25794,white,17900,2019
excellent,136000,"",6997,2004
excellent,119000,red,5900,2009
excellent,63000,white,3199,1995
excellent,174382,silver,2500,1999
excellent,136000,"",6997,2004
excellent,159000,"",2500,2003
excellent,136000,"",6997,2004
excellent,136000,"",6997,2004
good,230000,green,2000,1998
excellent,119507,"",7500,2008
salvage,190000,"",1000,1997
