Historical Data,,,,,,,,
From 2021-08-31 to 2023-08-30,,,,,,,,
NL0010273215,,,,,,,,
Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Print table
31/8/2021,713.8,717.7,699.9,704.5,704.5,978555,36599,
1/9/2021,712.4,715.5,706.4,714.2,714.2,674506,38527,
2/9/2021,713.9,723.4,708.4,722.2,722.2,533840,29229,
3/9/2021,725.3,725.7,712,721.8,721.8,624357,33299,
6/9/2021,726,743.5,725.8,740.9,740.9,449696,24855,
7/9/2021,740.4,741.9,723.9,730.2,730.2,759491,41733,
8/9/2021,725,730.3,720,722.4,722.4,821697,46063,
9/9/2021,721.7,728.7,715.7,721.4,721.4,669779,39984,
10/9/2021,729.9,742.3,726,732.1,732.1,727852,40083,
13/9/2021,732.1,739.2,730,735,735,615567,38024,
14/9/2021,735.5,753.4,733.1,753.4,753.4,743431,39400,
15/9/2021,754,764.4,744.1,745.1,745.1,787789,44338,
16/9/2021,750,756,741.7,748.1,748.1,880911,49488,
17/9/2021,756,756.6,726.8,730.9,730.9,2721594,61233,
20/9/2021,721.7,725.5,709,717.5,717.5,946204,56555,
21/9/2021,718,735,717.2,731.7,731.7,712479,37018,
22/9/2021,737,738.7,724.6,738.7,738.7,530393,31934,
23/9/2021,746,757.5,745.9,753.8,753.8,639308,36288,
24/9/2021,750.1,750.1,738.4,739.4,739.4,575754,36534,
27/9/2021,745,747.4,715.1,716.9,716.9,751772,47092,
28/9/2021,708.4,710.8,665.2,665.2,665.2,1853556,108957,
29/9/2021,656.7,680.8,647.7,647.7,647.7,1618592,86054,
30/9/2021,655.7,672.1,645.9,645.9,645.9,1461784,78982,
1/10/2021,636.8,644.2,628.6,632.5,632.5,937842,51707,
4/10/2021,630.5,633.4,610,611.6,611.6,976827,59612,
5/10/2021,615.4,639.4,612,636.9,636.9,1064300,70552,
6/10/2021,627.8,635.9,612.8,629.3,629.3,909098,60847,
7/10/2021,645.1,651.5,634.2,651.5,651.5,972750,60875,
8/10/2021,649.5,652.5,633.6,634.6,634.6,720528,43862,
11/10/2021,631.3,635.3,617.2,630.3,630.3,644019,43988,
12/10/2021,620.2,638.2,617.9,626.4,626.4,659081,39410,
13/10/2021,625,648.3,622.3,641.5,641.5,846464,52189,
14/10/2021,660,667.4,651.7,666.2,666.2,856760,48219,
15/10/2021,682,683.2,668.8,676.3,676.3,1176602,43442,
18/10/2021,680.3,680.4,662.3,674.9,674.9,676915,43674,
19/10/2021,683,686.1,674.1,683,683,653925,37664,
20/10/2021,669,676.6,650.9,657.1,657.1,922864,45236,
21/10/2021,653.9,669.7,649.6,666.3,666.3,715812,39931,
22/10/2021,684,694.7,676,690.5,690.5,821946,38331,
25/10/2021,690.3,691.7,682.7,685.6,685.6,666094,37940,
26/10/2021,681.7,688.8,677.6,679.9,679.9,625280,38234,
27/10/2021,685.4,695.6,683.7,694.8,694.8,781371,39391,
28/10/2021,693.1,706.4,690,698.4,698.4,884218,46884,
29/10/2021,691.4,703.2,684.4,700.5,700.5,960956,37216,
1/11/2021,707.4,708.1,688.9,696.6,696.6,1131379,36130,
2/11/2021,695.7,705.5,693.5,704.8,704.8,701431,37313,
3/11/2021,701,708,699.8,707.4,707.4,698984,41685,
4/11/2021,723.1,730.8,711.1,725,725,730954,32794,
5/11/2021,734.8,746.9,730.4,737.1,737.1,944695,55450,
8/11/2021,731,741.9,730.2,734.8,734.8,475001,28144,
9/11/2021,730,737.2,725.7,731.7,731.7,552539,32689,
10/11/2021,731.8,738.2,709.8,719.7,719.7,765659,42301,
11/11/2021,714.9,731.4,711.2,730.2,730.2,469250,24072,
12/11/2021,731.8,738.9,725.3,738.9,738.9,503571,26651,
15/11/2021,745,753.1,741.4,752.6,752.6,582736,34664,
16/11/2021,756,758.5,746.7,754.5,754.5,557144,28716,
17/11/2021,758.3,766.3,754.7,765.5,765.5,670823,38216,
18/11/2021,765.4,776.9,764.2,770.5,770.5,688413,36572,
19/11/2021,770.5,777.5,755.5,759.9,759.9,1626783,47167,
22/11/2021,761,768.1,747,747.3,747.3,692935,37178,
23/11/2021,735.6,736,704.2,706.1,706.1,1128884,63517,
24/11/2021,715,717.5,690,709,709,1030415,52631,
25/11/2021,717.6,719,705.1,711,711,499843,32828,
26/11/2021,682.9,709.3,670,685.6,685.6,1231231,63837,
29/11/2021,699.7,710.9,699.7,704.8,704.8,1023473,59712,
30/11/2021,702,722.1,690,699.6,699.6,2243637,68650,
1/12/2021,708.5,733.2,699.1,732.9,732.9,797764,38654,
2/12/2021,711,716.2,687.8,690.7,690.7,1334584,72357,
3/12/2021,698,702.1,673.3,681.2,681.2,988532,51694,
6/12/2021,687.2,691.2,656,662.4,662.4,1044631,58639,
7/12/2021,684.7,717.4,679.3,717.4,717.4,874048,45595,
8/12/2021,719.8,722.6,703.2,705.5,705.5,571329,30016,
9/12/2021,710.9,713.4,690.3,691,691,556092,28277,
10/12/2021,683.8,693.4,678.7,685,685,509934,27094,
13/12/2021,692.4,700.4,678.3,679.2,679.2,618439,28571,
14/12/2021,682.1,687.4,660.6,661,661,746348,42810,
15/12/2021,675.1,683,671.5,678.8,678.8,649456,32180,
16/12/2021,710,711.8,675.8,675.8,675.8,1060317,51081,
17/12/2021,671.5,671.8,657.3,662,662,2932273,48806,
20/12/2021,652.8,669.8,641,660.2,660.2,690190,37663,
21/12/2021,679.1,689.3,669.5,684,684,735987,40488,
22/12/2021,692,697.4,683.9,697.4,697.4,441386,20411,
23/12/2021,698.8,707.8,692.4,707.2,707.2,486043,20922,
24/12/2021,710,710,701.5,702.9,702.9,84141,5430,
27/12/2021,700,715.6,695.4,713.1,713.1,347324,19781,
28/12/2021,716.8,724.5,711,715.3,715.3,331884,17899,
29/12/2021,716,716.5,699.5,703.5,703.5,313441,19151,
30/12/2021,709,718.3,706.2,710.4,710.4,475018,23584,
31/12/2021,712.8,713,706.7,706.7,706.7,105156,4398,
3/1/2022,709,716.9,693.6,701.7,701.7,547270,29988,
4/1/2022,708.7,712.8,674.7,681.3,681.3,618866,29974,
5/1/2022,687.1,692.8,669.3,670.9,670.9,655169,34180,
6/1/2022,650.7,660.7,636.7,658.5,658.5,975136,51866,
7/1/2022,675,678.5,655.5,664.9,664.9,979839,49699,
10/1/2022,667.5,669.8,621.1,622.3,622.3,1321972,65503,
11/1/2022,643.5,645.2,618.6,627,627,1384772,70817,
12/1/2022,640.9,656,633.1,646.3,646.3,805667,43281,
13/1/2022,657.7,678.2,656.2,662.8,662.8,819569,42676,
14/1/2022,644,650.8,637.3,642.2,642.2,991542,56907,
17/1/2022,648.8,661.6,636.5,656.2,656.2,446598,28053,
18/1/2022,648,653.2,637.7,641.4,641.4,882238,47826,
19/1/2022,640,652.5,620.3,626.2,626.2,957106,53816,
20/1/2022,626.5,642,617.7,640,640,834230,49425,
21/1/2022,623,635.5,617.5,629.3,629.3,1509008,59944,
24/1/2022,620,628.5,577.7,585,585,1773437,95579,
25/1/2022,596.7,596.8,569.1,575.5,575.5,1283438,72253,
26/1/2022,580.8,596.7,580.1,590.1,590.1,966271,49653,
27/1/2022,570.5,598.5,568.4,582.6,582.6,985572,52808,
28/1/2022,574.3,578.9,556.3,566.1,566.1,1296113,69230,
31/1/2022,587.9,594.6,578.5,594.2,594.2,1133780,52580,
1/2/2022,605,612.4,591.8,600.4,600.4,837222,45806,
2/2/2022,615,615.4,598.1,598.5,598.5,660480,37866,
3/2/2022,601.6,601.6,573.8,573.8,573.8,807646,40646,
4/2/2022,572.7,579.1,559.7,564.2,564.2,901325,47851,
7/2/2022,574.9,578.2,561.4,572.6,572.6,592597,29538,
8/2/2022,569.8,573,556.9,566.5,566.5,663374,37697,
