"salary","age","college","grad","comten","ceoten","profits"
1161000,49,1,1,9,2,966000000
600000,43,1,1,10,10,48000000
379000,51,1,1,9,3,40000000
651000,55,1,0,22,22,-54000000
497000,44,1,1,8,6,28000000
1067000,64,1,1,7,7,614000000
945000,59,1,0,35,10,24000000
1261000,63,1,1,32,8,191000000
503000,47,1,1,4,4,7000000
1094000,64,1,1,39,5,230000000
601000,54,1,1,26,7,34000000
355000,66,1,0,39,8,8000000
1200000,72,1,0,37,37,35000000
697000,51,1,0,25,1,234000000
1041000,63,1,1,21,11,91000000
245000,44,1,1,7,7,24000000
817000,68,1,0,38,4,55000000
1675000,71,0,0,31,12,115000000
971000,72,1,1,33,24,69000000
609000,58,1,0,36,1,69000000
470000,60,1,1,20,6,210000000
867000,59,1,0,36,14,81000000
752000,54,1,0,32,4,193000000
246000,51,1,0,8,8,13000000
825000,56,1,1,4,4,295000000
358000,50,1,1,23,4,25000000
1162000,58,1,0,24,6,226000000
270000,43,1,0,15,2,28000000
829000,56,1,0,14,8,184000000
300000,77,0,0,45,26,483000000
1627000,62,1,1,13,4,596000000
1237000,63,1,1,37,9,108000000
540000,61,1,1,37,1,549000000
1798000,66,1,1,21,14,338000000
474000,40,1,0,18,1,117000000
1336000,60,1,1,21,13,562000000
541000,51,1,0,30,4,82000000
129000,66,1,1,4,4,28000000
1700000,54,1,1,21,5,1200000000
1750000,66,1,1,31,24,1400000000
624000,61,1,1,21,13,109000000
791000,66,1,0,14,8,-60000000
1487000,51,1,0,3,3,182000000
2021000,56,1,0,34,3,2700000000
1550000,47,1,1,19,3,120000000
401000,64,1,0,44,8,57000000
1295000,62,1,0,8,8,1300000000
449000,56,1,0,31,1,37000000
456000,56,1,1,9,3,34000000
1142000,53,1,1,30,1,1900000000
577000,64,1,0,26,2,287000000
600000,56,1,1,18,7,-40000000
649000,44,1,1,4,4,17000000
822000,60,1,0,22,20,77000000
1080000,52,1,0,18,5,55000000
1738000,54,0,0,34,12,842000000
581000,54,1,0,19,19,23000000
912000,54,1,0,9,9,239000000
650000,69,1,0,37,13,40000000
2199000,52,1,1,8,8,475000000
609000,53,1,1,15,15,34000000
1946000,73,1,0,25,21,484000000
552000,52,1,0,30,1,308000000
481000,59,1,1,26,4,90000000
526000,45,1,0,8,7,106000000
471000,60,1,0,3,2,7000000
630000,56,1,0,29,1,-55000000
622000,57,1,0,35,4,143000000
999000,52,1,0,28,17,21000000
585000,60,1,1,36,10,33000000
1107000,57,1,0,17,6,149000000
1099000,59,1,0,34,10,182000000
425000,86,1,1,13,13,11000000
2792000,40,1,0,11,11,35000000
350000,54,1,0,31,4,46000000
363000,58,1,1,36,6,80000000
2265000,63,1,1,35,6,1700000000
377000,45,1,0,7,5,57000000
879000,63,1,1,21,9,212000000
720000,49,1,0,12,12,23000000
950000,63,1,0,27,14,6000000
1143000,67,0,0,23,3,56000000
1064000,58,1,0,27,3,195000000
1253000,60,1,1,36,5,142000000
462000,58,1,1,23,0,50000000
174000,69,1,0,13,13,6000000
474000,63,1,0,41,4,175000000
1248000,48,1,1,21,7,423000000
1101000,62,1,1,32,3,96000000
348000,43,1,1,12,10,79000000
650000,55,1,1,28,5,-438000000
875000,58,1,1,32,10,308000000
1600000,61,1,0,4,1,877000000
1500000,55,1,1,30,4,665000000
323000,39,1,1,15,3,63000000
459000,59,1,0,33,3,40000000
925000,56,1,1,26,12,67000000
375000,46,1,1,4,4,20000000
447000,53,1,0,4,1,16000000
1340000,55,1,0,13,10,131000000
1749000,57,1,1,26,11,40000000
491000,43,1,1,21,2,54000000
5299000,64,1,0,42,13,119000000
431000,58,1,1,33,3,36000000
729000,50,1,1,15,3,182000000
1284000,54,1,1,32,3,1300000000
1373000,57,1,0,36,8,1600000000
989000,40,1,0,18,5,30000000
515000,52,1,1,27,1,51000000
1301000,50,1,1,19,15,130000000
834000,58,1,0,35,1,63000000
849000,46,1,1,24,24,36000000
100000,61,1,1,26,26,394000000
679000,62,1,0,40,6,-463000000
567000,56,1,0,31,10,65000000
559000,54,1,0,22,2,13000000
704000,52,1,1,6,6,8000000
308000,45,1,1,14,14,39000000
1392000,48,1,1,6,6,51000000
389000,55,1,0,29,4,38000000
790000,69,1,0,45,37,140000000
396000,80,1,0,58,28,53000000
398000,54,1,0,4,4,69000000
707000,46,1,1,6,1,26000000
984000,60,1,0,7,4,135000000
410000,55,1,0,36,20,34000000
1095000,60,1,1,33,5,1400000000
694000,61,1,1,35,19,75000000
834000,61,1,1,32,0,364000000
1630000,39,1,1,8,8,27000000
493000,55,1,1,4,1,80000000
625000,57,0,0,36,9,87000000
483000,52,1,1,18,14,35000000
733000,60,1,0,8,8,18000000
2102000,67,1,1,41,20,1700000000
853000,58,1,0,34,34,33000000
345000,54,1,1,33,0,56000000
800000,57,1,1,12,9,32000000
764000,55,1,1,31,16,145000000
806000,59,1,1,3,3,257000000
310000,40,1,0,18,1,60000000
1119000,61,1,0,34,9,71000000
1287000,59,1,1,4,3,222000000
1170000,57,1,1,9,3,208000000
880000,62,1,0,36,12,229000000
1091000,33,1,0,9,9,36000000
1100000,65,1,0,18,6,-271000000
650000,53,1,1,5,4,40000000
607000,38,1,1,7,3,38000000
1133000,63,1,0,9,9,37000000
393000,58,1,1,36,6,40000000
605000,53,1,0,16,4,30000000
1444000,59,1,1,2,2,401000000
1033000,62,1,1,30,1,478000000
1142000,50,1,1,11,3,166000000
537000,46,1,1,20,20,17000000
693000,42,1,0,17,12,206000000
439000,57,1,1,26,12,280000000
