"team","wins","draws","losses","goals_for","goals_against"
"AZ",20,7,7,68,35
"Ajax",20,9,5,86,38
"Excelsior",9,5,20,32,71
"FC Emmen",6,10,18,33,65
"FC Groningen",4,6,24,31,75
"FC Twente",18,10,6,66,27
"FC Utrecht",15,9,10,55,50
"FC Volendam",10,6,18,42,71
"Feyenoord",25,7,2,81,30
"Fortuna Sittard",10,6,18,39,62
"Go Ahead Eagles",10,10,14,46,56
"NEC",8,15,11,42,45
"PSV",23,6,5,89,40
"RKC Waalwijk",11,8,15,50,64
"SC Cambuur",5,4,25,26,69
"Sparta Rotterdam",17,8,9,60,37
"Vitesse",10,10,14,45,50
"sc Heerenveen",12,10,12,44,50
