
Sales data for the marketing analysis of product 3854

Date,Price,Sales,Campaign,Remark
04|30|24,€9.99,2320, No,""
04|29|24,€9.99,942, No,""
---------,-----,----,---,---
05|31|24,€9.99,1732, No,""
05|30|24,€9.99,1751, No,""
05|29|24,€9.99,1941, No,""
05|28|24,€7.99,2568, No,""
05|27|24,€7.99,1167, No,""
05|26|24,€9.99,1806, No,""
05|25|24,€9.99,2336, No,""
05|24|24,€9.99,3589, No,""
05|23|24,€9.99,2089, No,""
05|22|24,€9.99,2649, No,""
05|21|24,€9.99,2745, No,""
05|20|24,€9.99,4787, No,Whit Monday
05|19|24,€9.99,4717, No,Whit Sunday
05|18|24,€9.99,3361, No,""
05|17|24,€9.99,1610, No,""
05|16|24,€9.99,2484, No,""
05|15|24,€9.99,1419, No,""
05|14|24,€9.99,886, No,""
05|13|24,€9.99,1651, No,""
05|12|24,€9.99,4519, No,""
05|11|24,€9.99,3576, No,""
05|10|24,€9.99,2263, No,""
05|09|24,€9.99,4359, No,Ascension Day
05|08|24,€9.99,2444, No,""
05|07|24,€9.99,1947, No,""
05|06|24,€9.99,2652, No,""
05|05|24,€9.99,4361, No,Liberation Day
05|04|24,€9.99,1996, No,""
05|03|24,€9.99,2112, No,""
05|02|24,€9.99,2890, No,""
05|01|24,€9.99,1642, No,""
---------,-----,----,---,---
06|30|24,€9.99,3131, No,""
06|29|24,€9.99,3128, No,""
06|28|24,€9.99,1156, No,""
06|27|24,€9.99,1802, No,""
06|26|24,€9.99,998, No,""
06|25|24,€9.99,2296, No,""
06|24|24,€9.99,1384, No,""
06|23|24,€9.99,3902, No,""
06|22|24,€9.99,3364, No,""
06|21|24,€9.99,3443, No,""
06|20|24,€9.99,2717, No,""
06|19|24,€9.99,1693, No,""
06|18|24,€9.99,3506,Yes,""
06|17|24,€9.99,3564,Yes,""
06|16|24,€9.99,4360,Yes,""
06|15|24,€9.99,4100,Yes,""
06|14|24,€9.99,4005,Yes,""
06|13|24,€9.99,3027,Yes,""
06|12|24,€9.99,3907,Yes,""
06|11|24,€9.99,2975, No,""
06|10|24,€9.99,2009, No,""
06|09|24,€9.99,4944, No,""
06|08|24,€9.99,4454, No,""
06|07|24,€9.99,2214, No,""
06|06|24,€9.99,3086, No,""
06|05|24,€9.99,1923, No,""
06|04|24,€5.99,3128, No,""
06|03|24,€5.99,1456, No,""
06|02|24,€9.99,2755, No,""
06|01|24,€9.99,3469, No,""
---------,-----,----,---,---
07|31|24,€9.99,1706, No,""
07|30|24,€9.99,1154, No,""
07|29|24,€9.99,2100, No,""
07|28|24,€9.99,3573, No,""
07|27|24,€9.99,2740, No,""
07|26|24,€9.99,3410, No,""
07|25|24,€9.99,2062, No,""
07|24|24,€9.99,2941, No,""
07|23|24,€9.99,2943, No,""
07|22|24,€9.99,2488, No,""
07|21|24,€9.99,2865, No,""
07|20|24,€9.99,2337, No,""
07|19|24,€9.99,1974, No,""
07|18|24,€9.99,1905, No,""
07|17|24,€9.99,2036, No,""
07|16|24,€9.99,1969, No,""
07|15|24,€9.99,1766, No,""
07|14|24,€9.99,2971, No,""
07|13|24,€9.99,3540, No,""
07|12|24,€9.99,3459, No,""
07|11|24,€9.99,2407, No,""
07|10|24,€9.99,2561, No,""
07|09|24,€9.99,2915, No,""
07|08|24,€9.99,1335, No,""
07|07|24,€9.99,2861, No,""
07|06|24,€9.99,3030, No,""
07|05|24,€9.99,2100, No,""
07|04|24,€9.99,3577, No,""
07|03|24,€9.99,2237, No,""
07|02|24,€9.99,3023, No,""
07|01|24,€9.99,1531, No,""
---------,-----,----,---,---
08|31|24,€9.99,3207, No,""
08|30|24,€9.99,1366, No,""
08|29|24,€9.99,3228, No,""
08|28|24,€9.99,1960, No,""
08|27|24,€6.99,2360, No,""
08|26|24,€6.99,1713, No,""
08|25|24,€6.99,2461, No,""
08|24|24,€6.99,1972, No,""
08|23|24,€6.99,2493, No,""
08|22|24,€6.99,3856, No,""
08|21|24,€6.99,2033, No,""
08|20|24,€9.99,923, No,""
08|19|24,€9.99,1995, No,""
08|18|24,€9.99,3016, No,""
08|17|24,€9.99,2621, No,""
08|16|24,€9.99,1584, No,""
08|15|24,€9.99,1656, No,""
08|14|24,€9.99,1987, No,""
08|13|24,€9.99,1489, No,""
08|12|24,€9.99,1391, No,""
08|11|24,€9.99,2286, No,""
08|10|24,€9.99,2453, No,""
08|09|24,€9.99,1882, No,""
08|08|24,€9.99,2356, No,""
08|07|24,€9.99,1943, No,""
08|06|24,€9.99,1710, No,""
08|05|24,€9.99,2044, No,""
08|04|24,€9.99,3388, No,""
08|03|24,€9.99,4267, No,""
08|02|24,€9.99,1764, No,""
08|01|24,€9.99,3078, No,""
---------,-----,----,---,---
09|01|24,€9.99,3172, No,""

