Date,Rate,ECB
,,
07/01/2013,,0%
08/01/2013,,0%
09/01/2013,,0%
10/01/2013,,0%
11/01/2013,,0%
12/01/2013,,0%
,,
01/01/2014,,0%
02/01/2014,,0%
03/01/2014,,0%
04/01/2014,,0%
05/01/2014,,0%
06/01/2014,,0%
07/01/2014,,-0.1%
08/01/2014,,-0.1%
09/01/2014,,-0.1%
10/01/2014,,-0.2%
11/01/2014,,-0.2%
12/01/2014,2.64,-0.2%
,,
01/01/2015,2.57,-0.2%
02/01/2015,2.65,-0.2%
03/01/2015,2.57,-0.2%
04/01/2015,2.6,-0.2%
05/01/2015,2.57,-0.2%
06/01/2015,2.59,-0.2%
07/01/2015,2.53,-0.2%
08/01/2015,2.55,-0.2%
09/01/2015,2.62,-0.2%
10/01/2015,2.61,-0.2%
11/01/2015,2.63,-0.2%
12/01/2015,2.5,-0.2%
,,
01/01/2016,2.52,-0.3%
02/01/2016,2.52,-0.3%
03/01/2016,2.41,-0.3%
04/01/2016,2.38,-0.4%
05/01/2016,2.39,-0.4%
06/01/2016,2.34,-0.4%
07/01/2016,2.38,-0.4%
08/01/2016,2.3,-0.4%
09/01/2016,2.32,-0.4%
10/01/2016,2.28,-0.4%
11/01/2016,2.22,-0.4%
12/01/2016,2.22,-0.4%
,,
01/01/2017,2.3,-0.4%
02/01/2017,2.26,-0.4%
03/01/2017,2.3,-0.4%
04/01/2017,2.33,-0.4%
05/01/2017,2.34,-0.4%
06/01/2017,2.28,-0.4%
07/01/2017,2.22,-0.4%
08/01/2017,2.26,-0.4%
09/01/2017,2.26,-0.4%
10/01/2017,2.17,-0.4%
11/01/2017,2.21,-0.4%
12/01/2017,2.16,-0.4%
,,
01/01/2018,2.17,-0.4%
02/01/2018,2.17,-0.4%
03/01/2018,2.13,-0.4%
04/01/2018,2.14,-0.4%
05/01/2018,2.1,-0.4%
06/01/2018,2.12,-0.4%
07/01/2018,2.12,-0.4%
08/01/2018,2.09,-0.4%
09/01/2018,2.08,-0.4%
10/01/2018,2.08,-0.4%
11/01/2018,2.09,-0.4%
12/01/2018,2.08,-0.4%
,,
01/01/2019,2.08,-0.4%
02/01/2019,2.08,-0.4%
03/01/2019,2.09,-0.4%
04/01/2019,2.04,-0.4%
05/01/2019,2.03,-0.4%
06/01/2019,2.04,-0.4%
07/01/2019,2.03,-0.4%
08/01/2019,2.02,-0.4%
09/01/2019,2.01,-0.4%
10/01/2019,1.92,-0.5%
11/01/2019,1.89,-0.5%
12/01/2019,1.9,-0.5%
,,
01/01/2020,1.92,-0.5%
02/01/2020,1.93,-0.5%
03/01/2020,1.88,-0.5%
04/01/2020,1.91,-0.5%
05/01/2020,1.93,-0.5%
06/01/2020,1.95,-0.5%
07/01/2020,1.95,-0.5%
08/01/2020,1.92,-0.5%
09/01/2020,1.93,-0.5%
10/01/2020,1.93,-0.5%
11/01/2020,1.93,-0.5%
12/01/2020,1.91,-0.5%
,,
01/01/2021,1.89,-0.5%
02/01/2021,1.86,-0.5%
03/01/2021,1.84,-0.5%
04/01/2021,1.84,-0.5%
05/01/2021,1.82,-0.5%
06/01/2021,1.84,-0.5%
07/01/2021,1.85,-0.5%
08/01/2021,1.84,-0.5%
09/01/2021,1.84,-0.5%
10/01/2021,1.82,-0.5%
11/01/2021,1.85,-0.5%
12/01/2021,1.84,-0.5%
,,
01/01/2022,1.85,-0.5%
02/01/2022,1.85,-0.5%
03/01/2022,1.89,-0.5%
04/01/2022,1.98,-0.5%
05/01/2022,2.1,-0.5%
06/01/2022,2.28,-0.5%
07/01/2022,2.44,-0.5%
08/01/2022,2.64,0%
09/01/2022,2.77,0%
10/01/2022,3.23,0.75%
11/01/2022,3.54,0.75%
12/01/2022,3.73,1.5%
,,
01/01/2023,3.96,2%
02/01/2023,4.06,2%
03/01/2023,4.3,2.5%
04/01/2023,4.31,3%
05/01/2023,4.42,3%
06/01/2023,4.57,3.25%
07/01/2023,4.63,3.5%
08/01/2023,4.72,3.5%
09/01/2023,4.79,3.75%
10/01/2023,4.9,4%
11/01/2023,5.09,4%
12/01/2023,5.13,4%
,,
01/01/2024,5.16,4%
02/01/2024,5.17,4%
03/01/2024,5.18,4%
04/01/2024,5.2,4%
05/01/2024,5.17,4%
06/01/2024,5.2,4%
07/01/2024,5.33,3.75%
08/01/2024,,3.75%
09/01/2024,,3.75%
