year,market,sales
2008,Domestic,3317
2008,Foreign,3596
2009,Domestic,3359
2009,Foreign,4060
2010,Domestic,3310
2010,Foreign,4038
2011,Domestic,3775
2011,Foreign,4167
2012,Domestic,4287
2012,Foreign,4165
2013,Domestic,4582
2013,Foreign,4258
2014,Domestic,4603
2014,Foreign,4455
2015,Domestic,4621
2015,Foreign,5151
2016,Domestic,4758
2016,Foreign,5562
2017,Domestic,5392
2017,Foreign,5506
2018,Domestic,4805
2018,Foreign,6163
2019,Domestic,4942
2019,Foreign,6197
2020,Domestic,5679
2020,Foreign,6743
2021,Domestic,5773
2021,Foreign,6989
2022,Domestic,6455
2022,Foreign,6473
