"r_and_d_spend","marketing_spend","state","profit"
165349.2,471784.1,"New York",192.26183
162597.7,443898.53,"California",191.79206
153441.51,407934.54,"Florida",191.05039
144372.41,383199.62,"New York",182.90199
142107.34,366168.42,"Florida",166.18794
131876.9,362861.36,"New York",156.99112
134615.46,127716.82,"California",156.12251
130298.13,323876.68,"Florida",155.7526
120542.52,311613.29,"New York",152.21177
123334.88,304981.62,"California",149.75996
101913.08,229160.95,"Florida",146.12195
100671.96,249744.55,"California",144.2594
93863.75,249839.44,"Florida",141.58552
91992.39,252664.93,"California",134.30735
119943.24,256512.92,"Florida",132.60265
114523.61,261776.23,"New York",129.91704
78013.11,264346.06,"California",126.99293
94657.16,282574.31,"New York",125.37037
91749.16,294919.57,"Florida",124.2669
86419.7,0,"New York",122.77686
76253.86,298664.47,"California",118.47403
78389.47,299737.29,"New York",111.31302
73994.56,303319.26,"Florida",110.35225
67532.53,304768.73,"Florida",108.73399
77044.01,140574.81,"New York",108.55204
64664.71,137962.62,"California",107.40434
75328.87,134050.07,"Florida",105.73354
72107.6,353183.81,"New York",105.00831
66051.52,118148.2,"Florida",103.28238
65605.48,107138.38,"New York",101.00464
61994.48,91131.24,"Florida",99.93759
61136.38,88218.23,"New York",97.48356
63408.86,46085.25,"California",97.42784
55493.95,214634.81,"Florida",96.77892
46426.07,210797.67,"California",96.7128
46014.02,205517.64,"New York",96.47951
28663.76,201126.82,"Florida",90.70819
44069.95,197029.42,"California",89.94914
20229.59,185265.1,"New York",81.22906
38558.51,174999.3,"California",81.00576
28754.33,172795.67,"California",78.23991
27892.92,164470.71,"Florida",77.79883
23640.93,148001.11,"California",71.49849
15505.73,35534.17,"New York",69.75898
22177.74,28334.72,"California",65.20033
1000.23,1903.93,"New York",64.92608
1315.46,297114.46,"Florida",49.49075
0,0,"California",42.55973
542.05,0,"New York",35.67341
0,45173.06,"California",14.6814
