"date","temp"
2025-05-01,28.4
2025-05-02,26.9
2025-05-03,20.1
2025-05-04,14.4
2025-05-05,14.1
2025-05-06,13.5
2025-05-07,16.9
2025-05-08,19.7
2025-05-09,20.8
2025-05-10,23.2
2025-05-11,26.1
2025-05-12,25.8
2025-05-13,24.3
2025-05-14,22.9
2025-05-15,21.2
2025-05-16,18.9
2025-05-17,20
2025-05-18,19.2
2025-05-19,22.5
2025-05-20,23.6
2025-05-21,20.5
2025-05-22,16.4
2025-05-23,16
2025-05-24,15.5
2025-05-25,20.2
2025-05-26,19.1
2025-05-27,17.6
2025-05-28,19.1
2025-05-29,19.9
2025-05-30,23.7
2025-05-31,26.9
2025-06-01,21
2025-06-02,20.6
2025-06-03,23.5
2025-06-04,20.2
2025-06-05,20.5
2025-06-06,20.6
2025-06-07,17.5
2025-06-08,15.8
2025-06-09,18.9
2025-06-10,19.7
2025-06-11,21.8
2025-06-12,29
2025-06-13,33.5
2025-06-14,26.7
2025-06-15,23.2
2025-06-16,24.8
2025-06-17,27.4
2025-06-18,28
2025-06-19,26.1
2025-06-20,27.5
2025-06-21,32.1
2025-06-22,29.5
2025-06-23,21.7
2025-06-24,24.1
2025-06-25,29
2025-06-26,23.3
2025-06-27,24.8
2025-06-28,26.6
2025-06-29,29.2
2025-06-30,32.3
2025-07-01,37.5
2025-07-02,21
2025-07-03,21.4
2025-07-04,23.8
2025-07-05,25.2
2025-07-06,22.4
2025-07-07,22.2
2025-07-08,26.3
2025-07-09,23.8
2025-07-10,25
2025-07-11,25.9
2025-07-12,30
2025-07-13,32.6
2025-07-14,32.7
2025-07-15,33.2
2025-07-16,29.2
2025-07-17,22.2
2025-07-18,20.4
2025-07-19,27.1
2025-07-20,28.9
2025-07-21,24.3
2025-07-22,24.5
2025-07-23,19.5
2025-07-24,22.4
2025-07-25,22.5
2025-07-26,30.3
2025-07-27,26.5
2025-07-28,25.4
2025-07-29,24
2025-07-30,22.8
2025-07-31,23.9
2025-08-01,21.9
2025-08-02,21.4
2025-08-03,23.8
2025-08-04,25.2
2025-08-05,22.4
2025-08-06,22.2
2025-08-07,26.3
2025-08-08,23.8
2025-08-09,25
2025-08-10,25.9
2025-08-11,30
2025-08-12,32.6
2025-08-13,32.7
2025-08-14,33.2
2025-08-15,29.2
2025-08-16,22.2
2025-08-17,20.4
2025-08-18,27.1
2025-08-19,28.9
2025-08-20,24.3
2025-08-21,24.5
2025-08-22,19.5
2025-08-23,22.4
2025-08-24,22.5
2025-08-25,30.3
2025-08-26,26.5
2025-08-27,25.4
2025-08-28,24
2025-08-29,22.8
2025-08-30,23.9
2025-08-31,23.9
2025-09-01,23.6
2025-09-02,22.8
2025-09-03,23
2025-09-04,22.8
2025-09-05,20.8
2025-09-06,22.5
2025-09-07,26.4
2025-09-08,23.1
2025-09-09,15.8
2025-09-10,20.6
2025-09-11,19.1
2025-09-12,19.4
2025-09-13,18.6
2025-09-14,18.9
2025-09-15,20.1
2025-09-16,16.8
2025-09-17,17.5
2025-09-18,20.3
2025-09-19,25.3
2025-09-20,23.2
2025-09-21,19.1
2025-09-22,16.3
2025-09-23,17.9
2025-09-24,16.3
2025-09-25,16
2025-09-26,15.2
2025-09-27,16.1
2025-09-28,19
2025-09-29,20.8
2025-09-30,19.7
