address,postcode,price,area,num_rooms,lon,lat,price_per_sqm,four_digit_postcode
"Blasiusstraat 8 2, Amsterdam",1091 CR,685000.0,64,3,4.907736,52.356157,10703.125,1091
"Kromme Leimuidenstraat 13 H, Amsterdam",1059 EL,475000.0,60,3,4.850476,52.348586,7916.666666666667,1059
"Zaaiersweg 11 A, Amsterdam",1097 SM,850000.0,109,4,4.944774,52.343782,7798.165137614679,1097
"Tenerifestraat 40, Amsterdam",1060 TH,580000.0,128,6,4.789928,52.343712,4531.25,1060
"Winterjanpad 21, Amsterdam",1036 KN,720000.0,138,5,4.902503,52.410538,5217.391304347826,1036
"De Wittenkade 134 I, Amsterdam",1051 AM,450000.0,53,2,4.875024,52.382228,8490.566037735849,1051
"Pruimenstraat 18 B, Amsterdam",1033 KM,450000.0,87,3,4.896536,52.410585,5172.413793103448,1033
"Da Costakade 32 II, Amsterdam",1053 WL,590000.0,80,2,4.871555,52.371041,7375.0,1053
"Postjeskade 41 2, Amsterdam",1058 DG,399000.0,49,3,4.854671,52.363471,8142.857142857143,1058
"Van Ostadestraat 193 H, Amsterdam",1073 TM,300000.0,33,2,4.897142,52.353111,9090.90909090909,1073
"Sloterkade 152 1, Amsterdam",1058 HN,540000.0,69,3,4.851985,52.351244,7826.086956521739,1058
"KNSM-laan 609, Amsterdam",1019 LD,539000.0,88,3,4.942972,52.377442,6125.0,1019
"Blasiusstraat 17 II, Amsterdam",1091 CK,390000.0,45,3,4.908173,52.356446,8666.666666666666,1091
"Amstel 124 B, Amsterdam",1017 AD,575000.0,70,2,4.897782,52.366928,8214.285714285714,1017
"Blasiusstraat 50 II, Amsterdam",1091 CT,650000.0,86,3,4.909361,52.356532,7558.139534883721,1091
"Suikerpeerpad 39, Amsterdam",1036 KE,475000.0,105,5,4.900926,52.408311,4523.809523809524,1036
"Paramaribostraat 122 3, Amsterdam",1058 VP,700000.0,102,6,4.85452,52.36209,6862.745098039216,1058
"Burgemeester Hogguerstraat 273, Amsterdam",1064 CP,325000.0,78,3,4.829644,52.372068,4166.666666666667,1064
"Anna Blamansingel 274 VII, Amsterdam",1102 SX,399000.0,100,3,4.949572,52.317294,3990.0,1102
"Oostzaanstraat 271, Amsterdam",1013 WJ,375000.0,52,3,4.872555,52.392426,7211.538461538462,1013
"Keizersgracht 171 F, Amsterdam",1016 DP,1625000.0,199,6,4.88583,52.374742,8165.829145728643,1016
"Cornelis Troostplein 2 2, Amsterdam",1072 JK,575000.0,71,3,4.891161,52.351082,8098.591549295775,1072
"Thorn Prikkerstraat 93, Amsterdam",1062 BS,600000.0,114,4,4.837666,52.362011,5263.1578947368425,1062
"Kramatweg 58 A, Amsterdam",1095 JX,525000.0,75,3,4.945438,52.361355,7000.0,1095
"Bramzeilhof 56, Amsterdam",1034 LH,350000.0,110,5,4.921574,52.408269,3181.818181818182,1034
"Bruinvisstraat 36, Amsterdam",1035 HG,350000.0,89,3,4.88516,52.423543,3932.5842696629215,1035
"Arent Janszoon Ernststraat 41, Amsterdam",1083 GP,575000.0,134,5,4.887858,52.332103,4291.044776119403,1083
"Willem de Zwijgerlaan 115 II, Amsterdam",1056 JJ,375000.0,51,3,4.862875,52.373735,7352.941176470588,1056
"Colenbranderhof 30, Amsterdam",1065 BG,1650000.0,235,7,4.820848,52.358631,7021.276595744681,1065
"Dusartstraat 33 2, Amsterdam",1072 HN,325000.0,37,2,4.889539,52.351732,8783.783783783783,1072
"Churchill-laan 37 A, Amsterdam",1078 DE,800000.0,98,3,4.900342,52.346366,8163.265306122449,1078
"Prinseneiland 545, Amsterdam",1013 EC,1950000.0,258,4,4.887444,52.385346,7558.139534883721,1013
"Van Tuyll van Serooskerkenweg 86 H, Amsterdam",1076 JP,735000.0,83,3,4.86109,52.344643,8855.421686746988,1076
"Vondelstraat 51 hs, Amsterdam",1054 GJ,3925000.0,319,7,4.875471,52.361571,12304.075235109718,1054
"Kinkerstraat 215 D, Amsterdam",1053 DS,475000.0,74,3,4.865792,52.365372,6418.918918918919,1053
"Oldengaarde 116, Amsterdam",1083 TL,275000.0,31,2,4.883566,52.330963,8870.967741935483,1083
"Rustenburgerstraat 154 2, Amsterdam",1073 GJ,375000.0,47,2,4.899509,52.352717,7978.723404255319,1073
"J.J. Cremerplein 24 II, Amsterdam",1054 TL,570000.0,63,3,4.85856,52.359929,9047.619047619048,1054
"Oostenburgergracht 41 A, Amsterdam",1018 NB,375000.0,43,2,4.921855,52.368922,8720.93023255814,1018
"C.J.K. van Aalststraat 94 PP, Amsterdam",1019 JX,895000.0,163,6,4.93704,52.373016,5490.79754601227,1019
"John Franklinstraat 38 3, Amsterdam",1056 TD,365000.0,49,3,4.854277,52.371899,7448.9795918367345,1056
"Potgieterstraat 23 IV, Amsterdam",1053 XP,550000.0,62,3,4.874257,52.369627,8870.967741935483,1053
"Wamelstraat 76, Amsterdam",1106 DM,325000.0,91,4,4.987296,52.300656,3571.4285714285716,1106
"Nieuwe Prinsengracht 48 G, Amsterdam",1018 VS,429000.0,50,3,4.907585,52.363609,8580.0,1018
"Commelinstraat 9 H, Amsterdam",1093 TE,650000.0,120,4,4.924306,52.36344,5416.666666666667,1093
"Orteliusstraat 309 I, Amsterdam",1056 NZ,350000.0,55,3,4.847389,52.373198,6363.636363636364,1056
"Tweede Ceramstraat 10, Amsterdam",1095 BN,475000.0,79,3,4.942841,52.362693,6012.658227848101,1095
"1e Kekerstraat 77 PP, Amsterdam",1104 VA,325000.0,99,3,4.981149,52.314,3282.8282828282827,1104
"Rietveld Schröderpad 15, Amsterdam",1064 WX,425000.0,82,3,4.83186,52.364372,5182.926829268293,1064
"Beemsterstraat 98, Amsterdam",1024 BG,350000.0,77,4,4.948371,52.392858,4545.454545454545,1024
"Postjesweg 341, Amsterdam",1062 JS,350000.0,81,3,4.837764,52.363887,4320.9876543209875,1062
"Eastonstraat 86, Amsterdam",1068 JC,375000.0,93,4,4.815101,52.356914,4032.2580645161293,1068
"Adrichemstraat 15, Amsterdam",1013 DR,450000.0,73,3,4.877698,52.388468,6164.3835616438355,1013
"Vijzelstraat 91, Amsterdam",1017 HH,1185000.0,160,5,4.892374,52.363383,7406.25,1017
"IJdoornlaan 1449 F, Amsterdam",1034 BM,385000.0,74,3,4.91913,52.406915,5202.7027027027025,1034
"Amstelveenseweg 184 III, Amsterdam",1075 XR,687500.0,86,4,4.855875,52.352448,7994.186046511628,1075
"Zuideinde 387 D, Amsterdam",1035 PE,585000.0,52,4,4.891858,52.42145,11250.0,1035
"Amstel 13, Amsterdam",1011 PT,1295000.0,145,5,4.89952,52.367261,8931.034482758621,1011
"Egidiusstraat 42 3, Amsterdam",1055 GW,375000.0,61,3,4.851777,52.379483,6147.540983606557,1055
"Zeeburgerdijk 578, Amsterdam",1095 AN,500000.0,86,4,4.944196,52.366168,5813.953488372093,1095
