"date","open","high","low","close","adj_close","volume"
2023-11-08,4384.37,4391.2,4359.76,4382.78,4382.78,3729510000
2023-11-07,4366.21,4386.26,4355.41,4378.38,4378.38,3791230000
2023-11-06,4364.27,4372.21,4347.53,4365.98,4365.98,3656340000
2023-11-03,4334.23,4373.62,4334.23,4358.34,4358.34,4570960000
2023-11-02,4268.26,4319.72,4268.26,4317.78,4317.78,4669780000
2023-11-01,4201.27,4245.64,4197.74,4237.86,4237.86,4224900000
2023-10-31,4171.33,4195.55,4153.12,4193.8,4193.8,4249470000
2023-10-30,4139.39,4177.47,4132.94,4166.82,4166.82,3911140000
2023-10-27,4152.93,4156.7,4103.78,4117.37,4117.37,4019500000
2023-10-26,4175.99,4183.6,4127.9,4137.23,4137.23,4277640000
2023-10-25,4232.42,4232.42,4181.42,4186.77,4186.77,3869370000
2023-10-24,4235.79,4259.38,4219.43,4247.68,4247.68,3821820000
2023-10-23,4210.4,4255.84,4189.22,4217.04,4217.04,3776100000
2023-10-20,4273.85,4276.56,4223.03,4224.16,4224.16,4004030000
2023-10-19,4321.36,4339.54,4269.69,4278,4278,3969730000
2023-10-18,4357.35,4364.2,4303.84,4314.6,4314.6,3686030000
2023-10-17,4345.23,4393.57,4337.54,4373.2,4373.2,3794850000
2023-10-16,4342.37,4383.33,4342.37,4373.63,4373.63,3409960000
2023-10-13,4360.49,4377.1,4311.97,4327.78,4327.78,
2023-10-12,4380.94,4385.85,4325.43,4349.61,4349.61,3713140000
2023-10-11,4366.59,4378.64,4345.34,4376.95,4376.95,3601660000
2023-10-10,4339.75,4385.46,4339.64,4358.24,4358.24,3520240000
2023-10-09,4289.02,4341.73,4283.79,4335.66,4335.66,3174630000
2023-10-06,4234.79,4324.1,4219.55,4308.5,4308.5,3902030000
2023-10-05,4259.31,4267.13,4225.91,4258.19,4258.19,3581470000
2023-10-04,4233.83,4268.5,4220.48,4263.75,4263.75,3777600000
2023-10-03,4269.75,4281.15,4216.45,4229.45,4229.45,3953830000
2023-10-02,4284.52,4300.58,4260.21,4288.39,4288.39,3938660000
2023-09-29,4328.18,4333.15,4274.86,4288.05,4288.05,3865960000
2023-09-28,4269.65,4317.27,4264.38,4299.7,4299.7,3846230000
2023-09-27,4282.63,4292.07,4238.63,4274.51,4274.51,3875880000
2023-09-26,4312.88,4313.01,4265.98,4273.53,4273.53,3472340000
2023-09-25,4310.62,4338.51,4302.7,4337.44,4337.44,3195650000
2023-09-22,4341.74,4357.4,4316.49,4320.06,4320.06,3349570000
2023-09-21,4374.36,4375.7,4329.17,4330,4330,3662340000
2023-09-20,4452.81,4461.03,4401.38,4402.2,4402.2,3308450000
2023-09-19,4445.41,4449.85,4416.61,4443.95,4443.95,3614880000
2023-09-18,4445.13,4466.36,4442.11,4453.53,4453.53,3161230000
2023-09-15,4497.98,4497.98,4447.21,4450.32,4450.32,6932230000
2023-09-14,4487.78,4511.99,4478.69,4505.1,4505.1,3648720000
2023-09-13,4462.65,4479.39,4453.52,4467.44,4467.44,3529430000
2023-09-12,4473.27,4487.11,4456.83,4461.9,4461.9,3435740000
2023-09-11,4480.98,4490.77,4467.89,4487.46,4487.46,3369920000
2023-09-08,4451.3,4473.53,4448.38,4457.49,4457.49,3259290000
2023-09-07,4434.55,4457.81,4430.46,4451.14,4451.14,3763760000
2023-09-06,4490.35,4490.35,4442.38,4465.48,4465.48,3418850000
2023-09-05,4510.06,4514.29,4496.01,4496.83,4496.83,3526250000
2023-09-01,4530.6,4541.25,4501.35,4515.77,4515.77,3246260000
2023-08-31,4517.01,4532.26,4507.39,4507.66,4507.66,3946360000
2023-08-30,4500.34,4521.65,4493.59,4514.87,4514.87,3064110000
2023-08-29,4432.75,4500.14,4431.68,4497.63,4497.63,3354820000
2023-08-28,4426.03,4439.56,4414.98,4433.31,4433.31,2957230000
2023-08-25,4389.38,4418.46,4356.29,4405.71,4405.71,3296180000
2023-08-24,4455.16,4458.3,4375.55,4376.31,4376.31,3723470000
2023-08-23,4396.44,4443.18,4396.44,4436.01,4436.01,3837270000
