Gemeente,"Population Growth, 2018-2023"
Groningen (gemeente),3.6
Almere,9.2
Stadskanaal,-0.4
Veendam,0.4
Zeewolde,5.7
Achtkarspelen,0.8
Ameland,5.1
Harlingen,2.6
Heerenveen,2.9
Leeuwarden,3.8
Ooststellingwerf,1.5
Opsterland,1
Schiermonnikoog,5.4
Smallingerland,0.4
Terschelling,0.4
Vlieland,14
Weststellingwerf,2.9
Assen,2.5
Coevorden,1.1
Emmen,1.5
Hoogeveen,1.4
Meppel,6.1
Almelo,1.8
Borne,6.1
Dalfsen,4.9
Deventer,3.1
Enschede,1.9
Haaksbergen,0.9
Hardenberg,3.3
Hellendoorn,1.3
Hengelo (O.),2.1
Kampen,4.4
Losser,3.6
Noordoostpolder,6.7
Oldenzaal,0
Ommen,7.5
Raalte,3.6
Staphorst,4.9
Tubbergen,0.9
Urk,6.3
Wierden,2.5
Zwolle,5
Aalten,1
Apeldoorn,3.7
Arnhem,5.4
Barneveld,7.5
Beuningen,3
Brummen,1.6
Buren,5.2
Culemborg,5.4
Doesburg,-2.2
Doetinchem,3.2
Druten,4.3
Duiven,-2
Ede,6.4
Elburg,4
Epe,1.3
Ermelo,2.6
Harderwijk,4.4
Hattem,3.4
Heerde,3.3
Heumen,2.2
Lochem,2.2
Maasdriel,6.9
Nijkerk,6.3
Nijmegen,3.7
Oldebroek,3.2
Putten,2.4
Renkum,0.4
Rheden,0.1
Rozendaal,11.4
Scherpenzeel,6.5
Tiel,2.7
Voorst,3.7
Wageningen,6.6
Westervoort,0.7
Winterswijk,0.9
Wijchen,1.7
Zaltbommel,8.3
Zevenaar,3.8
Zutphen,2
Nunspeet,6
Dronten,7
Amersfoort,3.6
Baarn,1.5
De Bilt,2.4
Bunnik,5.3
Bunschoten,5.8
Eemnes,5.3
Houten,2
Leusden,5.8
Lopik,2.1
Montfoort,0.4
Renswoude,11.1
Rhenen,2.6
Soest,2.9
Utrecht (gemeente),5.9
Veenendaal,5.6
Woudenberg,10.3
Wijk bij Duurstede,1.3
IJsselstein,-2.4
Zeist,5.2
Nieuwegein,4.8
Aalsmeer,5
Alkmaar,3.1
Amstelveen,5.1
Amsterdam,5.1
Bergen (NH.),0.7
Beverwijk,4
Blaricum,15.7
Bloemendaal,3.1
Castricum,2.1
Diemen,16.6
Edam-Volendam,2.2
Enkhuizen,2.2
Haarlem,3.6
Haarlemmermeer,6
Heemskerk,0.7
Heemstede,2.6
Heiloo,5.3
Den Helder,1.4
Hilversum,4.3
Hoorn,3.3
Huizen,-0.3
Landsmeer,2.4
Laren (NH.),5.1
Medemblik,3.5
Oostzaan,-0.2
Opmeer,5.7
Ouder-Amstel,5.8
Purmerend,5
Schagen,2.3
Texel,2.9
Uitgeest,-0.4
Uithoorn,6.8
Velsen,1.4
Zandvoort,3.4
Zaanstad,3.1
Alblasserdam,1.7
Alphen aan den Rijn,4.1
Barendrecht,0.7
Drechterland,4.9
Capelle aan den IJssel,1
Delft,3.7
Dordrecht,2.5
Gorinchem,6
Gouda,3.6
's-Gravenhage (gemeente),5.7
Hardinxveld-Giessendam,4
Hendrik-Ido-Ambacht,4.9
Stede Broec,2.2
Hillegom,2.9
Katwijk,2.5
Krimpen aan den IJssel,0.7
Leiden,2.2
Leiderdorp,1.7
Lisse,2.8
Maassluis,8.6
Nieuwkoop,4.2
Noordwijk,5.9
Oegstgeest,7.8
Oudewater,0.5
Papendrecht,0
Ridderkerk,3.7
Rotterdam,3.9
Rijswijk (ZH.),11.1
Schiedam,3.5
Sliedrecht,4.7
Albrandswaard,4.5
Vlaardingen,4.2
Voorschoten,0.8
Waddinxveen,18.2
Wassenaar,3.9
Woerden,2.9
Zoetermeer,1.8
Zoeterwoude,12
Zwijndrecht,1
Borsele,2
Goes,4.8
West Maas en Waal,6.2
Hulst,0.5
Kapelle,2.6
Middelburg (Z.),3.4
Reimerswaal,3.1
Terneuzen,1
Tholen,4.9
Veere,0.8
Vlissingen,1.5
De Ronde Venen,4.5
Tytsjerksteradiel,1.7
Asten,3.1
Baarle-Nassau,4
Bergen op Zoom,3.8
Best,4.7
Boekel,6.3
Boxtel,2.8
Breda,1.6
Deurne,2.6
Pekela,1.3
Dongen,5.5
Eersel,6.5
Eindhoven,6.4
Etten-Leur,2.4
Geertruidenberg,2.7
Gilze en Rijen,1.9
Goirle,2.4
Helmond,4.4
's-Hertogenbosch,3.5
Heusden,4.8
Hilvarenbeek,3.8
Loon op Zand,2.9
"Nuenen, Gerwen en Nederwetten",4.3
Oirschot,3.6
Oisterwijk,3.3
Oosterhout,4.1
Oss,3.8
Rucphen,5.5
Sint-Michielsgestel,5.1
Someren,4.9
Son en Breugel,7.5
Steenbergen,-0.7
Waterland,2
Tilburg,5
Valkenswaard,2.8
Veldhoven,3.3
Vught,2.9
Waalre,5.3
Waalwijk,4.7
Woensdrecht,1.8
Zundert,4.6
Wormerland,3.9
Landgraaf,-1.2
Beek (L.),1.5
Beesel,0
Bergen (L.),0.1
Brunssum,-2
Gennep,4.2
Heerlen,0.4
Kerkrade,-0.4
Maastricht,0
Meerssen,-2.3
Mook en Middelaar,3.5
Nederweert,2.7
Roermond,3.8
Simpelveld,-1.6
Stein (L.),-0.9
Vaals,3.2
Venlo,2.1
Venray,3
Voerendaal,0.1
Weert,2
Valkenburg aan de Geul,0
Lelystad,7.3
Horst aan de Maas,3.2
Oude IJsselstreek,0.2
Teylingen,5.3
Utrechtse Heuvelrug,2.3
Oost Gelre,0.6
Koggenland,3.8
Lansingerland,5.9
Leudal,0.8
Maasgouw,2.6
Gemert-Bakel,3.4
Halderberge,3.9
Heeze-Leende,4.7
Laarbeek,5
Reusel-De Mierden,3.8
Roerdalen,-0.1
Roosendaal,0.8
Schouwen-Duiveland,2.6
Aa en Hunze,1.3
Borger-Odoorn,2.2
De Wolden,2.9
Noord-Beveland,7.4
Wijdemeren,4.2
Noordenveld,-2.4
Twenterand,-0.1
Westerveld,3.7
Lingewaard,1.8
Cranendonck,2.5
Steenwijkerland,3.7
Moerdijk,2
Echt-Susteren,0.7
Sluis,-1.2
Drimmelen,3.4
Bernheze,5.6
Alphen-Chaam,3.8
Bergeijk,3.8
Bladel,4.3
Gulpen-Wittem,0.1
Tynaarlo,3.4
Midden-Drenthe,2.5
Overbetuwe,2.6
Hof van Twente,1.5
Neder-Betuwe,7.8
Rijssen-Holten,1
Geldrop-Mierlo,3
Olst-Wijhe,3.7
Dinkelland,1.7
Westland,6.9
Midden-Delfland,0.7
Berkelland,0
Bronckhorst,-0.2
Sittard-Geleen,-0.8
Kaag en Braassem,7.3
Dantumadiel,1.5
Zuidplas,12.2
Peel en Maas,4.5
Oldambt,2.5
Zwartewaterland,4
Súdwest-Fryslân,1.4
Bodegraven-Reeuwijk,7
Eijsden-Margraten,1.7
Stichtse Vecht,1.9
Hollands Kroon,3.7
Leidschendam-Voorburg,3.7
Goeree-Overflakkee,5
Pijnacker-Nootdorp,7.5
Nissewaard,2.7
Krimpenerwaard,3.7
De Fryske Marren,0.5
Gooise Meren,5.3
Berg en Dal,1.8
Meierijstad,4.5
Waadhoeke,1.3
Westerwolde,7.5
Midden-Groningen,1
Beekdaelen,0
Montferland,3.5
Altena,5.4
West Betuwe,4.7
Vijfheerenlanden,9.2
Hoeksche Waard,4.2
Het Hogeland,0.5
Westerkwartier,3.4
Noardeast-Fryslân,1.2
Molenlanden,3
Eemsdelta,-2.2
Dijk en Waard,6.3
Land van Cuijk,3.2
Maashorst,3.3
Voorne aan Zee,3.4
