Gemeente,Provincie
Aa en Hunze,Drenthe
Aalsmeer,Noord-Holland
Aalten,Gelderland
Achtkarspelen,Fryslân
Alblasserdam,Zuid-Holland
Albrandswaard,Zuid-Holland
Alkmaar,Noord-Holland
Almelo,Overijssel
Almere,Flevoland
Alphen aan den Rijn,Zuid-Holland
Alphen-Chaam,Noord-Brabant
Altena,Noord-Brabant
Ameland,Fryslân
Amersfoort,Utrecht
Amstelveen,Noord-Holland
Amsterdam,Noord-Holland
Apeldoorn,Gelderland
Arnhem,Gelderland
Assen,Drenthe
Asten,Noord-Brabant
Baarle-Nassau,Noord-Brabant
Baarn,Utrecht
Barendrecht,Zuid-Holland
Barneveld,Gelderland
Beek (L.),Limburg
Beekdaelen,Limburg
Beesel,Limburg
Berg en Dal,Gelderland
Bergeijk,Noord-Brabant
Bergen (L.),Limburg
Bergen (NH.),Noord-Holland
Bergen op Zoom,Noord-Brabant
Berkelland,Gelderland
Bernheze,Noord-Brabant
Best,Noord-Brabant
Beuningen,Gelderland
Beverwijk,Noord-Holland
De Bilt,Utrecht
Bladel,Noord-Brabant
Blaricum,Noord-Holland
Bloemendaal,Noord-Holland
Bodegraven-Reeuwijk,Zuid-Holland
Boekel,Noord-Brabant
Borger-Odoorn,Drenthe
Borne,Overijssel
Borsele,Zeeland
Boxtel,Noord-Brabant
Breda,Noord-Brabant
Bronckhorst,Gelderland
Brummen,Gelderland
Brunssum,Limburg
Bunnik,Utrecht
Bunschoten,Utrecht
Buren,Gelderland
Capelle aan den IJssel,Zuid-Holland
Castricum,Noord-Holland
Coevorden,Drenthe
Cranendonck,Noord-Brabant
Culemborg,Gelderland
Dalfsen,Overijssel
Dantumadiel,Fryslân
Delft,Zuid-Holland
Deurne,Noord-Brabant
Deventer,Overijssel
Diemen,Noord-Holland
Dijk en Waard,Noord-Holland
Dinkelland,Overijssel
Doesburg,Gelderland
Doetinchem,Gelderland
Dongen,Noord-Brabant
Dordrecht,Zuid-Holland
Drechterland,Noord-Holland
Drimmelen,Noord-Brabant
Dronten,Flevoland
Druten,Gelderland
Duiven,Gelderland
Echt-Susteren,Limburg
Edam-Volendam,Noord-Holland
Ede,Gelderland
Eemnes,Utrecht
Eemsdelta,Groningen
Eersel,Noord-Brabant
Eijsden-Margraten,Limburg
Eindhoven,Noord-Brabant
Elburg,Gelderland
Emmen,Drenthe
Enkhuizen,Noord-Holland
Enschede,Overijssel
Epe,Gelderland
Ermelo,Gelderland
Etten-Leur,Noord-Brabant
De Fryske Marren,Fryslân
Geertruidenberg,Noord-Brabant
Geldrop-Mierlo,Noord-Brabant
Gemert-Bakel,Noord-Brabant
Gennep,Limburg
Gilze en Rijen,Noord-Brabant
Goeree-Overflakkee,Zuid-Holland
Goes,Zeeland
Goirle,Noord-Brabant
Gooise Meren,Noord-Holland
Gorinchem,Zuid-Holland
Gouda,Zuid-Holland
's-Gravenhage (gemeente),Zuid-Holland
Groningen (gemeente),Groningen
Gulpen-Wittem,Limburg
Haaksbergen,Overijssel
Haarlem,Noord-Holland
Haarlemmermeer,Noord-Holland
Halderberge,Noord-Brabant
Hardenberg,Overijssel
Harderwijk,Gelderland
Hardinxveld-Giessendam,Zuid-Holland
Harlingen,Fryslân
Hattem,Gelderland
Heemskerk,Noord-Holland
Heemstede,Noord-Holland
Heerde,Gelderland
Heerenveen,Fryslân
Heerlen,Limburg
Heeze-Leende,Noord-Brabant
Heiloo,Noord-Holland
Den Helder,Noord-Holland
Hellendoorn,Overijssel
Helmond,Noord-Brabant
Hendrik-Ido-Ambacht,Zuid-Holland
Hengelo (O.),Overijssel
's-Hertogenbosch,Noord-Brabant
Heumen,Gelderland
Heusden,Noord-Brabant
Hillegom,Zuid-Holland
Hilvarenbeek,Noord-Brabant
Hilversum,Noord-Holland
Hoeksche Waard,Zuid-Holland
Hof van Twente,Overijssel
Het Hogeland,Groningen
Hollands Kroon,Noord-Holland
Hoogeveen,Drenthe
Hoorn,Noord-Holland
Horst aan de Maas,Limburg
Houten,Utrecht
Huizen,Noord-Holland
Hulst,Zeeland
IJsselstein,Utrecht
Kaag en Braassem,Zuid-Holland
Kampen,Overijssel
Kapelle,Zeeland
Katwijk,Zuid-Holland
Kerkrade,Limburg
Koggenland,Noord-Holland
Krimpen aan den IJssel,Zuid-Holland
Krimpenerwaard,Zuid-Holland
Laarbeek,Noord-Brabant
Land van Cuijk,Noord-Brabant
Landgraaf,Limburg
Landsmeer,Noord-Holland
Lansingerland,Zuid-Holland
Laren (NH.),Noord-Holland
Leeuwarden,Fryslân
Leiden,Zuid-Holland
Leiderdorp,Zuid-Holland
Leidschendam-Voorburg,Zuid-Holland
Lelystad,Flevoland
Leudal,Limburg
Leusden,Utrecht
Lingewaard,Gelderland
Lisse,Zuid-Holland
Lochem,Gelderland
Loon op Zand,Noord-Brabant
Lopik,Utrecht
Losser,Overijssel
Maasdriel,Gelderland
Maasgouw,Limburg
Maashorst,Noord-Brabant
Maassluis,Zuid-Holland
Maastricht,Limburg
Medemblik,Noord-Holland
Meerssen,Limburg
Meierijstad,Noord-Brabant
Meppel,Drenthe
Middelburg (Z.),Zeeland
Midden-Delfland,Zuid-Holland
Midden-Drenthe,Drenthe
Midden-Groningen,Groningen
Moerdijk,Noord-Brabant
Molenlanden,Zuid-Holland
Montferland,Gelderland
Montfoort,Utrecht
Mook en Middelaar,Limburg
Neder-Betuwe,Gelderland
Nederweert,Limburg
Nieuwegein,Utrecht
Nieuwkoop,Zuid-Holland
Nijkerk,Gelderland
Nijmegen,Gelderland
Nissewaard,Zuid-Holland
Noardeast-Fryslân,Fryslân
Noord-Beveland,Zeeland
Noordenveld,Drenthe
Noordoostpolder,Flevoland
Noordwijk,Zuid-Holland
"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Nunspeet,Gelderland
Oegstgeest,Zuid-Holland
Oirschot,Noord-Brabant
Oisterwijk,Noord-Brabant
Oldambt,Groningen
Oldebroek,Gelderland
Oldenzaal,Overijssel
Olst-Wijhe,Overijssel
Ommen,Overijssel
Oost Gelre,Gelderland
Oosterhout,Noord-Brabant
Ooststellingwerf,Fryslân
Oostzaan,Noord-Holland
Opmeer,Noord-Holland
Opsterland,Fryslân
Oss,Noord-Brabant
Oude IJsselstreek,Gelderland
Ouder-Amstel,Noord-Holland
Oudewater,Utrecht
Overbetuwe,Gelderland
Papendrecht,Zuid-Holland
Peel en Maas,Limburg
Pekela,Groningen
Pijnacker-Nootdorp,Zuid-Holland
Purmerend,Noord-Holland
Putten,Gelderland
Raalte,Overijssel
Reimerswaal,Zeeland
Renkum,Gelderland
Renswoude,Utrecht
Reusel-De Mierden,Noord-Brabant
Rheden,Gelderland
Rhenen,Utrecht
Ridderkerk,Zuid-Holland
Rijssen-Holten,Overijssel
Rijswijk (ZH.),Zuid-Holland
Roerdalen,Limburg
Roermond,Limburg
De Ronde Venen,Utrecht
Roosendaal,Noord-Brabant
Rotterdam,Zuid-Holland
Rozendaal,Gelderland
Rucphen,Noord-Brabant
Schagen,Noord-Holland
Scherpenzeel,Gelderland
Schiedam,Zuid-Holland
Schiermonnikoog,Fryslân
Schouwen-Duiveland,Zeeland
Simpelveld,Limburg
Sint-Michielsgestel,Noord-Brabant
Sittard-Geleen,Limburg
Sliedrecht,Zuid-Holland
Sluis,Zeeland
Smallingerland,Fryslân
Soest,Utrecht
Someren,Noord-Brabant
Son en Breugel,Noord-Brabant
Stadskanaal,Groningen
Staphorst,Overijssel
Stede Broec,Noord-Holland
Steenbergen,Noord-Brabant
Steenwijkerland,Overijssel
Stein (L.),Limburg
Stichtse Vecht,Utrecht
Súdwest-Fryslân,Fryslân
Terneuzen,Zeeland
Terschelling,Fryslân
Texel,Noord-Holland
Teylingen,Zuid-Holland
Tholen,Zeeland
Tiel,Gelderland
Tilburg,Noord-Brabant
Tubbergen,Overijssel
Twenterand,Overijssel
Tynaarlo,Drenthe
Tytsjerksteradiel,Fryslân
Uitgeest,Noord-Holland
Uithoorn,Noord-Holland
Urk,Flevoland
Utrecht (gemeente),Utrecht
Utrechtse Heuvelrug,Utrecht
Vaals,Limburg
Valkenburg aan de Geul,Limburg
Valkenswaard,Noord-Brabant
Veendam,Groningen
Veenendaal,Utrecht
Veere,Zeeland
Veldhoven,Noord-Brabant
Velsen,Noord-Holland
Venlo,Limburg
Venray,Limburg
Vijfheerenlanden,Utrecht
Vlaardingen,Zuid-Holland
Vlieland,Fryslân
Vlissingen,Zeeland
Voerendaal,Limburg
Voorne aan Zee,Zuid-Holland
Voorschoten,Zuid-Holland
Voorst,Gelderland
Vught,Noord-Brabant
Waadhoeke,Fryslân
Waalre,Noord-Brabant
Waalwijk,Noord-Brabant
Waddinxveen,Zuid-Holland
Wageningen,Gelderland
Wassenaar,Zuid-Holland
Waterland,Noord-Holland
Weert,Limburg
West Betuwe,Gelderland
West Maas en Waal,Gelderland
Westerkwartier,Groningen
Westerveld,Drenthe
Westervoort,Gelderland
Westerwolde,Groningen
Westland,Zuid-Holland
Weststellingwerf,Fryslân
Wierden,Overijssel
Wijchen,Gelderland
Wijdemeren,Noord-Holland
Wijk bij Duurstede,Utrecht
Winterswijk,Gelderland
Woensdrecht,Noord-Brabant
Woerden,Utrecht
De Wolden,Drenthe
Wormerland,Noord-Holland
Woudenberg,Utrecht
Zaanstad,Noord-Holland
Zaltbommel,Gelderland
Zandvoort,Noord-Holland
Zeewolde,Flevoland
Zeist,Utrecht
Zevenaar,Gelderland
Zoetermeer,Zuid-Holland
Zoeterwoude,Zuid-Holland
Zuidplas,Zuid-Holland
Zundert,Noord-Brabant
Zutphen,Gelderland
Zwartewaterland,Overijssel
Zwijndrecht,Zuid-Holland
Zwolle,Overijssel
