"Historical Data"
"From 2025-01-02 to 2025-12-31"
NL0011794037
Date,Open,High,Low,Last,Close,"Number of Shares","Number of Trades",Turnover,vwap
31/12/2025,34.99,35.04,34.83,34.87,34.87,623854,1557,21762503,34.8840
30/12/2025,34.71,35.03,34.61,34.94,34.94,1283378,3156,44791803,34.9015
29/12/2025,34.48,34.79,34.38,34.70,34.70,1372155,3246,47572217,34.6697
24/12/2025,34.50,34.61,34.48,34.57,34.57,169944,730,5873781,34.5630
23/12/2025,34.72,34.79,34.51,34.52,34.52,781846,1900,27014593,34.5523
22/12/2025,34.71,34.74,34.54,34.70,34.70,819336,1944,28409823,34.6742
19/12/2025,34.96,35.00,34.65,34.80,34.80,3501784,5337,121833550,34.7919
18/12/2025,34.90,34.97,34.53,34.90,34.90,1717698,4541,59848780,34.8424
17/12/2025,34.60,34.75,34.38,34.67,34.67,2132101,6512,73756639,34.5934
16/12/2025,34.94,34.99,34.58,34.67,34.67,1408939,3125,48876487,34.6903
15/12/2025,34.77,34.91,34.60,34.70,34.70,1507336,3805,52353524,34.7325
12/12/2025,34.74,34.85,34.51,34.58,34.58,1035067,3058,35818045,34.6046
11/12/2025,34.40,35.00,34.35,34.84,34.84,1349515,3599,46940030,34.7829
10/12/2025,34.61,34.86,33.74,34.38,34.38,2373202,6110,81536605,34.3572
09/12/2025,34.80,34.95,34.73,34.83,34.83,1346441,3296,46897535,34.8307
08/12/2025,34.85,35.06,34.73,34.81,34.81,1773647,2843,61759406,34.8206
05/12/2025,34.70,35.15,34.70,35.01,35.01,1280719,4301,44797563,34.9784
04/12/2025,35.12,35.52,34.47,34.69,34.69,2506720,6954,87468009,34.8934
03/12/2025,35.70,35.84,35.28,35.33,35.33,1550594,3430,54858846,35.3792
02/12/2025,35.95,36.07,35.54,35.79,35.79,1430758,3234,51203917,35.7880
01/12/2025,35.54,35.95,35.54,35.85,35.85,1304411,2906,46756870,35.8452
28/11/2025,35.64,35.80,35.53,35.65,35.65,1126498,2639,40169647,35.6589
27/11/2025,35.47,35.69,35.38,35.67,35.67,740486,2605,26361768,35.6006
26/11/2025,35.33,35.55,35.09,35.55,35.55,1642693,3834,58198343,35.4286
25/11/2025,35.01,35.57,35.00,35.47,35.47,1482127,3521,52505033,35.4255
24/11/2025,35.31,35.33,35.03,35.23,35.23,4072578,3674,143441202,35.2212
21/11/2025,35.05,35.40,34.81,35.32,35.32,1921650,4873,67748543,35.2554
20/11/2025,34.82,35.06,34.63,34.89,34.89,1990942,6074,69447412,34.8817
19/11/2025,35.44,35.45,34.51,34.81,34.81,2260916,7371,78857375,34.8785
18/11/2025,35.75,36.03,35.38,35.49,35.49,1745568,5470,62046895,35.5454
17/11/2025,36.21,36.27,35.86,35.94,35.94,1079552,3636,38833515,35.9719
14/11/2025,36.39,36.54,36.10,36.17,36.17,1399585,4677,50678527,36.2097
