"state","ad_spend"
"Alabama",246
"Alaska",538
"Arkansas",184
"California",532
"Colorado",565
"Florida",192
"Georgia",168
"Hawaii",594
"Idaho",612
"Indiana",352
"Iowa",304
"Kentucky",117
"Louisiana",248
"Maine",529
"Maryland",239
"Massachusetts",548
"Michigan",265
"Montana",647
"Nebraska",360
"New Hampshire",568
"New Jersey",522
"Ohio",392
"Oklahoma",251
"Oregon",579
"South Carolina",160
"Tennessee",206
"Texas",273
"Virginia",287
"West Virginia",186
"Wisconsin",248
