"date","open","high","low","last","close","number.of.shares","number.of.trades","turnover","vwap","spread"
2025-01-02,31.48,31.73,31.42,31.73,31.73,1381116,3478,43724749,31.659,0.309999999999999
2025-01-03,31.75,32.08,31.74,32,32,1287691,3449,41142380,31.9505,0.34
2025-01-06,32,32.05,31.42,31.75,31.75,1514530,4324,48016360,31.7039,0.629999999999995
2025-01-07,31.89,32.39,31.87,32.37,32.37,2411418,5605,77696205,32.2205,0.52
2025-01-08,32.3,32.4,32.05,32.38,32.38,1681980,4325,54309506,32.2893,0.350000000000001
2025-01-09,32.28,32.66,32.09,32.58,32.58,1540799,3901,50085978,32.5063,0.569999999999993
2025-01-10,32.66,32.66,32.36,32.45,32.45,1600832,4192,51995574,32.4804,0.299999999999997
2025-01-13,32.3,32.45,32.21,32.3,32.3,1930546,4093,62364532,32.3041,0.240000000000002
2025-01-14,32.3,32.54,32.24,32.49,32.49,2226972,5273,72216383,32.4281,0.299999999999997
2025-01-15,32.47,33.18,32.34,33.07,33.07,3602778,6754,118683894,32.9433,0.839999999999996
2025-01-16,33.03,33.47,32.95,33.39,33.39,2448042,5648,81556882,33.3152,0.519999999999996
2025-01-17,33.65,33.98,33.38,33.95,33.95,3212705,5563,108816623,33.8708,0.599999999999994
2025-01-20,33.89,34.33,33.81,34.28,34.28,1883616,4336,64450908,34.2166,0.519999999999996
2025-01-21,34.28,34.4,34.11,34.38,34.38,2273403,5538,78010675,34.3145,0.289999999999999
2025-01-22,34.35,34.38,33.89,33.93,33.93,3005639,5763,102296420,34.0346,0.490000000000002
2025-01-23,34.08,34.14,33.83,33.99,33.99,2402018,4518,81609135,33.9752,0.310000000000002
2025-01-24,33.99,34.03,33.33,33.44,33.44,2195833,5719,73619559,33.5269,0.700000000000003
2025-01-27,33.48,34.09,33.45,33.84,33.84,3228962,8859,109368958,33.8712,0.640000000000001
2025-01-28,33.74,34.24,33.7,34.23,34.23,1734428,4555,59168127,34.1142,0.539999999999999
2025-01-29,34.2,34.27,33.93,34.22,34.22,1464769,4242,50076638,34.1874,0.340000000000003
2025-01-30,34.34,34.46,34.08,34.38,34.38,1623994,4282,55743220,34.3247,0.380000000000003
2025-01-31,34.34,34.44,34.04,34.16,34.16,2363569,4952,80801753,34.1863,0.399999999999999
2025-02-03,33.88,34.3,33.84,34.12,34.12,2938003,7989,100296509,34.1376,0.459999999999994
2025-02-04,34.14,34.94,34.02,34.91,34.91,2873807,6954,99800925,34.7278,0.919999999999995
2025-02-05,34.76,34.98,34.48,34.97,34.97,2298698,4944,80197976,34.8885,0.5
2025-02-06,35,35.22,34.92,35.02,35.02,2635946,5666,92401464,35.0544,0.299999999999997
2025-02-07,34.97,35.2,34.93,35.15,35.15,2404464,5579,84452878,35.1234,0.270000000000003
2025-02-10,35.17,35.41,35.15,35.31,35.31,1727806,4191,61015867,35.3141,0.259999999999998
2025-02-11,35.53,35.9,35.48,35.68,35.68,2751305,5833,98169522,35.6811,0.420000000000002
2025-02-12,35,35.09,33.59,33.63,33.63,4242497,12380,143600209,33.8475,1.5
2025-02-13,33.9,34.62,33.42,34.56,34.56,3249099,8296,111616586,34.3531,1.2
2025-02-14,34.5,34.52,33.955,34.18,34.18,3680776,8200,126010483,34.2348,0.565000000000005
2025-02-17,34.15,34.41,33.96,34.3,34.3,2311860,5021,79116464,34.2223,0.449999999999996
2025-02-18,34.23,34.31,33.88,34.02,34.02,2390205,5729,81390174,34.0515,0.43
2025-02-19,33.91,33.96,33.47,33.83,33.83,2308082,6072,78017223,33.8024,0.490000000000002
2025-02-20,33.73,33.94,33.33,33.51,33.51,2752711,7690,92351798,33.5488,0.609999999999999
2025-02-21,33.41,33.69,33.36,33.63,33.63,2970926,5753,99825911,33.6009,0.329999999999998
2025-02-24,33.78,33.94,33.62,33.94,33.94,1401969,3468,47439932,33.838,0.32
2025-02-25,33.97,34.79,33.89,34.7,34.7,2296418,5041,79428171,34.5882,0.899999999999999
2025-02-26,34.7,34.89,34.21,34.33,34.33,2253264,5310,77566315,34.4238,0.68
2025-02-27,34.3,34.3,33.96,33.99,33.99,1942806,4747,66133063,34.04,0.339999999999996
2025-02-28,34.02,34.21,33.82,33.97,33.97,4333808,5169,147239074,33.9745,0.390000000000001
2025-03-03,34.07,34.11,33.61,33.97,33.97,2540754,5803,86223520,33.9362,0.5
2025-03-04,34.08,34.53,33.77,34.52,34.52,2895013,7275,99243328,34.2809,0.759999999999998
2025-03-05,34.08,34.16,33.73,33.78,33.78,2901163,6139,98263655,33.8704,0.43
2025-03-06,33.79,33.9,33.41,33.71,33.71,2514749,5111,84800049,33.7209,0.490000000000002
2025-03-07,33.95,34.19,33.58,34.11,34.11,2542194,6353,86341622,33.9635,0.609999999999999
2025-03-10,34.29,34.8,34,34.72,34.72,2677876,5564,92765686,34.6415,0.799999999999997
2025-03-11,34.73,35.01,33.78,33.86,33.86,2697468,6543,92135461,34.1562,1.23
2025-03-12,34.03,34.16,33.76,33.92,33.92,2133977,5077,72406735,33.9304,0.399999999999999
2025-03-13,33.86,34.1,33.75,33.96,33.96,1982273,6320,67277913,33.94,0.350000000000001
2025-03-14,34.19,34.43,33.66,33.73,33.73,2443936,6218,82767202,33.8658,0.770000000000003
2025-03-17,33.68,34.26,33.5,34.16,34.16,2513843,6897,85730706,34.1033,0.759999999999998
2025-03-18,34.26,34.26,33.76,34.08,34.08,1766310,4317,60096469,34.0237,0.5
2025-03-19,34.03,34.04,33.74,33.95,33.95,1828812,3805,62043670,33.9257,0.299999999999997
2025-03-20,34.05,34.32,33.97,34.2,34.2,1715343,4357,58623774,34.1762,0.350000000000001
2025-03-21,34.23,34.28,33.92,34.17,34.17,6122371,7740,209136970,34.1595,0.359999999999999
2025-03-24,34.23,34.29,33.88,33.98,33.98,1372603,3772,46690668,34.0161,0.409999999999997
2025-03-25,33.97,34.48,33.97,34.21,34.21,1444597,3780,49466806,34.2426,0.509999999999998
2025-03-26,34.22,34.3,33.96,34.27,34.27,1312266,3733,44858574,34.1841,0.339999999999996
2025-03-27,34.39,34.55,34.1,34.16,34.16,2007438,4778,68639033,34.1924,0.449999999999996
2025-03-28,34.17,34.64,34.17,34.59,34.59,2469108,5036,85277996,34.538,0.469999999999999
2025-03-31,34.5,34.66,34.33,34.56,34.56,2642438,4541,91314458,34.5569,0.329999999999998
2025-04-01,34.59,34.86,34.43,34.62,34.62,1594944,4368,55190346,34.6034,0.43
2025-04-02,34.62,34.72,34.37,34.58,34.58,2179437,5649,75342988,34.5699,0.350000000000001
2025-04-03,34.57,35.17,34.49,35.15,35.15,2942449,7176,103003829,35.0061,0.68
2025-04-04,35.2,35.56,34.44,34.47,34.47,3804457,11423,132167614,34.7402,1.12
2025-04-07,33.6,33.81,32.5,32.81,32.81,6986516,24552,230256190,32.9572,1.31
2025-04-08,32.76,33.5,32.37,33.5,33.5,5112180,13163,170066693,33.2669,1.13
2025-04-09,32.87,33.05,32.19,32.98,32.98,5823833,13553,191186558,32.8283,0.859999999999999
2025-04-10,32.76,33.55,32.72,33.51,33.51,4366906,13011,145390871,33.2938,0.829999999999998
2025-04-11,32.82,33.07,32.55,32.9,32.9,4259293,9521,140074004,32.8867,0.520000000000003
2025-04-14,33.48,33.85,33.23,33.85,33.85,4198782,9295,141425344,33.6825,0.620000000000005
2025-04-15,33.9,34.3,33.83,34.3,34.3,3905290,9233,133512330,34.1877,0.469999999999999
2025-04-16,34.38,34.63,34.24,34.36,34.36,4164549,11504,143262026,34.4002,0.390000000000001
2025-04-17,34.24,34.6,34.18,34.55,34.55,2745954,7039,94706385,34.4896,0.420000000000002
2025-04-22,34.83,35.73,34.47,35.61,35.61,3257927,7976,115384261,35.4164,1.26
2025-04-23,35.58,35.78,35.21,35.78,35.78,3875965,9053,138143215,35.6412,0.57
2025-04-24,35.8,35.93,35.64,35.9,35.9,2381404,5871,85382034,35.8539,0.289999999999999
2025-04-25,35.76,35.94,35.65,35.7,35.7,2233641,5867,79859708,35.7531,0.289999999999999
2025-04-28,35.81,35.84,35.28,35.7,35.7,2111799,5021,75341988,35.6768,0.560000000000002
2025-04-29,35.9,36,35.54,35.76,35.76,2166443,4695,77445153,35.7483,0.460000000000001
2025-04-30,35.95,36.23,35.87,36.14,36.14,3237189,6962,116931389,36.1213,0.359999999999999
2025-05-02,36.06,36.18,35.8,36.13,36.13,2716627,6780,98001916,36.0749,0.380000000000003
2025-05-05,36.25,36.42,36.135,36.26,36.26,1504655,3223,54578834,36.2734,0.285000000000004
2025-05-06,36.5,36.66,36.3,36.6,36.6,2184903,5101,79866348,36.5538,0.359999999999999
2025-05-07,37.95,38.76,37.42,37.5,37.5,3560248,11097,134257791,37.7099,1.34
2025-05-08,37.04,37.49,36.5,36.5,36.5,2461965,6341,90382921,36.7116,0.990000000000002
2025-05-09,36.65,36.98,36.63,36.87,36.87,2035182,5526,75004611,36.8539,0.349999999999994
2025-05-12,37,37.03,35.98,36.24,36.24,3805006,9105,138190269,36.318,1.05
2025-05-13,36.11,36.36,35.9,36.12,36.12,2307087,5403,83406725,36.1524,0.460000000000001
2025-05-14,35.98,36.49,35.9,36.23,36.23,2472706,5527,89639262,36.2514,0.590000000000003
2025-05-15,36.4,36.68,36.21,36.68,36.68,1869880,4838,68376254,36.5673,0.469999999999999
2025-05-16,36.83,37.07,36.78,37.07,37.07,2632130,6760,97373036,36.994,0.289999999999999
2025-05-19,37.2,37.39,37.01,37.33,37.33,1526705,3483,56932451,37.291,0.380000000000003
2025-05-20,37.36,37.95,37.29,37.87,37.87,1777079,4313,67116639,37.7681,0.660000000000004
2025-05-21,37.8,37.935,37.6,37.81,37.81,1734364,4440,65564594,37.8033,0.335000000000001
2025-05-22,37.86,37.94,37.64,37.92,37.92,2049121,5061,77537648,37.8395,0.299999999999997
2025-05-23,38,38,37.37,37.64,37.64,2767399,8422,104077329,37.6085,0.630000000000003
2025-05-26,37.99,38,37.6,37.7,37.7,1232478,3355,46513147,37.7395,0.399999999999999
2025-05-27,37.7,37.88,37.62,37.75,37.75,1657580,3710,62585695,37.7573,0.260000000000005
2025-05-28,37.74,37.75,37.23,37.32,37.32,1724542,3748,64415052,37.352,0.520000000000003
2025-05-29,37.21,37.24,36.83,36.89,36.89,1538230,4710,56837046,36.9496,0.410000000000004
2025-05-30,37.03,37.29,36.96,37.18,37.18,4536435,4088,168638738,37.1744,0.329999999999998
2025-06-02,37.15,37.25,36.92,37.12,37.12,1488890,3839,55245779,37.1053,0.329999999999998
2025-06-03,37.18,37.18,36.61,36.61,36.61,1976838,4016,72563549,36.7068,0.57
2025-06-04,36.7,36.82,36.48,36.6,36.6,1775722,4926,65085251,36.6528,0.340000000000003
2025-06-05,36.43,36.58,36.13,36.23,36.23,1285681,3982,46650401,36.2846,0.449999999999996
2025-06-06,36.27,36.32,36.13,36.23,36.23,919818,3243,33329478,36.2349,0.189999999999998
2025-06-09,36.33,36.35,36,36.04,36.04,1362642,3686,49163477,36.0795,0.350000000000001
2025-06-10,36.1,36.36,36.05,36.25,36.25,1334450,3492,48348578,36.2311,0.310000000000002
2025-06-11,36.11,36.16,35.92,36.01,36.01,1773437,4765,63877576,36.0191,0.239999999999995
2025-06-12,36.08,36.09,35.71,35.86,35.86,1508747,3868,54121466,35.8718,0.380000000000003
2025-06-13,35.62,35.92,35.59,35.85,35.85,2712566,7841,97086431,35.7914,0.329999999999998
