"DayOfWeek","Date","Price","Open","High","Low","Change"
"Sat","31-12-2022","N/A","N/A","N/A","N/A",NA
"Fri","30-12-2022","3.813","3.8135","3.815","3.8135","-0.35%"
"Thu","29-12-2022","3.8265","3.836","3.836","3.825","-0.42%"
"Wed","28-12-2022","3.8425","3.849","3.873","3.821","+0.05%"
"Tue","27-12-2022","3.8405","3.84","3.9415","3.832","-0.44%"
"Mon","26-12-2022","3.8575","3.8125","3.8675","3.8125","+1.27%"
"Sun","25-12-2022","N/A","N/A","N/A","N/A",NA
"Sat","24-12-2022","N/A","N/A","N/A","N/A",NA
"Fri","23-12-2022","3.809","3.7645","3.817","3.761","+1.38%"
"Thu","22-12-2022","3.757","3.818","3.849","3.7495","-1.39%"
"Wed","21-12-2022","3.81","3.807","3.8285","3.789","+0.29%"
"Tue","20-12-2022","3.799","3.761","3.8305","3.723","+0.42%"
"Mon","19-12-2022","3.783","3.7695","3.8245","3.7495","+0.57%"
"Sun","18-12-2022","N/A","N/A","N/A","N/A",NA
"Sat","17-12-2022","N/A","N/A","N/A","N/A",NA
"Fri","16-12-2022","3.7615","3.776","3.805","3.733","-0.04%"
"Thu","15-12-2022","3.763","3.8635","3.8675","3.757","-2.97%"
"Wed","14-12-2022","3.878","3.8455","3.892","3.823","+0.94%"
"Tue","13-12-2022","3.842","3.808","3.929","3.8035","+1.09%"
"Mon","12-12-2022","3.8005","3.8595","3.8595","3.786","-2.01%"
"Sun","11-12-2022","N/A","N/A","N/A","N/A",NA
"Sat","10-12-2022","N/A","N/A","N/A","N/A",NA
"Fri","09-12-2022","3.8785","3.8815","3.9245","3.846","-0.13%"
"Thu","08-12-2022","3.8835","3.8435","3.9125","3.833","+0.6%"
"Wed","07-12-2022","3.8605","3.821","3.874","3.775","+1.11%"
"Tue","06-12-2022","3.818","3.7915","3.8635","3.7845","+0.61%"
"Mon","05-12-2022","3.795","3.853","3.8945","3.773","-1.44%"
"Sun","04-12-2022","N/A","N/A","N/A","N/A",NA
"Sat","03-12-2022","N/A","N/A","N/A","N/A",NA
"Fri","02-12-2022","3.8505","3.7975","3.865","3.7445","+0.86%"
"Thu","01-12-2022","3.8175","3.782","3.8225","3.735","+2.13%"
"Wed","30-11-2022","3.738","3.644","3.7925","3.634","+2.71%"
"Tue","29-11-2022","3.6395","3.6015","3.6845","3.5955","+0.64%"
"Mon","28-11-2022","3.6165","3.591","3.6195","3.5575","-0.45%"
"Sun","27-11-2022","N/A","N/A","N/A","N/A",NA
"Sat","26-11-2022","N/A","N/A","N/A","N/A",NA
"Fri","25-11-2022","3.633","3.6545","3.658","3.622","-0.18%"
"Thu","24-11-2022","3.6395","3.6472","3.671","3.624","+0.54%"
"Wed","23-11-2022","3.62","3.6225","3.6315","3.604","+0.1%"
"Tue","22-11-2022","3.6165","3.595","3.665","3.59","+1.13%"
"Mon","21-11-2022","3.576","3.65","3.655","3.556","-1.8%"
"Sun","20-11-2022","N/A","N/A","N/A","N/A",NA
"Sat","19-11-2022","N/A","N/A","N/A","N/A",NA
"Fri","18-11-2022","3.6415","3.692","3.715","3.637","-1.42%"
"Thu","17-11-2022","3.694","3.757","3.7765","3.673","-2.11%"
"Wed","16-11-2022","3.7735","3.811","3.821","3.7495","-1.2%"
"Tue","15-11-2022","3.8195","3.8325","3.882","3.7945","-0.21%"
"Mon","14-11-2022","3.8275","3.9225","3.947","3.8055","-1.88%"
"Sun","13-11-2022","N/A","N/A","N/A","N/A",NA
"Sat","12-11-2022","N/A","N/A","N/A","N/A",NA
"Fri","11-11-2022","3.901","3.765","3.932","3.7535","+4.04%"
"Thu","10-11-2022","3.7495","3.668","3.7795","3.6225","+1.58%"
"Wed","09-11-2022","3.691","3.6605","3.733","3.6215","+0.41%"
"Tue","08-11-2022","3.676","3.5975","3.691","3.5625","+2.1%"
"Mon","07-11-2022","3.6005","3.635","3.65","3.574","-1.99%"
"Sun","06-11-2022","N/A","N/A","N/A","N/A",NA
"Sat","05-11-2022","N/A","N/A","N/A","N/A",NA
