rating,gpa,white,female,tech_skills,unpaid_intshp,top_intshp,second_intshp
5,2.98,1,1,0,1,0,0
4,2.93,1,0,0,1,0,0
2,2.92,1,1,0,0,1,1
2,2.93,0,1,0,1,1,1
3,3,1,0,0,0,0,1
1,2.94,0,0,1,1,0,0
5,2.95,1,0,1,1,0,1
1,2.96,1,0,0,0,0,1
1,2.99,1,1,0,1,0,0
1,2.95,1,0,1,1,0,1
3,2.95,1,1,0,1,0,1
1,2.99,1,1,0,0,0,1
2,2.91,0,1,0,1,1,0
2,2.96,1,1,0,1,1,1
7,3,1,0,0,1,0,0
4,2.98,1,0,0,1,0,0
7,2.92,0,1,1,1,0,1
2,2.94,0,0,0,0,0,1
2,2.95,0,0,0,1,1,1
7,2.97,0,1,0,1,1,1
5,2.98,0,1,1,1,1,1
6,2.99,1,0,1,0,1,1
3,2.99,1,0,1,1,1,1
3,2.99,0,0,1,1,0,1
2,2.93,1,1,0,1,0,1
6,2.92,0,1,0,0,0,1
2,2.97,0,0,0,1,0,0
1,2.91,1,0,0,0,0,1
10,2.92,1,1,1,0,0,1
2,2.9,1,1,0,0,0,1
1,2.94,1,0,0,1,0,0
6,2.93,0,0,0,1,0,1
1,2.97,1,0,0,1,0,1
2,2.93,1,1,0,0,0,1
4,2.91,1,1,1,0,0,1
5,2.98,1,0,0,1,0,1
1,2.98,1,1,0,1,0,1
6,2.92,1,1,1,1,0,1
1,2.95,0,1,0,1,1,0
2,2.95,0,1,0,1,1,1
7,2.9,1,1,0,0,1,1
1,2.96,1,0,0,1,1,0
1,2.9,0,1,0,1,1,0
4,2.92,1,0,0,0,1,1
3,2.91,0,0,0,0,0,1
7,2.97,1,0,0,1,0,1
1,2.9,0,1,0,0,0,1
4,2.94,1,1,0,1,1,1
4,2.92,1,1,0,1,1,1
1,2.97,0,0,0,1,1,1
6,2.92,1,0,1,1,1,1
5,2.97,1,1,0,1,1,1
8,2.91,1,1,1,0,1,1
8,3,1,1,0,0,1,1
5,2.96,1,0,0,1,0,0
2,2.99,1,0,0,1,0,0
8,2.97,1,1,0,1,0,1
1,2.98,1,0,0,0,0,1
1,3,1,1,0,1,0,0
6,3,0,1,1,1,0,0
3,2.95,0,0,0,1,0,0
7,2.97,1,0,0,1,0,0
1,2.94,1,0,1,1,0,1
7,3,1,1,0,1,0,1
4,2.99,1,1,0,1,1,0
2,3,1,1,0,1,1,0
2,2.91,1,0,1,1,1,1
7,2.94,0,1,0,1,1,1
5,2.96,0,1,1,1,1,0
1,3,0,1,0,1,1,0
7,3,1,0,0,1,0,0
1,2.92,1,0,0,0,0,1
1,2.94,1,0,1,0,0,1
4,3,1,0,0,1,0,1
5,2.99,1,1,1,1,1,1
9,2.95,1,1,0,0,1,1
7,2.96,0,0,0,1,1,0
2,2.99,1,1,1,1,1,1
5,2.96,1,1,0,0,1,1
2,2.93,1,1,0,1,1,1
8,2.94,0,0,0,1,1,0
7,2.94,1,0,0,0,1,1
2,2.99,1,1,0,1,1,1
7,2.98,0,1,0,1,1,1
2,2.92,0,0,0,1,1,1
1,2.99,1,1,0,1,1,0
4,2.95,1,1,0,0,0,1
1,2.91,0,1,0,0,0,1
4,2.96,1,0,0,1,1,0
2,2.97,0,0,0,0,1,1
1,3,1,1,0,0,0,1
7,2.96,1,0,0,1,0,0
7,2.99,0,1,0,1,0,0
3,2.91,1,0,0,1,0,0
1,2.95,1,0,0,1,0,1
1,2.98,1,1,0,0,0,1
3,2.97,0,1,0,1,0,1
2,2.98,1,0,0,1,0,1
1,2.98,1,0,1,1,0,1
2,2.98,1,0,1,0,0,1
10,2.96,0,1,0,1,0,1
5,2.91,0,0,1,0,0,1
4,2.91,1,0,0,1,1,0
1,2.91,1,1,0,1,1,0
4,2.98,0,0,0,1,1,1
5,2.91,1,1,0,1,1,0
7,2.93,1,0,0,0,1,1
2,2.9,0,1,0,1,1,0
1,2.98,1,0,0,1,1,1
7,2.94,1,0,1,0,1,1
7,2.92,1,0,0,1,0,1
9,2.99,0,1,0,1,1,0
8,2.96,0,0,0,0,1,1
5,2.93,1,0,1,1,0,1
2,2.94,1,0,0,0,0,1
5,2.96,0,1,1,1,1,0
3,2.96,0,1,0,1,1,0
1,2.97,1,0,0,1,1,0
6,2.97,1,1,0,0,1,1
4,2.99,0,0,0,1,1,1
1,2.94,1,0,0,1,1,0
6,2.96,1,0,1,1,1,0
1,2.99,0,1,1,1,1,0
2,2.97,1,0,0,1,1,1
6,3,1,0,0,0,1,1
2,2.98,1,1,0,1,1,1
6,2.96,0,0,1,1,1,1
4,2.92,1,0,0,1,1,1
3,2.94,0,1,0,1,0,0
2,2.94,0,0,0,1,0,0
7,2.96,1,0,0,1,0,0
2,2.98,1,0,1,0,0,1
1,2.95,1,1,0,0,0,1
4,2.95,1,0,0,1,0,1
8,2.93,1,1,0,1,0,1
1,2.94,1,1,1,1,0,0
2,2.97,1,0,0,0,0,1
3,2.93,0,0,0,0,0,1
1,2.95,1,0,0,1,0,0
2,2.96,1,0,0,0,0,1
8,2.99,1,1,0,1,0,1
1,2.9,1,1,1,0,0,1
1,2.94,0,1,1,1,0,1
1,2.91,0,0,1,1,0,0
2,2.91,0,0,1,0,0,1
6,2.99,1,1,0,0,0,1
1,2.91,0,0,1,1,0,0
9,2.97,0,1,0,0,0,1
2,2.91,1,0,1,0,0,1
2,2.95,1,1,1,1,0,0
1,3,1,0,1,1,0,1
3,2.93,1,1,1,0,0,1
2,2.92,1,1,0,1,0,0
2,2.94,0,1,1,1,0,0
4,2.95,1,0,1,1,0,0
2,2.96,1,0,0,0,0,1
4,2.92,1,0,0,1,0,0
2,2.98,0,0,1,1,0,0
2,2.97,1,0,0,0,0,1
1,2.91,1,0,0,1,0,1
2,2.91,1,1,0,0,0,1
1,2.93,0,1,0,0,1,1
1,2.93,1,1,0,1,1,1
3,2.94,1,1,0,1,1,1
7,2.92,1,1,0,1,1,0
1,2.97,0,0,0,1,1,0
4,2.91,1,1,0,1,1,0
1,2.98,1,0,0,0,1,1
3,2.96,1,0,0,1,1,0
4,2.93,0,1,1,1,1,1
1,2.93,0,1,0,0,1,1
4,2.94,1,1,0,1,0,0
1,2.99,1,1,0,0,0,1
1,3,0,0,0,1,0,1
2,3,1,0,0,1,0,1
4,2.97,0,0,0,1,0,0
1,3,1,1,0,1,0,1
2,3,1,1,0,0,0,1
8,2.99,1,0,0,0,0,1
7,2.92,1,0,0,0,0,1
6,2.99,1,1,0,1,0,1
3,2.92,1,0,1,1,0,0
3,2.94,1,1,1,1,0,1
5,2.98,0,0,0,0,0,1
4,3.22,1,1,0,1,0,0
3,3.77,0,0,0,1,0,0
10,3.92,1,0,1,1,0,0
7,3.77,0,1,0,1,0,0
4,3.58,1,1,0,1,0,0
4,3.59,1,1,0,1,0,0
2,3.64,1,1,0,1,0,0
8,3.42,1,0,0,1,0,0
3,3.69,0,1,0,1,0,0
6,3.26,0,0,0,1,0,0
7,3.62,0,0,0,1,0,1
3,3.56,1,0,1,1,0,1
5,3.5,1,1,0,0,0,1
10,3.44,0,0,1,0,0,1
3,3.75,1,0,0,0,0,1
3,3.04,1,1,1,0,0,1
4,3.78,1,0,0,1,0,1
9,3.15,1,0,0,1,0,1
2,3.03,0,0,0,1,0,1
5,3.72,0,0,1,0,0,1
8,3.59,1,0,0,1,0,1
3,3.67,0,0,0,1,0,1
7,3.32,1,1,0,0,0,1
3,3.04,1,1,0,0,0,1
2,3.24,0,0,1,0,0,1
1,3.34,1,1,0,0,0,1
4,3.55,1,1,0,0,0,1
9,3.89,1,1,0,0,0,1
3,3.7,1,1,1,0,0,1
2,3.73,0,1,0,0,0,1
5,3.12,1,1,0,1,0,1
7,3.59,1,0,0,0,0,1
3,3.92,1,0,0,1,0,1
2,3.93,0,0,0,1,0,1
8,3.45,0,0,0,1,0,1
4,3.24,0,1,0,1,0,1
6,3.2,0,0,0,0,0,1
5,3.01,1,0,0,1,0,1
8,3.86,1,0,0,0,0,1
9,3.9,0,1,0,0,0,1
6,3.33,0,0,0,0,0,1
5,3.79,1,1,0,0,0,1
1,3.62,0,0,0,1,1,0
8,3.82,0,0,0,1,1,0
8,3.97,0,1,0,1,1,0
1,3.96,0,0,0,1,1,0
2,3.31,0,1,1,1,1,0
2,3.23,1,1,0,1,1,1
8,3.7,1,1,0,1,1,1
3,3.2,1,1,1,1,1,1
6,3.51,1,1,0,1,1,1
6,3.48,0,1,1,0,1,1
9,3.37,1,0,1,1,1,1
8,3.59,1,1,0,1,1,1
1,3.28,1,1,0,1,1,1
3,3.22,0,1,0,0,1,1
6,3.26,1,0,1,0,1,1
7,3.6,0,0,0,0,1,1
7,3.86,0,0,1,1,1,1
3,3.88,0,1,1,0,1,1
3,3.08,0,1,0,1,1,0
9,3.97,1,1,0,1,1,0
3,3.02,0,0,0,1,1,0
2,3.31,0,1,1,1,1,0
1,3.23,1,1,0,1,1,0
1,3.2,1,0,1,1,1,0
5,3.79,0,0,0,1,1,0
1,3.22,1,1,1,1,1,0
9,3.07,0,1,1,1,1,0
8,3.76,1,1,0,1,1,0
3,3.43,0,1,0,1,1,1
9,3.35,0,1,1,1,1,1
8,3.54,0,0,0,0,1,1
6,3.88,1,0,0,0,1,1
4,3.16,1,1,0,1,1,1
9,3.56,1,1,1,1,1,1
9,3.53,0,1,1,1,1,1
8,3.34,1,0,0,1,1,1
2,3.17,1,1,0,0,1,1
8,3.79,0,1,1,0,1,1
8,3.3,1,1,0,1,1,1
7,3.55,0,0,1,1,1,1
1,3.84,0,0,0,1,1,1
6,3.02,1,1,1,1,1,1
5,3.13,1,1,1,0,1,1
4,3.89,0,0,0,0,1,1
5,3.44,1,1,0,1,1,1
4,3.17,0,1,0,1,1,1
3,3.23,1,0,0,1,1,1
7,3.97,1,1,0,1,1,1
1,3.54,1,1,0,0,1,1
