"country","year","energy_use"
"Albania",2012,687.896259861998
"Albania",2011,764.968616564465
"Albania",2010,729.154372728518
"Albania",2009,732.316681804627
"Albania",2008,710.748498463347
"Albania",2007,679.861765101008
"Albania",2006,706.859407721917
"Albania",2005,719.584378082987
"Albania",2004,715.414483080102
"Albania",2003,648.168387059418
"Albania",2002,660.04798411018
"Albania",2001,597.265252650749
"Albania",2000,580.494764208924
"Albania",1999,576.183632282524
"Albania",1998,426.682819087559
"Albania",1997,384.594958328053
"Albania",1996,447.848870261137
"Albania",1995,417.034843013203
"Albania",1994,441.249295409311
"Albania",1993,412.378880465233
"Albania",1992,418.286629757142
"Albania",1991,572.781843950789
"Albania",1990,813.255695500012
"Algeria",2012,1233.61694776324
"Algeria",2011,1144.32285037731
"Algeria",2010,1117.98048903145
"Algeria",2009,1158.18235445087
"Algeria",2008,1078.20433634276
"Algeria",2007,1083.9941599279
"Algeria",2006,1038.27462054824
"Algeria",2005,983.682159828551
"Algeria",2004,957.598304728247
"Algeria",2003,959.25050637351
"Algeria",2002,914.915039815719
"Algeria",2001,866.947117214408
"Algeria",2000,877.171907332344
"Algeria",1999,875.728936746136
"Algeria",1998,831.920507856595
"Algeria",1997,816.083786857193
"Algeria",1996,809.897030267831
"Algeria",1995,851.323978891512
"Algeria",1994,831.735583977753
"Algeria",1993,881.2745420496
"Algeria",1992,898.039288698053
"Algeria",1991,897.942117720257
"Algeria",1990,869.387830758701
"Angola",2012,550.601366698465
"Angola",2011,520.953673858865
"Angola",2010,520.785338756734
"Angola",2009,515.36835836524
"Angola",2008,492.071879511267
"Angola",2007,471.596701317916
"Angola",2006,458.511115277294
"Angola",2005,433.185633674926
"Angola",2004,464.486438612497
"Angola",2003,467.570188203246
"Angola",2002,448.345608584175
"Angola",2001,443.087769758524
"Angola",2000,438.58776427709
"Angola",1999,441.055254278105
"Angola",1998,433.677424359323
"Angola",1997,449.267258891816
"Angola",1996,454.603482498861
"Angola",1995,456.745359648074
"Angola",1994,472.397961347734
"Angola",1993,481.173345850331
"Angola",1992,479.527381223695
"Angola",1991,492.615358422255
"Angola",1990,497.365461687136
"Argentina",2012,1936.80353979442
"Argentina",2011,1952.05105293095
"Argentina",2010,1928.65235658729
"Argentina",2009,1856.09639267081
"Argentina",2008,1928.32659888375
"Argentina",2007,1849.45279643745
