"Date","Price","Open","High","Low","Vol","Change"
"12/31/22","N/A","N/A","N/A","N/A",NA,NA
"12/30/22","0.9341","0.9378","0.9399","0.9334","71.53K","-0.41%"
"12/29/22","0.9379","0.9425","0.9426","0.9354","59.74K","-0.46%"
"12/28/22","0.9422","0.9396","0.9428","0.9368","56.01K","+0.27%"
"12/27/22","0.9397","0.9401","0.9424","0.9372","68.37K","-0.02%"
"12/26/22","0.9399","0.9424","0.9431","0.94","17.50K","-0.20%"
"12/25/22","N/A","N/A","N/A","N/A",NA,NA
"12/24/22","N/A","N/A","N/A","N/A",NA,NA
"12/23/22","0.9418","0.9438","0.9446","0.9405","94.32K","-0.20%"
"12/22/22","0.9437","0.9428","0.9459","0.9381","97.30K","+0.10%"
"12/21/22","0.9428","0.9412","0.9445","0.9392","86.75K","+0.16%"
"12/20/22","0.9413","0.9429","0.9453","0.9381","130.49K","-0.14%"
"12/19/22","0.9426","0.9442","0.9456","0.9383","91.77K","-0.21%"
"12/18/22","N/A","N/A","N/A","N/A",NA,NA
"12/17/22","N/A","N/A","N/A","N/A",NA,NA
"12/16/22","0.9446","0.9411","0.9448","0.9377","96.98K","+0.41%"
"12/15/22","0.9407","0.936","0.9441","0.9314","96.29K","+0.49%"
"12/14/22","0.9361","0.9405","0.9417","0.9349","93.43K","-0.46%"
"12/13/22","0.9404","0.9493","0.9499","0.9369","76.63K","-0.90%"
"12/12/22","0.9489","0.9499","0.9518","0.9452","72.91K","-0.04%"
"12/11/22","N/A","N/A","N/A","N/A",NA,NA
"12/10/22","N/A","N/A","N/A","N/A",NA,NA
"12/09/22","0.9493","0.947","0.9518","0.9444","81.68K","+0.23%"
"12/08/22","0.9471","0.9517","0.9534","0.9464","89.81K","-0.48%"
"12/07/22","0.9517","0.9552","0.9577","0.9478","102.18K","-0.35%"
"12/06/22","0.955","0.9534","0.9561","0.9493","83.94K","+0.21%"
"12/05/22","0.953","0.9509","0.9542","0.9438","91.07K","+0.46%"
"12/04/22","N/A","N/A","N/A","N/A",NA,NA
"12/03/22","N/A","N/A","N/A","N/A",NA,NA
"12/02/22","0.9486","0.9503","0.959","0.9482","82.22K","-0.15%"
"12/01/22","0.95","0.9609","0.9622","0.9492","108.31K","-1.11%"
"11/30/22","0.9607","0.9682","0.9718","0.9589","92.19K","-0.75%"
"11/29/22","0.968","0.9671","0.969","0.962","75.18K","+0.10%"
"11/28/22","0.967","0.9632","0.9681","0.9526","78.44K","+0.56%"
"11/27/22","N/A","N/A","N/A","N/A",NA,NA
"11/26/22","N/A","N/A","N/A","N/A",NA,NA
"11/25/22","0.9616","0.9607","0.9657","0.9588","70.18K","+0.10%"
"11/24/22","0.9606","0.9617","0.9632","0.957","68.51K","-0.11%"
"11/23/22","0.9617","0.9704","0.9712","0.961","74.47K","-0.89%"
"11/22/22","0.9703","0.9763","0.9766","0.97","79.18K","-0.59%"
"11/21/22","0.9761","0.9692","0.9783","0.9677","82.17K","+0.78%"
"11/20/22","N/A","N/A","N/A","N/A",NA,NA
"11/19/22","N/A","N/A","N/A","N/A",NA,NA
"11/18/22","0.9685","0.9651","0.9697","0.9618","95.10K","+0.37%"
"11/17/22","0.9649","0.962","0.9704","0.9609","98.79K","+0.31%"
"11/16/22","0.9619","0.9668","0.968","0.9579","103.83K","-0.43%"
"11/15/22","0.9661","0.9685","0.9729","0.9541","104.61K","-0.21%"
"11/14/22","0.9681","0.9646","0.9736","0.9645","103.36K","+0.26%"
"11/13/22","N/A","N/A","N/A","N/A",NA,NA
"11/12/22","N/A","N/A","N/A","N/A",NA,NA
"11/11/22","0.9656","0.9795","0.984","0.9648","114.00K","-1.41%"
"11/10/22","0.9794","0.9987","1.0065","0.9783","128.78K","-1.90%"
"11/09/22","0.9984","0.9927","1.0007","0.9912","117.09K","+0.59%"
"11/08/22","0.9925","0.9979","1.0028","0.9904","100.70K","-0.52%"
"11/07/22","0.9977","1.0091","1.0102","0.9965","94.50K","-0.59%"
"11/06/22","N/A","N/A","N/A","N/A",NA,NA
"11/05/22","N/A","N/A","N/A","N/A",NA,NA
"11/04/22","1.0036","1.0256","1.0265","1.0033","86.22K","-2.10%"
"11/03/22","1.0251","1.0184","1.0278","1.0163","76.01K","+0.68%"
"11/02/22","1.0182","1.0127","1.0192","1.0023","77.34K","+0.54%"
"11/01/22","1.0127","1.012","1.015","1.0045","71.01K","+0.13%"
"10/31/22","1.0114","1.0053","1.013","1.0034","75.23K","+0.81%"
"10/30/22","N/A","N/A","N/A","N/A",NA,NA
"10/29/22","N/A","N/A","N/A","N/A",NA,NA
"10/28/22","1.0033","1.0036","1.0075","1.0001","76.68K","-0.01%"
"10/27/22","1.0034","0.9922","1.0043","0.9906","110.90K","+1.15%"
"10/26/22","0.992","1.0034","1.0057","0.9912","84.29K","-1.12%"
"10/25/22","1.0032","1.0128","1.0154","1.0022","74.00K","-0.93%"
"10/24/22","1.0126","1.0135","1.0197","1.0101","91.25K","-0.12%"
"10/23/22","N/A","N/A","N/A","N/A",NA,NA
"10/22/22","N/A","N/A","N/A","N/A",NA,NA
"10/21/22","1.0138","1.022","1.0304","1.0132","92.87K","-0.78%"
"10/20/22","1.0218","1.0232","1.0252","1.0156","92.63K","-0.12%"
"10/19/22","1.023","1.0148","1.025","1.0129","88.91K","+0.84%"
"10/18/22","1.0145","1.0165","1.0192","1.0125","98.98K","-0.16%"
"10/17/22","1.0161","1.0282","1.0289","1.0149","88.28K","-1.21%"
"10/16/22","N/A","N/A","N/A","N/A",NA,NA
"10/15/22","N/A","N/A","N/A","N/A",NA,NA
"10/14/22","1.0285","1.023","1.0302","1.0195","108.60K","+0.56%"
"10/13/22","1.0228","1.0307","1.0382","1.0197","95.28K","-0.71%"
"10/12/22","1.0301","1.0301","1.0344","1.0272","93.22K","-0.01%"
"10/11/22","1.0302","1.0307","1.0339","1.023","127.21K","-0.04%"
"10/10/22","1.0306","1.0271","1.0329","1.0252","97.21K","+0.43%"
"10/09/22","N/A","N/A","N/A","N/A",NA,NA
"10/08/22","N/A","N/A","N/A","N/A",NA,NA
"10/07/22","1.0262","1.0215","1.0282","1.0186","78.52K","+0.50%"
"10/06/22","1.0211","1.0122","1.0217","1.0074","89.26K","+0.93%"
"10/05/22","1.0117","1.0014","1.0169","1.0005","88.68K","+1.04%"
"10/04/22","1.0013","1.0176","1.0199","0.9999","86.11K","-1.59%"
"10/03/22","1.0175","1.0204","1.0253","1.0157","97.65K","-0.25%"
"10/02/22","N/A","N/A","N/A","N/A",NA,NA
"10/01/22","N/A","N/A","N/A","N/A",NA,NA
"09/30/22","1.0201","1.0186","1.0273","1.0148","94.06K","+0.16%"
"09/29/22","1.0185","1.0272","1.0379","1.0187","96.26K","-0.83%"
"09/28/22","1.027","1.0423","1.0487","1.0254","104.44K","-1.45%"
"09/27/22","1.0421","1.0406","1.0451","1.0339","104.22K","+0.15%"
"09/26/22","1.0405","1.0325","1.0453","1.0299","109.84K","+0.86%"
"09/25/22","N/A","N/A","N/A","N/A",NA,NA
"09/24/22","N/A","N/A","N/A","N/A",NA,NA
"09/23/22","1.0316","1.0165","1.0344","1.015","90.98K","+1.47%"
"09/22/22","1.0167","1.0165","1.0195","1.0093","103.84K","+0.03%"
"09/21/22","1.0164","1.0028","1.0191","1.0022","87.44K","+1.37%"
"09/20/22","1.0027","0.9976","1.0045","0.9948","72.94K","+0.52%"
"09/19/22","0.9975","0.9988","1.0035","0.997","63.17K","-0.06%"
"09/18/22","N/A","N/A","N/A","N/A",NA,NA
"09/17/22","N/A","N/A","N/A","N/A",NA,NA
"09/16/22","0.9981","0.9999","1.0056","0.9963","72.83K","-0.15%"
"09/15/22","0.9996","1.0021","1.0044","0.9981","69.08K","-0.20%"
"09/14/22","1.0016","1.0028","1.0044","0.9976","87.67K","-0.12%"
"09/13/22","1.0028","0.988","1.0034","0.9815","77.65K","+1.51%"
"09/12/22","0.9879","0.9921","0.9941","0.9805","62.34K","-0.78%"
"09/11/22","N/A","N/A","N/A","N/A",NA,NA
"09/10/22","N/A","N/A","N/A","N/A",NA,NA
"09/09/22","0.9957","1.0002","1.0005","0.9887","76.40K","-0.44%"
"09/08/22","1.0001","0.9999","1.007","0.9969","86.34K","+0.05%"
"09/07/22","0.9996","1.0097","1.0127","0.9988","82.61K","-0.97%"
"09/06/22","1.0094","1.0072","1.0138","1.0013","101.49K","+0.25%"
"09/05/22","1.0069","1.005","1.0124","1.005","67.11K","+0.24%"
"09/04/22","N/A","N/A","N/A","N/A",NA,NA
"09/03/22","N/A","N/A","N/A","N/A",NA,NA
"09/02/22","1.0045","1.0055","1.0057","0.9966","68.96K","-0.08%"
"09/01/22","1.0053","0.9945","1.0091","0.9943","85.85K","+1.15%"
"08/31/22","0.9939","0.9987","1.0029","0.9922","87.59K","-0.45%"
"08/30/22","0.9984","1.0004","1.0019","0.9944","90.21K","-0.17%"
"08/29/22","1.0001","1.0016","1.0087","0.997","59.85K","-0.34%"
"08/28/22","N/A","N/A","N/A","N/A",NA,NA
"08/27/22","N/A","N/A","N/A","N/A",NA,NA
"08/26/22","1.0035","1.0025","1.0053","0.9911","60.92K","+0.11%"
"08/25/22","1.0024","1.0033","1.0051","0.9966","82.50K","-0.07%"
"08/24/22","1.0031","1.0029","1.0092","1","67.56K","+0.02%"
"08/23/22","1.0029","1.0057","1.0101","0.9981","82.39K","-0.27%"
"08/22/22","1.0056","0.9959","1.0076","0.9952","87.97K","+0.94%"
"08/21/22","N/A","N/A","N/A","N/A",NA,NA
"08/20/22","N/A","N/A","N/A","N/A",NA,NA
"08/19/22","0.9962","0.9912","0.9969","0.9905","76.59K","+0.53%"
"08/18/22","0.9909","0.9823","0.9922","0.9811","78.31K","+0.91%"
"08/17/22","0.982","0.9833","0.9857","0.9801","92.06K","-0.09%"
"08/16/22","0.9829","0.9841","0.9879","0.9808","63.58K","-0.10%"
"08/15/22","0.9839","0.9744","0.9847","0.9737","64.99K","+0.96%"
"08/14/22","N/A","N/A","N/A","N/A",NA,NA
"08/13/22","N/A","N/A","N/A","N/A",NA,NA
"08/12/22","0.9745","0.9694","0.9768","0.9682","80.25K","+0.57%"
"08/11/22","0.969","0.9711","0.9732","0.9647","84.77K","-0.19%"
"08/10/22","0.9708","0.979","0.9803","0.9643","88.50K","-0.84%"
"08/09/22","0.979","0.9806","0.9815","0.9758","80.55K","-0.15%"
"08/08/22","0.9805","0.9825","0.9844","0.9783","67.81K","-0.13%"
"08/07/22","N/A","N/A","N/A","N/A",NA,NA
"08/06/22","N/A","N/A","N/A","N/A",NA,NA
"08/05/22","0.9818","0.976","0.9861","0.9753","82.58K","+0.60%"
"08/04/22","0.9759","0.9838","0.9848","0.9751","79.41K","-0.78%"
"08/03/22","0.9836","0.9837","0.9879","0.9794","79.91K","0.00%"
"08/02/22","0.9836","0.9746","0.984","0.9714","102.37K","+0.96%"
"08/01/22","0.9742","0.9787","0.9799","0.9731","84.58K","-0.42%"
"07/31/22","N/A","N/A","N/A","N/A",NA,NA
"07/30/22","N/A","N/A","N/A","N/A",NA,NA
"07/29/22","0.9783","0.9806","0.9857","0.9751","81.82K","-0.23%"
"07/28/22","0.9806","0.9806","0.9887","0.9769","106.64K","+0.08%"
"07/27/22","0.9798","0.9884","0.9905","0.9783","76.16K","-0.86%"
"07/26/22","0.9883","0.9785","0.9894","0.9754","79.22K","+1.04%"
"07/25/22","0.9781","0.9792","0.9824","0.9748","77.43K","-0.09%"
"07/24/22","N/A","N/A","N/A","N/A",NA,NA
"07/23/22","N/A","N/A","N/A","N/A",NA,NA
"07/22/22","0.979","0.9776","0.9872","0.975","73.44K","+0.17%"
"07/21/22","0.9773","0.9825","0.9848","0.9729","105.36K","-0.50%"
"07/20/22","0.9822","0.9779","0.9847","0.9733","92.85K","+0.46%"
"07/19/22","0.9777","0.986","0.9882","0.9737","80.21K","-0.82%"
"07/18/22","0.9858","0.9916","0.9923","0.9801","74.88K","-0.52%"
"07/17/22","N/A","N/A","N/A","N/A",NA,NA
"07/16/22","N/A","N/A","N/A","N/A",NA,NA
"07/15/22","0.991","0.9982","0.9994","0.9902","77.73K","-0.70%"
"07/14/22","0.998","0.9939","1.0049","0.9935","89.57K","+0.44%"
"07/13/22","0.9936","0.9962","1.0002","0.9879","82.55K","-0.23%"
"07/12/22","0.9959","0.996","1","0.9926","87.75K","+0.02%"
"07/11/22","0.9957","0.9829","0.9966","0.9819","77.38K","+1.44%"
"07/10/22","N/A","N/A","N/A","N/A",NA,NA
"07/09/22","N/A","N/A","N/A","N/A",NA,NA
"07/08/22","0.9816","0.9843","0.9929","0.9811","90.46K","-0.24%"
"07/07/22","0.984","0.9822","0.9858","0.9783","86.85K","+0.20%"
"07/06/22","0.982","0.9739","0.9841","0.973","95.91K","+0.85%"
"07/05/22","0.9737","0.9598","0.9771","0.957","85.14K","+1.51%"
"07/04/22","0.9592","0.9593","0.96","0.9557","68.80K","+0.04%"
"07/03/22","N/A","N/A","N/A","N/A",NA,NA
"07/02/22","N/A","N/A","N/A","N/A",NA,NA
"07/01/22","0.9588","0.9541","0.9647","0.9536","68.09K","+0.53%"
"06/30/22","0.9537","0.9578","0.9632","0.9534","83.87K","-0.41%"
"06/29/22","0.9576","0.9507","0.9584","0.9491","90.48K","+0.75%"
"06/28/22","0.9505","0.9448","0.9521","0.9428","92.98K","+0.61%"
