Date,Carbon,Per Capita
"01/01/1751",3,"missing"
"01/01/1752",3,"missing"
"01/01/1753",3,"missing"
"01/01/1754",3,"missing"
"01/01/1755",3,"missing"
"01/01/1756",3,"missing"
"01/01/1757",3,"missing"
"01/01/1758",3,"missing"
"01/01/1759",3,"missing"
"01/01/1760",3,"missing"
"01/01/1761",3,"missing"
"01/01/1762",3,"missing"
"01/01/1763",3,"missing"
"01/01/1764",3,"missing"
"01/01/1765",3,"missing"
"01/01/1766",3,"missing"
"01/01/1767",3,"missing"
"01/01/1768",3,"missing"
"01/01/1769",3,"missing"
"01/01/1770",3,"missing"
"01/01/1771",4,"missing"
"01/01/1772",4,"missing"
"01/01/1773",4,"missing"
"01/01/1774",4,"missing"
"01/01/1775",4,"missing"
"01/01/1776",4,"missing"
"01/01/1777",4,"missing"
"01/01/1778",4,"missing"
"01/01/1779",4,"missing"
"01/01/1780",4,"missing"
"01/01/1781",5,"missing"
"01/01/1782",5,"missing"
"01/01/1783",5,"missing"
"01/01/1784",5,"missing"
"01/01/1785",5,"missing"
"01/01/1786",5,"missing"
"01/01/1787",5,"missing"
"01/01/1788",5,"missing"
"01/01/1789",5,"missing"
"01/01/1790",5,"missing"
"01/01/1791",6,"missing"
"01/01/1792",6,"missing"
"01/01/1793",6,"missing"
"01/01/1794",6,"missing"
"01/01/1795",6,"missing"
"01/01/1796",6,"missing"
"01/01/1797",7,"missing"
"01/01/1798",7,"missing"
"01/01/1799",7,"missing"
"01/01/1800",8,"missing"
"01/01/1801",8,"missing"
"01/01/1802",10,"missing"
"01/01/1803",9,"missing"
"01/01/1804",9,"missing"
"01/01/1805",9,"missing"
"01/01/1806",10,"missing"
"01/01/1807",10,"missing"
"01/01/1808",10,"missing"
"01/01/1809",10,"missing"
"01/01/1810",10,"missing"
"01/01/1811",11,"missing"
"01/01/1812",11,"missing"
"01/01/1813",11,"missing"
"01/01/1814",11,"missing"
"01/01/1815",12,"missing"
"01/01/1816",13,"missing"
"01/01/1817",14,"missing"
"01/01/1818",14,"missing"
"01/01/1819",14,"missing"
"01/01/1820",14,"missing"
"01/01/1821",14,"missing"
"01/01/1822",15,"missing"
"01/01/1823",16,"missing"
"01/01/1824",16,"missing"
"01/01/1825",17,"missing"
"01/01/1826",17,"missing"
"01/01/1827",18,"missing"
"01/01/1828",18,"missing"
"01/01/1829",18,"missing"
"01/01/1830",24,"missing"
"01/01/1831",23,"missing"
"01/01/1832",23,"missing"
"01/01/1833",24,"missing"
"01/01/1834",24,"missing"
"01/01/1835",25,"missing"
"01/01/1836",29,"missing"
"01/01/1837",29,"missing"
"01/01/1838",30,"missing"
"01/01/1839",31,"missing"
"01/01/1840",33,"missing"
"01/01/1841",34,"missing"
"01/01/1842",36,"missing"
"01/01/1843",37,"missing"
"01/01/1844",39,"missing"
"01/01/1845",43,"missing"
"01/01/1846",43,"missing"
"01/01/1847",46,"missing"
"01/01/1848",47,"missing"
"01/01/1849",50,"missing"
"01/01/1850",54,"missing"
"01/01/1851",54,"missing"
"01/01/1852",57,"missing"
"01/01/1853",59,"missing"
"01/01/1854",69,"missing"
"01/01/1855",71,"missing"
"01/01/1856",76,"missing"
"01/01/1857",77,"missing"
"01/01/1858",78,"missing"
"01/01/1859",83,"missing"
"01/01/1860",91,"missing"
"01/01/1861",95,"missing"
"01/01/1862",97,"missing"
"01/01/1863",104,"missing"
"01/01/1864",112,"missing"
"01/01/1865",119,"missing"
"01/01/1866",122,"missing"
"01/01/1867",130,"missing"
"01/01/1868",135,"missing"
"01/01/1869",142,"missing"
"01/01/1870",147,"missing"
"01/01/1871",156,"missing"
"01/01/1872",173,"missing"
"01/01/1873",184,"missing"
"01/01/1874",174,"missing"
"01/01/1875",188,"missing"
"01/01/1876",191,"missing"
"01/01/1877",194,"missing"
"01/01/1878",196,"missing"
"01/01/1879",210,"missing"
"01/01/1880",236,"missing"
"01/01/1881",243,"missing"
"01/01/1882",256,"missing"
"01/01/1883",272,"missing"
"01/01/1884",275,"missing"
"01/01/1885",277,"missing"
"01/01/1886",281,"missing"
"01/01/1887",295,"missing"
"01/01/1888",327,"missing"
"01/01/1889",327,"missing"
"01/01/1890",356,"missing"
"01/01/1891",372,"missing"
"01/01/1892",374,"missing"
"01/01/1893",370,"missing"
"01/01/1894",383,"missing"
"01/01/1895",406,"missing"
"01/01/1896",419,"missing"
"01/01/1897",440,"missing"
"01/01/1898",465,"missing"
"01/01/1899",507,"missing"
"01/01/1900",534,"missing"
"01/01/1901",552,"missing"
"01/01/1902",566,"missing"
"01/01/1903",617,"missing"
"01/01/1904",624,"missing"
"01/01/1905",663,"missing"
"01/01/1906",707,"missing"
"01/01/1907",784,"missing"
"01/01/1908",750,"missing"
"01/01/1909",785,"missing"
"01/01/1910",819,"missing"
"01/01/1911",836,"missing"
"01/01/1912",879,"missing"
"01/01/1913",943,"missing"
"01/01/1914",850,"missing"
"01/01/1915",838,"missing"
"01/01/1916",901,"missing"
"01/01/1917",955,"missing"
"01/01/1918",936,"missing"
"01/01/1919",806,"missing"
"01/01/1920",932,"missing"
"01/01/1921",803,"missing"
"01/01/1922",845,"missing"
"01/01/1923",970,"missing"
"01/01/1924",963,"missing"
"01/01/1925",975,"missing"
"01/01/1926",983,"missing"
"01/01/1927",1062,"missing"
"01/01/1928",1065,"missing"
"01/01/1929",1145,"missing"
