"Date","Open","High","Low","Close.","Adj.Close..","Volume"
"10/01/2024","13.2",13.3,13.12,13.2,13.2,101106
"09/01/2024","13.5",13.53,13.18,13.36,13.36,1021385
"08/01/2024","13.13",13.45,12.97,13.45,13.45,1192181
"07/01/2024",NA,NA,NA,NA,NA,NA
"06/01/2024",NA,NA,NA,NA,NA,NA
"05/01/2024","12.99",13.23,12.74,13.14,13.14,953168
"04/01/2024","13",13.12,12.89,13.06,13.06,1167072
"03/01/2024","13.4",13.44,12.86,12.91,12.91,1771782
"02/01/2024","13.6",13.83,13.44,13.48,13.48,1190059
"01/01/2024",NA,NA,NA,NA,NA,NA
"31/12/2023",NA,NA,NA,NA,NA,NA
"30/12/2023",NA,NA,NA,NA,NA,NA
"29/12/2023","13.58",13.75,13.54,13.59,13.59,1046730
"28/12/2023","13.7",13.72,13.45,13.58,13.58,964409
"27/12/2023","13.69",13.73,13.58,13.68,13.68,791684
"26/12/2023",NA,NA,NA,NA,NA,NA
"25/12/2023",NA,NA,NA,NA,NA,NA
"24/12/2023",NA,NA,NA,NA,NA,NA
"23/12/2023",NA,NA,NA,NA,NA,NA
"22/12/2023","13.65",13.75,13.53,13.68,13.68,636257
"21/12/2023","13.65",13.77,13.51,13.73,13.73,981498
"20/12/2023","13.89",13.96,13.7,13.9,13.9,1209268
"19/12/2023","13.4",13.91,13.26,13.84,13.84,1987581
"18/12/2023","13.3",13.5,13.22,13.35,13.35,1327456
"17/12/2023",NA,NA,NA,NA,NA,NA
"16/12/2023",NA,NA,NA,NA,NA,NA
"15/12/2023","13.39",13.77,13.39,13.5,13.5,4112958
"14/12/2023","12.75",13.3,12.74,13.29,13.29,4497172
"13/12/2023","12.63",12.89,12.17,12.19,12.19,2576273
"12/12/2023","12.22",12.6,12.17,12.6,12.6,2265763
"11/12/2023","12.39",12.5,12.22,12.22,12.22,1385497
"10/12/2023",NA,NA,NA,NA,NA,NA
"09/12/2023",NA,NA,NA,NA,NA,NA
"08/12/2023","12.29",12.58,12.19,12.44,12.44,1720528
"07/12/2023","12.08",12.29,11.81,12.27,12.27,3073568
"06/12/2023","12.02",12.66,11.99,12.66,12.66,2511729
"05/12/2023","12.05",12.12,11.87,12.01,12.01,964311
"04/12/2023","12",12.27,11.99,12.14,12.14,1288814
"03/12/2023",NA,NA,NA,NA,NA,NA
"02/12/2023",NA,NA,NA,NA,NA,NA
"01/12/2023","11.7",12.02,11.7,11.98,11.98,1553520
"30/11/2023","11.77",11.78,11.46,11.63,11.63,1343056
"29/11/2023","11.4",11.77,11.38,11.7,11.7,1109851
"28/11/2023","11.42",11.5,11.28,11.4,11.4,1138964
"27/11/2023","11.65",11.84,11.43,11.48,11.48,1133605
"26/11/2023",NA,NA,NA,NA,NA,NA
"25/11/2023",NA,NA,NA,NA,NA,NA
"24/11/2023","11.68",11.71,11.52,11.64,11.64,1206107
"23/11/2023","12.14",12.14,11.66,11.73,11.73,1529670
"22/11/2023","12.01",12.24,11.88,12.2,12.2,1277955
"21/11/2023","12.4",12.49,11.99,11.99,11.99,1680861
"20/11/2023","12.63",12.67,12.25,12.4,12.4,1494133
"19/11/2023",NA,NA,NA,NA,NA,NA
"18/11/2023",NA,NA,NA,NA,NA,NA
"17/11/2023","12.49",12.79,12.45,12.64,12.64,1484925
"16/11/2023","12.53",12.7,12.39,12.46,12.46,1128714
"15/11/2023","12.45",12.72,12.4,12.63,12.63,1707863
"14/11/2023","12.18",12.53,12.09,12.38,12.38,1959668
"13/11/2023","11.86",12.2,11.86,12.16,12.16,1016370
"12/11/2023",NA,NA,NA,NA,NA,NA
"11/11/2023",NA,NA,NA,NA,NA,NA
"10/11/2023","12.01",12.17,11.73,11.86,11.86,1809064
"09/11/2023","12.32",12.58,12.24,12.43,12.43,1411514
"08/11/2023","11.85",12.56,11.84,12.41,12.41,2208486
"07/11/2023","11.65",11.97,11.62,11.9,11.9,994337
"06/11/2023","11.95",12.21,11.74,11.79,11.79,2249464
"05/11/2023",NA,NA,NA,NA,NA,NA
"04/11/2023",NA,NA,NA,NA,NA,NA
"03/11/2023","11.26",11.92,11.26,11.77,11.77,2955190
"02/11/2023","10.9",11.45,10.9,11.18,11.18,2170429
"01/11/2023","10.76",10.85,10.59,10.74,10.74,1267526
"31/10/2023","10.96",10.99,10.6,10.65,10.65,2213928
"30/10/2023","11.05",11.25,10.86,10.94,10.94,1751766
"29/10/2023",NA,NA,NA,NA,NA,NA
"28/10/2023",NA,NA,NA,NA,NA,NA
"27/10/2023","11.39",11.39,10.17,11.04,11.04,4366188
"26/10/2023","11.02",11.13,10.75,11.01,11.01,1880388
"25/10/2023","11.29",11.3,10.97,11.15,11.15,1070048
"24/10/2023","11.44",11.51,11.3,11.33,11.33,716917
"23/10/2023","11.43",11.5,10.99,11.36,11.36,1326742
"22/10/2023",NA,NA,NA,NA,NA,NA
"21/10/2023",NA,NA,NA,NA,NA,NA
"20/10/2023","11.58",11.6,11.32,11.4,11.4,1230916
"19/10/2023","11.56",11.76,11.48,11.7,11.7,982772
"18/10/2023","11.95",12.14,11.36,11.68,11.68,2459021
"17/10/2023","12.03",12.15,11.96,12.11,12.11,1123304
"16/10/2023","11.9",12.18,11.81,12.05,12.05,1336541
"15/10/2023",NA,NA,NA,NA,NA,NA
"14/10/2023",NA,NA,NA,NA,NA,NA
"13/10/2023","11.97",12.25,11.83,11.9,11.9,1484225
"12/10/2023","12.25",12.33,12.07,12.09,12.09,1935829
"11/10/2023","11.96",12.13,11.82,12.11,12.11,1327925
"10/10/2023","11.55",12.05,11.55,12.05,12.05,1947483
"09/10/2023","12.07",12.09,11.29,11.41,11.41,3864788
"08/10/2023",NA,NA,NA,NA,NA,NA
"07/10/2023",NA,NA,NA,NA,NA,NA
"06/10/2023","12.18",12.54,12.1,12.47,12.47,1871358
"05/10/2023","11.81",12.35,11.78,12.12,12.12,1932806
"04/10/2023","11.74",11.9,11.45,11.69,11.69,1427843
"03/10/2023","11.85",12.13,11.66,11.66,11.66,1292616
"02/10/2023","11.92",12.08,11.9,11.94,11.94,1031416
"01/10/2023",NA,NA,NA,NA,NA,NA
"30/09/2023",NA,NA,NA,NA,NA,NA
"29/09/2023","11.86",12.03,11.83,11.9,11.9,1132298
"28/09/2023","11.64",11.87,11.27,11.87,11.87,2097239
"27/09/2023","11.68",11.82,11.57,11.71,11.71,1315503
"26/09/2023","11.77",11.92,11.62,11.7,11.7,1400580
"25/09/2023","12.23",12.35,11.73,11.83,11.83,2271366
"24/09/2023",NA,NA,NA,NA,NA,NA
"23/09/2023",NA,NA,NA,NA,NA,NA
"22/09/2023","12.25",12.29,12.02,12.28,12.28,1731080
"21/09/2023","12.29",12.47,12.25,12.35,12.35,1458810
"20/09/2023","12.21",12.82,12.18,12.55,12.55,1822976
"19/09/2023","12.17",12.3,12.06,12.2,12.2,1407009
"18/09/2023","12.66",12.7,12.06,12.17,12.17,2569962
"17/09/2023",NA,NA,NA,NA,NA,NA
"16/09/2023",NA,NA,NA,NA,NA,NA
"15/09/2023","13",13.05,12.56,12.66,12.66,2480614
"14/09/2023","13.01",13.01,12.64,12.9,12.9,1466555
"13/09/2023","13.18",13.35,12.97,13.05,13.05,934581
"12/09/2023","13.27",13.42,13.17,13.26,13.26,873516
"11/09/2023","13.12",13.33,13.08,13.24,13.24,909346
"10/09/2023",NA,NA,NA,NA,NA,NA
"09/09/2023",NA,NA,NA,NA,NA,NA
"08/09/2023","13.31",13.31,12.96,13.16,13.16,1763713
"07/09/2023","13.39",13.43,13.22,13.33,13.33,1509646
"06/09/2023","13.8",13.94,13.47,13.47,13.47,1718187
"05/09/2023","13.99",14,13.73,13.94,13.94,1086332
"04/09/2023","14.05",14.34,13.89,14.1,14.1,885787
"03/09/2023",NA,NA,NA,NA,NA,NA
"02/09/2023",NA,NA,NA,NA,NA,NA
"01/09/2023","14.09",14.24,13.81,13.98,13.98,2242323
"31/08/2023","1:10 Stock Split",NA,NA,NA,NA,NA
"31/08/2023","14.53",14.53,13.56,1.42,1.42,2204824
"30/08/2023","14.32",14.35,14.07,14.17,14.17,660638
"29/08/2023","14.27",14.35,14.18,14.35,14.35,715869
"28/08/2023","14.03",14.3,14.02,14.19,14.19,848091
"27/08/2023",NA,NA,NA,NA,NA,NA
"26/08/2023",NA,NA,NA,NA,NA,NA
"25/08/2023","14",14.13,13.87,13.93,13.93,789341
"24/08/2023","14.3",14.4,14.02,14.02,14.02,564282
"23/08/2023","14.37",14.39,14.07,14.21,14.21,573947
"22/08/2023","14.06",14.47,14.02,14.26,14.26,1137163
"21/08/2023","13.98",14.11,13.91,13.99,13.99,646982
"20/08/2023",NA,NA,NA,NA,NA,NA
"19/08/2023",NA,NA,NA,NA,NA,NA
"18/08/2023","14.05",14.06,13.65,13.95,13.95,1144066
"17/08/2023","14.27",14.33,14.06,14.1,14.1,1115784
"16/08/2023","14.26",14.39,14.19,14.33,14.33,571396
"15/08/2023","14.52",14.55,14.28,14.32,14.32,661493
"14/08/2023","14.35",14.52,14.31,14.52,14.52,557581
"13/08/2023",NA,NA,NA,NA,NA,NA
"12/08/2023",NA,NA,NA,NA,NA,NA
"11/08/2023","14.5",14.56,14.4,14.43,14.43,1045531
"10/08/2023","14.54",14.87,14.52,14.56,14.56,921936
"09/08/2023","14.85",14.89,14.43,14.46,14.46,1173028
"08/08/2023","14.8",14.83,14.45,14.69,14.69,1279804
"07/08/2023","14.97",15.06,14.77,14.87,14.87,895688
"06/08/2023",NA,NA,NA,NA,NA,NA
"05/08/2023",NA,NA,NA,NA,NA,NA
"04/08/2023","14.77",15.16,14.77,15.02,15.02,1519734
"03/08/2023","14.86",14.86,14.51,14.63,14.63,1442468
"02/08/2023","15.14",15.24,14.82,14.89,14.89,1931710
"01/08/2023","15.8",15.81,15.23,15.31,15.31,1784946
"31/07/2023","15.6",15.86,15.48,15.7,15.7,1506571
"30/07/2023",NA,NA,NA,NA,NA,NA
"29/07/2023",NA,NA,NA,NA,NA,NA
"28/07/2023","15.6",15.78,14.86,15.5,15.5,3952232
"27/07/2023","15.6",15.89,15.5,15.81,15.81,1271521
"26/07/2023","15.44",15.7,15.44,15.6,15.6,1172328
"25/07/2023","15.96",16.06,15.44,15.44,15.44,1830618
"24/07/2023","16",16.1,15.78,15.9,15.9,1136188
"23/07/2023",NA,NA,NA,NA,NA,NA
"22/07/2023",NA,NA,NA,NA,NA,NA
"21/07/2023","15.85",16.28,15.82,16.07,16.07,1000651
"20/07/2023","15.9",16.09,15.77,15.83,15.83,1003980
