"city","year","pop","enroll","rent","avginc"
1,1980,75211,15303,197,11537
1,1990,77759,18017,342,19568
2,1980,106743,22462,323,19841
2,1990,141865,29769,496,31885
3,1980,36608,11847,216,11455
3,1990,42099,10265,351,21202
4,1980,36640,13825,267,14682
4,1990,46209,18173,588,29044
5,1980,62134,8175,475,31300
5,1990,110330,18205,925,56307
6,1980,118550,12223,276,16291
6,1990,132605,15192,630,35103
7,1980,76685,20724,302,16744
7,1990,83312,24809,521,29407
8,1980,65092,17134,257,15773
8,1990,87758,21377,422,26826
9,1980,126109,16009,253,11683
9,1990,130474,19012,568,25811
10,1980,81371,24528,242,12586
10,1990,84770,26027,383,21077
11,1980,81548,22735,228,11750
11,1990,124773,33980,444,23453
12,1980,42549,14863,187,10018
12,1990,45734,18396,347,14286
13,1980,58133,19532,243,14894
13,1990,63502,21070,422,22967
14,1980,73706,12215,336,21715
14,1990,73233,14887,636,22346
15,1980,52044,25719,210,10933
15,1990,60633,29886,403,18393
16,1980,77216,13618,195,13459
16,1990,71305,15799,325,19353
17,1980,45775,20465,251,16104
17,1990,47198,21615,404,24636
18,1980,50508,18299,234,14417
18,1990,59738,23508,414,24565
19,1980,52738,19308,248,13180
19,1990,65608,22508,415,22900
20,1980,32644,9253,224,13030
20,1990,37712,12223,396,21531
21,1980,40450,8551,194,12195
21,1990,40641,7086,332,20043
22,1980,219419,24732,239,15158
22,1990,219531,29333,354,21898
23,1980,95322,23403,257,14211
23,1990,95802,24364,538,33140
24,1980,51392,32289,248,15000
24,1990,50677,32044,451,24719
25,1980,79722,17340,232,14620
25,1990,80277,18351,403,23207
26,1980,107966,35628,309,18316
26,1990,109592,36074,568,33344
27,1980,42566,8571,238,15367
27,1990,48812,11889,399,24004
28,1980,40829,7392,197,10983
28,1990,41882,8703,304,21174
29,1980,62061,22202,236,13651
29,1990,69101,22166,382,22059
30,1980,171932,24993,231,17094
30,1990,191972,29616,379,28056
31,1980,45086,5645,215,13593
31,1990,62126,9002,366,23648
32,1980,28732,14173,230,10294
32,1990,29541,16361,493,25152
33,1980,101727,14587,212,12511
33,1990,101082,17635,456,17738
34,1980,170105,21139,210,12321
34,1990,163860,23703,409,21242
35,1980,32421,14338,256,15744
35,1990,38719,15359,489,30489
36,1980,100831,14863,225,12845
36,1990,136611,18486,440,24354
37,1980,150255,16498,255,17022
37,1990,207951,29138,479,32451
38,1980,35740,10463,231,13471
38,1990,44972,12470,374,12206
39,1980,61383,8534,228,17065
39,1990,74111,11938,355,25326
40,1980,43765,7959,216,16009
40,1990,49425,10494,367,25456
41,1980,25728,13789,252,13521
41,1990,28176,14394,393,21766
42,1980,26164,10030,248,13891
42,1990,28835,12611,401,21463
43,1980,68020,16689,244,15555
43,1990,80071,17751,362,25165
44,1980,38268,18098,219,11102
44,1990,36676,14972,354,18501
45,1980,40960,16072,245,13621
45,1990,44757,15872,385,23212
46,1980,105624,19179,249,14959
46,1990,112669,21440,425,25369
47,1980,564871,58499,225,14834
47,1990,632910,74047,422,26651
48,1980,36130,24358,266,9771
48,1990,38923,27717,490,18257
49,1980,101208,17326,203,12393
49,1990,98052,17312,392,23216
50,1980,175030,22802,203,11971
50,1990,165121,21604,332,19923
51,1980,32845,6495,226,14295
51,1990,44922,8196,388,26394
52,1980,37272,22555,282,9789
52,1990,52456,31212,428,9262
53,1980,173979,23397,245,15732
53,1990,186206,28322,381,24130
54,1980,27149,7657,194,11713
54,1990,30872,9990,346,15917
55,1980,101261,12883,207,12007
55,1990,103590,16308,353,17852
56,1980,26844,7863,198,12693
56,1990,32762,9232,328,21312
57,1980,74108,26926,186,12647
57,1990,86835,31236,336,21162
58,1980,37312,8699,243,13048
58,1990,39127,9972,493,25523
59,1980,39916,8860,268,13942
59,1990,40341,9657,469,18592
60,1980,63684,6331,204,12540
60,1990,54844,7013,311,18276
61,1980,27605,11768,220,10994
61,1990,25879,11870,355,18022
62,1980,51509,9610,225,14457
62,1990,56856,10640,352,24735
63,1980,48347,9051,220,13458
63,1990,51003,9961,344,21947
64,1980,170616,37475,243,16510
64,1990,191262,44601,472,29420
