state,variable,value
Alabama,revenue,364882
Arizona,revenue,622312
California,revenue,596330
Colorado,revenue,622775
Connecticut,revenue,608180
Delaware,revenue,290375
Florida,revenue,297172
Georgia,revenue,315752
Hawaii,revenue,739464
Idaho,revenue,744933
Illinois,revenue,447272
Indiana,revenue,432141
Kansas,revenue,390924
Kentucky,revenue,279276
Louisiana,revenue,345481
Maryland,revenue,233085
Michigan,revenue,494416
Mississippi,revenue,311931
Missouri,revenue,513525
Montana,revenue,591709
Nebraska,revenue,467483
New Hampshire,revenue,646475
New Jersey,revenue,598468
New Mexico,revenue,581670
New York,revenue,523752
North Carolina,revenue,319463
Ohio,revenue,527888
Oklahoma,revenue,297047
Oregon,revenue,637998
Rhode Island,revenue,547305
South Carolina,revenue,306130
South Dakota,revenue,366292
Tennessee,revenue,347741
Texas,revenue,359158
Utah,revenue,708703
Vermont,revenue,585595
Virginia,revenue,357451
Washington,revenue,735672
West Virginia,revenue,294710
Wisconsin,revenue,485316
Wyoming,revenue,668602
Alabama,followers,16882
Arizona,followers,65312
California,followers,51330
Colorado,followers,69775
Connecticut,followers,41180
Delaware,followers,23375
Florida,followers,12172
Georgia,followers,24752
Hawaii,followers,52464
Idaho,followers,59933
Illinois,followers,22272
Indiana,followers,26141
Kansas,followers,39924
Kentucky,followers,20276
Louisiana,followers,12481
Maryland,followers,29085
Michigan,followers,39416
Mississippi,followers,24931
Missouri,followers,26525
Montana,followers,51709
Nebraska,followers,35483
New Hampshire,followers,53475
New Jersey,followers,48468
New Mexico,followers,52670
New York,followers,46752
North Carolina,followers,19463
Ohio,followers,37888
Oklahoma,followers,17047
Oregon,followers,69998
Rhode Island,followers,45305
South Carolina,followers,20130
South Dakota,followers,35292
Tennessee,followers,19741
Texas,followers,21158
Utah,followers,60703
Vermont,followers,57595
Virginia,followers,26451
Washington,followers,65672
West Virginia,followers,22710
Wisconsin,followers,28316
Wyoming,followers,50602
