r_and_d_spend,marketing_spend,state,profit
165349.2,471784.1,New York,192261830
162597.7,443898.53,California,191792060
153441.51,407934.54,Florida,191050390
144372.41,383199.62,New York,182901990
142107.34,366168.42,Florida,166187940
131876.9,362861.36,New York,156991120
134615.46,127716.82,California,156122510
130298.13,323876.68,Florida,155752600
120542.52,311613.29,New York,152211770
123334.88,304981.62,California,149759960
101913.08,229160.95,Florida,146121950
100671.96,249744.55,California,144259400
93863.75,249839.44,Florida,141585520
91992.39,252664.93,California,134307350
119943.24,256512.92,Florida,132602650
114523.61,261776.23,New York,129917040
78013.11,264346.06,California,126992930
94657.16,282574.31,New York,125370370
91749.16,294919.57,Florida,124266900
86419.7,0,New York,122776860
76253.86,298664.47,California,118474030
78389.47,299737.29,New York,111313020
73994.56,303319.26,Florida,110352250
67532.53,304768.73,Florida,108733990
77044.01,140574.81,New York,108552040
64664.71,137962.62,California,107404340
75328.87,134050.07,Florida,105733540
72107.6,353183.81,New York,105008310
66051.52,118148.2,Florida,103282380
65605.48,107138.38,New York,101004640
61994.48,91131.24,Florida,99937590
61136.38,88218.23,New York,97483560
63408.86,46085.25,California,97427840
55493.95,214634.81,Florida,96778920
46426.07,210797.67,California,96712800
46014.02,205517.64,New York,96479510
28663.76,201126.82,Florida,90708190
44069.95,197029.42,California,89949140
20229.59,185265.1,New York,81229060
38558.51,174999.3,California,81005760
28754.33,172795.67,California,78239910
27892.92,164470.71,Florida,77798830
23640.93,148001.11,California,71498490
15505.73,35534.17,New York,69758980
22177.74,28334.72,California,65200330
1000.23,1903.93,New York,64926080
1315.46,297114.46,Florida,49490750
0,0,California,42559730
542.05,0,New York,35673410
0,45173.06,California,14681400
