"clothing_exp","hh_inc","num_kids","hh_size"
1.61,20.53,1,2
1.39,17.33,0,2
4.96,58.29,0,2
2.33,28.34,0,2
2.87,33.12,2,4
3.43,42.64,1,3
1.8,22.25,2,4
1.39,16.44,0,1
2.08,24.4,0,2
2.21,25.85,0,2
1.55,18.85,0,2
4.87,58.1,0,2
4.34,47.37,3,5
2.78,32.34,0,2
5.87,73.76,2,4
2.31,26.33,0,2
3.07,35.9,2,5
2.3,27.03,0,2
2.21,27.18,0,2
2.09,26.56,2,4
1.18,13.76,0,2
3.04,36.25,3,5
1.47,17.77,1,3
1.11,13.5,0,2
3.08,38,0,2
1.85,21,5,7
1.9,21.72,2,4
1.98,23.65,0,1
1.97,23.65,0,2
3.16,39.73,0,1
2.28,27.81,2,4
1.52,17.48,2,4
2.69,30.71,0,3
2.2,26.72,0,1
1.35,16.73,0,2
6.45,77.14,2,4
1.61,18.73,1,2
2.46,29.18,1,3
1.88,23.04,0,1
3.26,38.26,1,3
0.91,10.9,0,1
4,50.79,0,2
4.55,54.09,1,4
1.89,22.56,2,4
1.09,13.03,0,1
1.83,21.64,0,2
3,37.78,0,3
5.31,65.61,4,6
1.68,20.42,0,2
4.43,53.96,2,5
1.14,13.99,0,1
1.81,21.3,1,3
2.88,35.42,2,4
2,23.62,0,1
3.21,40.42,2,4
2,25.7,0,2
2.24,28.08,1,3
6.69,83.38,2,4
4.59,55.88,2,4
5.26,60.5,2,4
1.36,15.97,0,2
1.9,23.05,1,3
4.73,57.93,0,1
1.41,17.12,0,1
1.27,16.73,0,2
1.11,13.43,0,1
2.49,30.03,0,2
3.4,41.27,1,2
2.43,28.51,2,4
1.06,13.58,1,3
1.48,17.75,2,4
1.34,16.91,0,1
2.81,34.05,4,6
1.5,17.61,0,2
2.46,28.32,0,2
2.34,29.22,0,2
3.74,41.6,0,3
4.95,58.71,0,1
1.89,21.84,0,3
4.13,48.6,2,4
2.79,31.72,3,5
2.01,24.96,2,4
1.46,17.57,0,1
1.6,19.55,0,1
1.3,15.13,0,1
2.48,30.32,0,2
2.12,24.26,3,6
2.01,24.46,0,1
2.41,28.57,1,3
3.55,42.56,2,5
2.09,25.9,0,2
5.18,61.75,2,4
3.66,43.3,1,3
2.36,27.45,0,1
4.23,49.7,1,2
2.37,29.37,0,1
3.1,39.94,0,2
2.55,31.01,0,2
2.58,31.64,0,2
3.65,43.99,0,2
2.06,25.22,0,2
2.77,30.34,5,7
2.19,28.25,0,2
2.48,27.96,2,4
1.78,20.65,0,1
1.54,19.42,0,1
3.13,36.74,0,2
2.61,32.07,2,4
1.19,14.15,0,2
2.44,29.6,3,5
2.38,27.13,2,4
4.21,47.4,4,6
1.57,18.18,0,2
2.29,30.29,1,3
3.6,39.81,2,4
1.57,19.17,0,1
1.85,23.04,1,3
2.45,29.35,0,2
4.66,55.18,0,1
2.26,26.15,0,2
1.58,18.99,3,5
1.33,15.89,0,2
6.17,73.97,0,2
1.5,18.55,1,3
2.09,24.71,3,5
1.71,19.17,2,4
1.9,22.52,0,2
1.43,17.61,0,1
2.34,28.84,3,5
2.46,28.64,3,5
3.55,42.23,1,3
3.14,38.89,0,2
4.17,45.24,0,2
2.28,27.74,0,2
1.9,24.32,0,3
1.83,22.95,0,2
3.26,41.59,0,2
1.82,21.37,0,2
1.88,22.63,1,3
1.93,23.26,0,1
3.07,36.82,0,3
3.59,44.98,1,3
1.07,12.67,0,2
6.33,80.15,0,2
1.93,23.49,0,2
2.79,34.04,0,1
2.28,27.97,0,2
2.83,37.48,0,2
2.74,33,0,2
1.32,15.95,2,4
6.03,70.43,2,4
1.97,22.39,1,3
2.94,36.42,0,2
2.01,24.14,0,2
2.55,32.03,0,2
2.55,31.01,0,3
1.62,19.98,1,3
2.82,33.41,0,2
2,24.13,1,4
2.1,22.91,2,5
3.25,36.51,1,3
1.01,12.93,0,1
3.72,45.13,1,4
2.28,27.88,1,3
1.27,15.95,0,2
5.52,64.87,2,5
1.29,14.27,0,1
3.3,38.47,0,2
2.17,27.64,1,3
2.77,34.64,0,3
2.01,23.22,3,5
2.18,25.92,2,4
3.19,40.13,0,2
6.42,80.75,0,2
3.42,41.39,0,2
1.22,14.73,0,2
1.28,14.64,0,1
4.83,55.36,1,4
1.98,22.45,3,5
3.75,47.56,0,1
3.07,38.09,0,2
2.03,24.59,2,4
5.32,59.99,2,4
1.63,19.63,2,3
1.59,18.05,3,5
2.35,27.67,0,2
1.27,16.22,0,2
3.67,44.68,0,3
2.56,29.33,0,2
1.14,13.57,1,3
3.49,45.63,0,2
2.81,34.5,0,2
3.12,37.93,2,4
1.85,21.26,4,6
1.43,17.36,2,4
1.35,15.76,0,1
1.75,21.5,3,5
2.2,28.4,0,1
1.56,17.6,0,1
3.05,34.59,4,6
3.13,37.77,0,2
3.12,38.54,0,1
1.36,16.81,0,3
2.36,27.78,1,2
3.56,42.4,0,1
4.72,54.24,1,4
1.12,13.28,0,2
1.77,20.7,1,3
2.14,25.15,0,3
2.87,34.13,0,1
4.96,60.23,1,4
1.26,15.34,0,2
2.84,35.03,2,4
1.64,19.01,0,2
1.83,20.72,0,2
3.33,40.28,2,4
3.04,35.01,3,5
1.29,15.67,2,4
2.12,25.26,2,4
3.45,41.68,2,4
1.26,14.5,1,2
1.29,16.22,0,2
4.5,56.13,0,2
2.04,26.06,0,2
1.4,17.07,0,1
