Gemeente;2022;2021
Bloemendaal;1118,9;393,8
Blaricum;1099,1;538,8
Laren (NH.);1030,1;306,4
Wassenaar;970,8;295,0
Heemstede;805,0;332,8
Rozendaal;743,5;452,8
Landsmeer;724,0;365,4
De Bilt;719,6;273,2
Gooise Meren;692,7;390,7
Bergen (NH.);685,9;360,0
Amstelveen;658,4;466,1
Wijdemeren;657,9;357,8
Ouder-Amstel;650,6;345,2
Zeist;643,1;416,9
Westvoorne;627,8;625,7
Amsterdam;621,0;569,9
Eemnes;619,3;379,4
Vught;614,8;344,7
Utrechtse Heuvelrug;609,0;301,1
Waalre;607,6;379,7
Baarn;600,7;366,3
De Ronde Venen;594,1;529,1
Oegstgeest;585,6;433,3
Zandvoort;584,5;451,3
Son en Breugel;583,7;297,8
Bunnik;583,6;313,2
Huizen;581,6;502,0
Schiermonnikoog;577,2;290,0
Oostzaan;576,5;377,6
Aalsmeer;570,7;402,5
Noordwijk;566,4;301,2
Voorschoten;565,5;659,5
Houten;564,3;307,4
Oisterwijk;562,5;339,7
Waterland;561,7;425,4
Haarlem;561,4;414,4
Heiloo;561,0;378,8
Vlieland;557,2;335,8
Lansingerland;551,9;634,8
Stichtse Vecht;544,6;409,3
Midden-Delfland;542,6;1067,3
Hilvarenbeek;541,4;1007,9
Putten;539,8;429,3
Voorst;538,5;366,4
Weesp;537,6;305,8
Soest;535,0;336,6
"Nuenen, Gerwen en Nederwetten";531,6;297,6
Diemen;528,1;376,1
Haarlemmermeer;527,1;404,4
Alphen-Chaam;525,9;427,3
Pijnacker-Nootdorp;524,9;371,8
Hilversum;524,2;424,6
Teylingen;523,5;377,7
Barneveld;518,4;230,8
Leusden;518,2;537,4
Renswoude;516,8;401,1
Castricum;513,7;429,2
Sint-Michielsgestel;513,0;343,1
Eersel;511,3;461,1
Utrecht (gemeente);511,0;312,6
Woudenberg;510,0;344,7
Ermelo;509,3;326,1
Hattem;509,1;385,6
Woerden;505,1;393,4
Renkum;503,0;290,6
Rhenen;502,5;395,5
Lochem;502,4;375,1
Terschelling;501,3;343,6
Buren;500,2;465,7
Veldhoven;500,0;343,8
Bodegraven-Reeuwijk;495,7;347,3
IJsselstein;493,8;331,9
Barendrecht;493,8;355,0
Albrandswaard;493,1;299,2
Kaag en Braassem;492,7;390,2
Uithoorn;492,0;372,2
Epe;490,4;328,9
Oirschot;490,2;368,1
Lisse;489,7;356,1
Heerde;487,9;286,4
Tynaarlo;485,6;357,4
Velsen;482,2;392,4
Goirle;480,9;504,9
Veere;480,8;223,1
Nijkerk;480,1;470,1
Hillegom;478,3;386,1
Laarbeek;476,2;367,0
Scherpenzeel;476,0;348,9
Bernheze;475,1;262,0
West Betuwe;474,8;326,9
Nunspeet;473,8;293,3
Heusden;473,8;463,6
Wormerland;473,1;424,2
Wijk bij Duurstede;472,5;364,9
Breda;470,6;344,4
Leidschendam-Voorburg;469,8;352,3
Amersfoort;468,5;371,3
Boxtel;466,6;397,3
Katwijk;466,0;333,7
Bladel;465,4;357,4
West Maas en Waal;464,1;344,0
Zuidplas;463,9;319,3
