"flight","airline","source_city","destination_city","days_left","price"
"SG-8709","SpiceJet","Delhi","Mumbai",1,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",1,58.39
"I5-764","AirAsia","Delhi","Mumbai",1,58.42
"UK-995","Vistara","Delhi","Mumbai",1,58.41
"UK-963","Vistara","Delhi","Mumbai",1,58.41
"UK-945","Vistara","Delhi","Mumbai",1,58.41
"UK-927","Vistara","Delhi","Mumbai",1,59.44
"UK-951","Vistara","Delhi","Mumbai",1,59.44
"G8-334","GO_FIRST","Delhi","Mumbai",1,58.4
"G8-336","GO_FIRST","Delhi","Mumbai",1,58.4
"G8-392","GO_FIRST","Delhi","Mumbai",1,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",1,58.4
"6E-5001","Indigo","Delhi","Mumbai",1,58.41
"6E-6202","Indigo","Delhi","Mumbai",1,58.41
"6E-549","Indigo","Delhi","Mumbai",1,58.41
"6E-6278","Indigo","Delhi","Mumbai",1,58.41
"AI-887","Air_India","Delhi","Mumbai",1,58.41
"AI-665","Air_India","Delhi","Mumbai",1,58.41
"6E-5328","Indigo","Delhi","Mumbai",1,60.46
"UK-933","Vistara","Delhi","Mumbai",1,65.61
"6E-2046","Indigo","Delhi","Mumbai",1,64.58
"SG-8169","SpiceJet","Delhi","Mumbai",1,100.63
"6E-5041","Indigo","Delhi","Mumbai",1,102.69
"UK-955","Vistara","Delhi","Mumbai",1,125.34
"UK-977","Vistara","Delhi","Mumbai",1,154.18
"SG-8803","SpiceJet","Delhi","Mumbai",2,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",2,58.39
"UK-927","Vistara","Delhi","Mumbai",2,58.41
"UK-985","Vistara","Delhi","Mumbai",2,58.41
"UK-977","Vistara","Delhi","Mumbai",2,58.41
"UK-963","Vistara","Delhi","Mumbai",2,58.41
"UK-955","Vistara","Delhi","Mumbai",2,58.41
"UK-953","Vistara","Delhi","Mumbai",2,59.44
"G8-334","GO_FIRST","Delhi","Mumbai",2,58.4
"G8-336","GO_FIRST","Delhi","Mumbai",2,58.4
"G8-346","GO_FIRST","Delhi","Mumbai",2,58.4
"G8-330","GO_FIRST","Delhi","Mumbai",2,58.4
"G8-338","GO_FIRST","Delhi","Mumbai",2,58.4
"G8-323","GO_FIRST","Delhi","Mumbai",2,58.4
"6E-5001","Indigo","Delhi","Mumbai",2,58.41
"6E-2046","Indigo","Delhi","Mumbai",2,58.41
"6E-5041","Indigo","Delhi","Mumbai",2,58.41
"6E-218","Indigo","Delhi","Mumbai",2,58.41
"6E-549","Indigo","Delhi","Mumbai",2,58.41
"6E-6722","Indigo","Delhi","Mumbai",2,58.41
"SG-8157","SpiceJet","Delhi","Mumbai",2,58.41
"6E-6278","Indigo","Delhi","Mumbai",2,58.41
"6E-5328","Indigo","Delhi","Mumbai",2,58.41
"I5-764","AirAsia","Delhi","Mumbai",2,58.42
"AI-868","Air_India","Delhi","Mumbai",2,58.41
"AI-887","Air_India","Delhi","Mumbai",2,58.41
"AI-665","Air_India","Delhi","Mumbai",2,58.41
"AI-805","Air_India","Delhi","Mumbai",2,58.41
"AI-624","Air_India","Delhi","Mumbai",2,58.41
"UK-995","Vistara","Delhi","Mumbai",2,62.52
"UK-951","Vistara","Delhi","Mumbai",2,73.85
"UK-933","Vistara","Delhi","Mumbai",2,73.85
"UK-945","Vistara","Delhi","Mumbai",2,73.85
"6E-6202","Indigo","Delhi","Mumbai",2,76.94
"SG-8803","SpiceJet","Delhi","Mumbai",3,58.39
"SG-8157","SpiceJet","Delhi","Mumbai",3,58.39
"SG-8169","SpiceJet","Delhi","Mumbai",3,58.39
"UK-927","Vistara","Delhi","Mumbai",3,58.41
"UK-995","Vistara","Delhi","Mumbai",3,58.41
"UK-963","Vistara","Delhi","Mumbai",3,58.41
"G8-334","GO_FIRST","Delhi","Mumbai",3,58.4
