year,month,avg_bill
1991,Jan,162.1
1991,Feb,256.9
1991,Mar,151.15
1991,Apr,118.76
1991,May,100.71
1991,Jun,83.97
1991,Jul,99.4
1991,Aug,103.64
1991,Sep,71.59
1991,Oct,94.92
1991,Nov,78.83
1991,Dec,182.85
1992,Jan,165.23
1992,Feb,197.94
1992,Mar,146.8
1992,Apr,127.17
1992,May,112.4
1992,Jun,70.35
1992,Jul,72.98
1992,Aug,82.8
1992,Sep,70.33
1992,Oct,76.13
1992,Nov,75.54
1993,Dec,130.32
1993,Jan,180.08
1993,Feb,222.99
1993,Mar,214.45
1993,Apr,160.98
1993,May,99.34
1993,Jun,75.31
1993,Jul,134.99
1993,Aug,100.22
1993,Sep,90.79
1993,Oct,64.62
1993,Nov,72.79
1993,Dec,135.56
1994,Jan,180
1994,Feb,158.59
1994,Mar,183.06
1994,Apr,115.95
1994,May,82.27
1994,Jun,69.33
1994,Jul,91.38
1994,Aug,80.28
1994,Sep,70
1994,Oct,56.47
1994,Nov,56.47
1994,Dec,71.63
1995,Jan,129.06
1995,Feb,154.32
1995,Mar,174.8
1995,Apr,113.25
1995,May,94.23
1995,Jun,69.79
1995,Jul,89.06
1995,Aug,96.29
1995,Sep,107.3
1995,Oct,77.9
1995,Nov,74.67
1995,Dec,150.11
1996,Jan,218.67
1996,Feb,256.02
1996,Mar,222.21
1996,Apr,189.44
1996,May,107.82
1996,Jun,77.76
1996,Jul,70.31
1996,Aug,80.85
1996,Sep,56.05
1996,Oct,49.53
1996,Nov,54.01
1996,Dec,107.94
1997,Jan,155.99
1997,Feb,198.82
1997,Mar,106.51
1997,Apr,81.45
1997,May,75.95
1997,Jun,60.83
1997,Jul,58.2
1997,Aug,65.61
1997,Sep,57.78
1997,Oct,49.4
1997,Nov,52.86
1997,Dec,78.13
1998,Jan,100.43
1998,Feb,102.64
1998,Mar,66.77
1998,Apr,65.68
1998,May,37.03
1998,Jun,37.88
1998,Jul,42.44
1998,Aug,46.18
1998,Sep,42.87
1998,Oct,41.99
1998,Nov,34.49
1998,Dec,40.97
1999,Jan,62.5
1999,Feb,93.9
1999,Mar,45.36
1999,Apr,44.64
1999,May,28.23
1999,Jun,22.84
1999,Jul,27.96
1999,Aug,46
1999,Sep,153.32
1999,Oct,86.03
1999,Nov,80.96
1999,Dec,92.15
2000,Jan,126.86
2000,Feb,155.45
2000,Mar,121.19
2000,Apr,190.62
2000,May,115.7
2000,Jun,81.35
2000,Jul,91.23
2000,Aug,86.28
2000,Sep,83.97
2000,Oct,77.65
2000,Nov,72.3
2000,Dec,89.49
