"y","num_projects","salary","promotion"
0.38,2,"low",0
0.8,5,"medium",0
0.11,7,"medium",0
0.72,5,"low",0
0.37,2,"low",0
0.41,2,"low",0
0.1,6,"low",0
0.92,5,"low",0
0.89,5,"low",0
0.42,2,"low",0
0.45,2,"low",0
0.11,6,"low",0
0.84,4,"low",0
0.41,2,"low",0
0.36,2,"low",0
0.38,2,"low",0
0.45,2,"low",0
0.78,4,"low",0
0.45,2,"low",1
0.76,5,"low",0
0.11,6,"low",0
0.38,2,"low",0
0.09,6,"low",0
0.46,2,"low",0
0.4,2,"low",0
0.89,5,"low",0
0.82,4,"low",0
0.4,2,"low",0
0.41,2,"low",0
0.38,2,"low",0
0.09,6,"low",0
0.45,2,"low",0
0.4,2,"low",0
0.45,2,"low",0
0.84,4,"low",0
0.1,6,"low",0
0.38,2,"low",0
0.45,2,"low",0
0.11,6,"low",0
0.41,2,"low",0
0.87,5,"low",0
0.45,2,"low",0
0.4,2,"low",0
0.1,7,"low",0
0.09,6,"low",0
0.84,3,"low",0
0.4,2,"low",0
0.57,3,"low",0
0.4,2,"low",0
0.43,2,"low",0
0.13,6,"low",0
0.44,2,"low",0
0.38,2,"low",0
0.39,2,"low",0
0.1,7,"low",0
0.37,2,"low",0
0.11,7,"low",0
0.1,6,"low",0
0.38,2,"low",0
0.85,4,"low",0
0.85,5,"medium",0
0.11,7,"medium",0
0.1,6,"medium",0
0.36,2,"medium",0
0.11,6,"medium",0
0.81,6,"medium",0
0.43,2,"medium",0
0.9,4,"medium",0
0.76,5,"medium",0
0.43,2,"medium",0
0.74,2,"medium",0
0.09,5,"medium",0
0.45,2,"high",0
0.09,7,"low",0
0.11,6,"medium",0
0.11,7,"medium",0
0.1,6,"medium",0
0.4,2,"medium",0
0.43,2,"low",0
0.39,2,"low",0
0.45,2,"low",0
0.38,2,"low",0
0.79,4,"low",1
0.84,4,"low",0
0.11,6,"low",0
0.11,6,"low",0
0.17,5,"low",0
0.44,2,"low",0
0.37,2,"low",0
0.1,6,"low",0
0.4,2,"low",0
0.89,5,"low",0
0.42,2,"low",0
0.46,2,"low",0
0.09,6,"low",0
0.37,2,"low",0
0.1,6,"low",0
0.1,6,"low",0
0.11,6,"low",0
0.9,5,"medium",0
0.38,2,"medium",0
0.36,2,"medium",0
0.42,2,"medium",0
0.09,7,"medium",0
0.43,2,"medium",0
0.24,7,"medium",0
0.91,4,"medium",0
0.44,2,"medium",0
0.71,3,"medium",0
0.4,2,"medium",0
0.43,2,"medium",0
0.09,6,"high",0
0.43,2,"low",0
0.9,4,"medium",0
0.84,5,"medium",0
0.37,2,"medium",0
0.86,5,"medium",0
0.11,6,"low",0
0.37,2,"low",0
0.4,2,"low",0
0.14,4,"low",0
0.4,2,"low",0
0.75,4,"low",0
0.11,6,"low",0
0.46,2,"low",0
0.11,6,"low",0
0.38,2,"low",0
0.7,3,"low",0
0.09,6,"low",0
0.37,2,"low",0
0.1,6,"low",0
0.38,2,"low",0
0.9,5,"low",0
0.44,2,"low",0
0.36,2,"low",0
0.31,7,"low",0
0.1,6,"low",0
0.42,2,"low",0
0.74,4,"low",0
0.73,5,"low",0
0.09,6,"low",0
0.45,2,"low",0
0.11,6,"low",0
0.37,2,"low",0
0.84,4,"low",0
0.41,2,"low",0
0.76,4,"low",0
0.11,6,"low",0
0.84,4,"low",0
0.39,2,"low",0
0.11,6,"low",0
0.45,2,"low",0
0.37,2,"low",0
0.4,2,"low",0
0.39,2,"low",0
0.11,6,"low",0
0.83,5,"low",0
0.11,6,"low",0
0.39,2,"low",0
0.45,2,"low",0
0.1,7,"low",0
0.9,5,"low",0
0.45,2,"low",0
0.79,5,"low",0
0.9,5,"low",0
0.11,7,"low",0
0.43,2,"low",0
0.31,5,"low",0
0.32,2,"low",0
0.45,2,"low",0
0.81,4,"low",0
0.41,2,"low",1
0.11,7,"low",0
0.1,6,"low",0
0.7,2,"low",0
0.54,4,"low",0
0.41,2,"low",0
0.38,2,"medium",0
0.37,2,"medium",0
0.11,6,"medium",0
0.4,2,"medium",0
0.1,6,"medium",0
