price,year,odometer,paint_color,good_condition
3000,1979,150000,orange,0
3200,1993,190000,silver,0
37800,2017,52653,red,1
16450,2016,49500,silver,1
7500,2008,240000,grey,1
19900,2016,105905,red,1
31995,2016,75280,black,1
11140,2006,114038,red,1
18500,2013,119347,black,1
3900,2003,160000,grey,0
5000,2005,205315,white,0
3800,1992,157600,blue,0
2250,1998,290000,white,0
1700,1993,212003,green,0
20500,2015,102200,red,1
38999,2015,53398,black,1
12500,2005,152000,red,0
1000,2018,100000,green,1
4600,2012,120000,white,0
15998,2017,84000,white,1
19950,2011,146029,red,0
50500,2020,6577,white,0
17500,2011,75800,grey,0
18995,2014,128000,white,1
24000,2015,40301,silver,0
5995,2006,168400,grey,0
5800,2011,235000,white,0
13500,2017,141000,white,1
37900,2016,51615,red,0
35990,2018,64750,grey,1
8500,1998,126000,white,0
24900,2015,135741,silver,1
33951,2016,45162,silver,1
8495,2005,144000,silver,0
37900,2016,51615,red,0
17995,2008,86238,black,1
28900,2015,84485,silver,1
15000,2011,125000,black,1
36000,2018,27000,blue,1
14950,2012,129037,red,1
3200,2001,311055,green,0
21995,2013,147215,white,1
32990,2013,133978,black,0
21995,2013,63644,grey,1
8500,2006,184522,brown,1
27900,2015,65619,red,1
6000,2001,160000,red,0
32969,2019,35972,red,1
27500,2020,3000,blue,1
32497,2015,56840,red,1
5500,2003,212000,black,0
8900,2004,160000,white,0
23900,2012,96000,black,0
2000,1997,193000,green,0
35595,2015,66117,blue,1
23995,2011,90895,black,1
5000,2002,189000,white,1
8999,2007,317225,white,1
19990,2013,142517,white,0
4900,2008,203000,white,0
4250,1999,114000,green,0
26000,2016,64000,silver,1
12800,2010,132000,blue,1
5300,2008,184000,white,0
36950,2020,23811,black,1
29995,2014,99411,white,1
9999,2010,186760,white,1
35950,2019,27710,white,1
23595,2014,124000,white,0
13900,2011,167745,black,1
21000,2013,146000,white,1
2750,1986,125000,blue,0
44950,2019,13584,red,1
53900,2019,29314,white,1
9900,2011,164750,grey,1
14995,2008,173323,white,0
14995,2010,179429,red,1
22000,2020,4896,white,1
8275,2009,86000,red,0
19995,2012,127265,white,1
37999,2019,35308,grey,1
9500,1978,75000,custom,1
13995,2010,171300,blue,0
27989,2018,22847,white,1
32499,2015,65989,red,1
14550,2006,75000,blue,1
32493,2016,30760,white,1
4499,2007,242500,white,1
25990,2019,14888,white,1
8000,2004,153000,red,0
8796,2007,120075,custom,0
35999,2018,57154,black,1
3750,2007,105000,blue,0
27000,2014,90000,brown,1
17900,2012,136843,black,1
38995,2018,10700,blue,1
11995,2012,193000,black,1
4500,2008,240000,white,1
6000,2002,231000,white,1
34999,2018,17495,brown,1
18250,2009,112400,white,0
15455,2010,93008,silver,0
5900,2008,121000,red,0
6900,2002,107354,black,0
22000,2014,34000,grey,1
14995,2017,140094,white,1
7750,2003,135674,white,1
4850,2004,210000,silver,1
29500,2015,78000,silver,1
4390,2004,158000,white,1
39400,2019,6956,green,1
11995,2013,175000,grey,1
18995,2019,125968,white,1
16950,2012,123517,red,0
14500,2010,162137,red,1
14950,2010,204974,black,0
17900,2012,136843,black,1
10000,2009,157000,grey,0
11200,2013,129000,green,1
5995,2010,205336,black,1
25995,2016,126351,black,0
13950,2013,137278,white,0
9995,2011,152414,silver,1
5995,2004,288624,blue,0
26000,2013,95000,blue,1
4000,1999,149000,white,0
14900,2012,167740,silver,1
30915,2017,58300,white,1
4000,2005,163000,red,0
17995,2008,86238,black,1
3000,2018,92770,black,1
40513,2019,10749,black,0
17000,2013,87668,red,1
3200,2007,161000,yellow,0
9450,2006,160000,black,1
18900,2012,122000,black,0
25990,2019,14888,white,1
15995,2013,130254,blue,0
12950,2013,158425,white,0
7200,2006,140000,white,1
17500,2013,108816,white,1
6500,2006,177461,white,0
24900,2015,89000,grey,1
5400,2001,183000,yellow,0
7200,2003,142620,silver,1
3000,2000,133000,red,0
1500,1993,204000,red,0
2000,1997,180000,black,0
19991,2017,133598,grey,0
30995,2018,51473,black,1
39499,2016,54000,white,1
24495,2011,141847,white,1
12995,2008,169995,black,0
17999,2013,155580,blue,1
33995,2017,83657,silver,0
1000,2017,100212,white,1
9995,2011,152414,silver,1
14200,2013,198946,silver,1
23999,2016,42407,white,1
15000,2011,160000,blue,1
18500,2013,119347,black,1
21900,2015,110602,brown,0
6000,2006,157000,blue,0
19999,2013,114629,red,1
12995,2012,154000,white,0
5999,2006,189000,red,1
3995,2005,136000,brown,1
8988,2011,165374,blue,0
16950,2010,152349,silver,0
13999,2011,166373,white,1
21900,2015,110602,brown,0
16500,2013,173000,green,1
13950,2013,198946,silver,1
69900,2019,9340,black,1
9995,2006,125427,white,0
14750,2011,122514,blue,0
