gemeente,house_price,pop_growth,province
Neder-Betuwe,432.1,7.8,Gelderland
Doesburg,355,-2.2,Gelderland
Dongen,393.4,5.5,Noord-Brabant
Westerwolde,344.3,7.5,Groningen
Rozendaal,743.5,11.4,Gelderland
Utrechtse Heuvelrug,609,2.3,Utrecht
Achtkarspelen,305.5,0.8,Friesland
Heerlen,251.3,0.4,Limburg
Papendrecht,382.2,0,Zuid-Holland
Velsen,482.2,1.4,Noord-Holland
Laren (NH.),1030.1,5.1,Noord-Holland
Vijfheerenlanden,406.1,9.2,Utrecht
Peel en Maas,376.4,4.5,Limburg
Reimerswaal,316.6,3.1,Zeeland
De Fryske Marren,361.4,0.5,Friesland
Opmeer,391.4,5.7,Noord-Holland
Waterland,561.7,2,Noord-Holland
Stein (L.),314.9,-0.9,Limburg
Scherpenzeel,476,6.5,Gelderland
De Bilt,719.6,2.4,Utrecht
Dronten,380.7,7,Flevoland
Halderberge,372.9,3.9,Noord-Brabant
Rijswijk (ZH.),403.8,11.1,Zuid-Holland
Beek (L.),328.7,1.5,Limburg
Oost Gelre,342.9,0.6,Gelderland
Landsmeer,724,2.4,Noord-Holland
Steenbergen,351.7,-0.7,Noord-Brabant
Ameland,388.7,5.1,Friesland
Het Hogeland,286.6,0.5,Groningen
Nijmegen,412.4,3.7,Gelderland
Zeewolde,442.4,5.7,Flevoland
Zuidplas,463.9,12.2,Zuid-Holland
Noordoostpolder,335,6.7,Flevoland
Geldrop-Mierlo,440.7,3,Noord-Brabant
Bergeijk,446.9,3.8,Noord-Brabant
Oude IJsselstreek,316.5,0.2,Gelderland
Wassenaar,970.8,3.9,Zuid-Holland
Drimmelen,412.1,3.4,Noord-Brabant
Kerkrade,237.8,-0.4,Limburg
Tholen,279.3,4.9,Zeeland
Wormerland,473.1,3.9,Noord-Holland
Zevenaar,341.4,3.8,Gelderland
Krimpenerwaard,410.4,3.7,Zuid-Holland
Pijnacker-Nootdorp,524.9,7.5,Zuid-Holland
Heemskerk,418.2,0.7,Noord-Holland
Barneveld,518.4,7.5,Gelderland
