"year","gdp_nl","gdp_us"
1960,14276.8700623396,18991.5446025928
1961,14131.9601777754,19108.9353645939
1962,14885.5239013739,19965.1435753955
1963,15218.4581936088,20545.7842453942
1964,16258.8023709137,21437.5840704395
1965,17423.2548724934,22526.2055148551
1966,17668.7259509897,23714.9390278431
1967,18392.0436779347,24044.565127902
1968,19369.888243145,24948.3568987924
1969,20377.9238059643,25471.6161786519
1970,21362.8476594376,25231.1271579892
1971,22021.6476367213,25734.4828350051
1972,22570.480652863,26798.5336071197
1973,23603.1814835262,28042.5519161527
1974,24224.2438208069,27637.2997746126
1975,24009.7580066512,27309.8688169354
1976,24883.6038328871,28509.1430550141
1977,25359.5365872642,29528.9663683544
1978,25883.5490958627,30834.9992317542
1979,26223.246165217,31462.1003887938
1980,26365.6719647464,31081.6216349433
1981,25980.218223968,31559.1293394228
1982,25540.479624977,30696.0834354928
1983,25970.4838777274,31810.921609807
1984,26659.5857351025,33818.8235513622
1985,27220.2194444849,34918.1302012407
1986,27823.9996673834,35794.8877746915
1987,28181.9596469492,36701.9453875331
1988,28964.021267438,37889.3773471466
1989,30063.370768457,38911.5418950729
1990,31106.0519601296,39200.0658112434
1991,31614.6528926889,38637.8398140572
1992,31911.8353719116,39447.9472855283
1993,32088.7065995431,40002.4762252856
1994,32840.2781037327,41106.988184368
1995,33696.7438281983,41710.8207249566
1996,34715.1616306125,42783.8165697826
1997,36032.0402458477,44151.6860414367
1998,37480.7094477732,45596.4306843475
1999,39106.3881617199,47234.2455275229
2000,40456.9422374474,48616.25462578
2001,41087.042173269,48597.4246142005
2002,40914.3255026768,48967.3661201159
2003,40785.1222216206,49905.5233074237
2004,41450.4042697266,51348.3473376223
2005,42201.7754133082,52649.5713054684
2006,43592.3027449221,53596.3152372
2007,45138.678436798,54152.8292651299
2008,45939.1481987846,53703.9628961267
2009,44027.6025577706,51863.6183411923
2010,44390.5044098134,52821.4047643404
2011,44869.3129413094,53259.2552138539
2012,44242.9735261304,54080.2286497215
2013,44055.3042590473,54844.2425797154
2014,44521.8945390276,55817.5632471958
2015,45193.4032187971,57040.2082136605
2016,45938.7850440865,57658.6708825722
2017,46997.3454541962,58703.1440782154
2018,47826.8191172843,60127.2102775233
2019,48443.7320540283,61330.6459767318
2020,46303.21886247,59394.778327105
2021,48913.5189902522,62741.0018131151
2022,50546.7893728169,63720.7641611959
2023,50100.1913678873,65020.3529285737
