"earnings","height","weight"
28560.38671875,183,98.9
84054.75,178,107.5
84054.75,190,115.7
28560.38671875,183,103.9
84054.75,178,61.2
84054.75,178,85.3
44152.16015625,188,99.8
44152.16015625,173,63.5
84054.75,173,77.1
49430.109375,178,79.4
84054.75,170,136.1
84054.75,190,88.5
9857.505859375,180,77.1
84054.75,175,74.8
20305.509765625,180,79.4
28560.38671875,183,88.5
84054.75,175,99.8
84054.75,178,74.8
84054.75,183,104.3
38925.3359375,175,77.1
84054.75,188,131.5
84054.75,178,78
84054.75,180,79.4
44152.16015625,188,83.9
84054.75,178,90.7
84054.75,188,86.2
49430.109375,178,74.8
28560.38671875,175,79.4
84054.75,188,88.9
84054.75,188,108.9
84054.75,173,74.8
33712.96875,173,72.6
38925.3359375,180,106.6
84054.75,183,97.5
23362.873046875,170,77.1
12954.765625,180,79.4
84054.75,168,74.8
38925.3359375,173,74.8
84054.75,188,97.5
33712.96875,190,93
49430.109375,185,95.3
11953.455078125,190,88.5
84054.75,173,89.8
84054.75,183,104.3
84054.75,173,117.9
33712.96875,175,61.2
84054.75,173,68
84054.75,185,97.5
84054.75,185,79.4
23362.873046875,185,86.2
28560.38671875,170,90.7
84054.75,173,74.8
44152.16015625,173,115.7
84054.75,178,68
33712.96875,178,67.6
20305.509765625,157,63.5
44152.16015625,173,70.3
84054.75,175,97.5
28560.38671875,180,104.3
23362.873046875,175,74.8
28560.38671875,188,95.3
38925.3359375,175,90.7
84054.75,183,93
84054.75,180,227.2
84054.75,180,101.6
84054.75,188,99.8
84054.75,180,90.7
84054.75,180,95.3
84054.75,173,77.1
49430.109375,180,81.6
84054.75,183,102.1
84054.75,180,86.2
23362.873046875,165,77.1
84054.75,188,117.9
33712.96875,180,96.6
84054.75,193,97.5
84054.75,173,68.9
84054.75,188,98.4
84054.75,183,74.8
84054.75,183,72.6
38925.3359375,193,81.6
44152.16015625,180,83
49430.109375,178,81.6
84054.75,183,99.8
28560.38671875,190,122.5
84054.75,132,77.1
84054.75,185,90.7
84054.75,178,88
33712.96875,185,77.1
84054.75,180,99.8
44152.16015625,178,81.6
49430.109375,173,108
84054.75,188,74.8
28560.38671875,183,95.3
28560.38671875,183,83.9
84054.75,185,93
84054.75,173,99.8
23362.873046875,183,81.2
84054.75,185,77.1
