nkids,hsize,hinc,foodexp
1,2,20.53,5.53
0,2,17.33,4.74
0,2,58.29,13.87
0,2,28.34,6.95
2,4,33.12,10.01
1,3,42.64,11.38
2,4,22.25,6.43
0,1,16.44,4.92
0,2,24.4,7.12
0,2,25.85,8.31
0,2,18.85,5.09
0,2,58.1,13.02
3,5,47.37,13.44
0,2,32.34,8.41
2,4,73.76,19.28
0,2,26.33,7.16
2,5,35.9,10.58
0,2,27.03,8.61
0,2,27.18,7.43
2,4,26.56,7.62
0,2,13.76,4.1
3,5,36.25,9.31
1,3,17.77,5.51
0,2,13.5,4.07
0,2,38,10.28
5,7,21,6.29
2,4,21.72,6.54
0,1,23.65,6.67
0,2,23.65,6.57
0,1,39.73,9.56
2,4,27.81,8.17
2,4,17.48,4.99
0,3,30.71,11.3
0,1,26.72,7.48
0,2,16.73,5.36
2,4,77.14,17.56
1,2,18.73,4.74
1,3,29.18,9.17
0,1,23.04,6.81
1,3,38.26,11.28
0,1,10.9,3.05
0,2,50.79,12.46
1,4,54.09,15.54
2,4,22.56,7.03
0,1,13.03,4.36
0,2,21.64,6.28
0,3,37.78,9.71
4,6,65.61,16.76
0,2,20.42,5.77
2,5,53.96,13.15
0,1,13.99,4.1
1,3,21.3,5.08
2,4,35.42,9.59
0,1,23.62,6.11
2,4,40.42,9.45
0,2,25.7,6.84
1,3,28.08,8.02
2,4,83.38,20.19
2,4,55.88,17.39
2,4,60.5,14.78
0,2,15.97,4.82
1,3,23.05,5.84
0,1,57.93,14.42
0,1,17.12,5.16
0,2,16.73,4.59
0,1,13.43,3.46
0,2,30.03,7.43
1,2,41.27,9.83
2,4,28.51,8.58
1,3,13.58,4.48
2,4,17.75,5.7
0,1,16.91,4.39
4,6,34.05,9.63
0,2,17.61,6.13
0,2,28.32,7.88
0,2,29.22,7
0,3,41.6,14.25
0,1,58.71,14.08
0,3,21.84,6.38
2,4,48.6,14.61
3,5,31.72,9.41
2,4,24.96,8.29
0,1,17.57,4.68
0,1,19.55,5.19
0,1,15.13,4.51
0,2,30.32,9.66
3,6,24.26,6.92
0,1,24.46,6.65
1,3,28.57,7.94
2,5,42.56,13.37
0,2,25.9,7.74
2,4,61.75,15.33
1,3,43.3,11.31
0,1,27.45,7.55
1,2,49.7,11.84
0,1,29.37,6.05
0,2,39.94,9.61
0,2,31.01,8.76
0,2,31.64,8.22
0,2,43.99,12.84
0,2,25.22,7.54
5,7,30.34,9.39
0,2,28.25,8.27
2,4,27.96,8.65
0,1,20.65,6.13
0,1,19.42,4.9
0,2,36.74,11.52
2,4,32.07,7.74
0,2,14.15,4.29
3,5,29.6,8.29
2,4,27.13,9.09
4,6,47.4,12.08
0,2,18.18,5.43
1,3,30.29,7.88
2,4,39.81,12.27
0,1,19.17,5.07
1,3,23.04,6.81
0,2,29.35,8.59
0,1,55.18,14.05
0,2,26.15,7.54
3,5,18.99,6.19
0,2,15.89,4.7
0,2,73.97,16.2
1,3,18.55,5.56
3,5,24.71,6.9
2,4,19.17,6.2
0,2,22.52,6.98
0,1,17.61,4.62
3,5,28.84,8.6
3,5,28.64,8.72
1,3,42.23,11.05
0,2,38.89,10.17
0,2,45.24,12.83
0,2,27.74,7.76
0,3,24.32,6.5
0,2,22.95,7.11
0,2,41.59,10.37
0,2,21.37,6.63
1,3,22.63,7.13
0,1,23.26,6.4
0,3,36.82,11.55
1,3,44.98,12.98
0,2,12.67,3.74
0,2,80.15,17.66
0,2,23.49,7.05
0,1,34.04,8.79
0,2,27.97,9.34
0,2,37.48,8.95
0,2,33,9.68
2,4,15.95,4.73
2,4,70.43,18
1,3,22.39,6.5
0,2,36.42,11.55
0,2,24.14,6.12
0,2,32.03,8.8
0,3,31.01,8.61
1,3,19.98,6.84
0,2,33.41,9.27
1,4,24.13,8.45
2,5,22.91,6.91
1,3,36.51,10.01
0,1,12.93,3.85
1,4,45.13,11.78
1,3,27.88,7.92
0,2,15.95,4.56
2,5,64.87,19.98
0,1,14.27,4.45
0,2,38.47,8.65
1,3,27.64,7.88
0,3,34.64,10.57
3,5,23.22,6.72
2,4,25.92,7.37
0,2,40.13,10.15
0,2,80.75,20.88
0,2,41.39,9.25
0,2,14.73,4.01
0,1,14.64,4.34
1,4,55.36,14.63
3,5,22.45,7.06
0,1,47.56,11.78
0,2,38.09,10.77
2,4,24.59,7.56
2,4,59.99,16.55
2,3,19.63,4.73
3,5,18.05,5.69
0,2,27.67,9.02
0,2,16.22,4.89
0,3,44.68,14.78
0,2,29.33,8.2
1,3,13.57,3.5
0,2,45.63,12.49
0,2,34.5,9.91
2,4,37.93,10.94
4,6,21.26,6.41
2,4,17.36,5.46
0,1,15.76,5.8
3,5,21.5,6.95
0,1,28.4,6.98
0,1,17.6,5.7
4,6,34.59,11.94
0,2,37.77,10.52
0,1,38.54,10.34
0,3,16.81,5.19
1,2,27.78,7.88
0,1,42.4,12.36
1,4,54.24,14.29
0,2,13.28,3.51
1,3,20.7,5.57
0,3,25.15,7.21
0,1,34.13,10.89
1,4,60.23,18.08
0,2,15.34,4.78
2,4,35.03,10.86
0,2,19.01,5.85
0,2,20.72,6.06
2,4,40.28,10.58
3,5,35.01,10.12
2,4,15.67,5.33
2,4,25.26,6.99
2,4,41.68,13.05
1,2,14.5,4.47
0,2,16.22,4.91
0,2,56.13,12.29
0,2,26.06,7.47
0,1,17.07,4.27
1,4,30.73,9.69
1,3,35.74,8.47
0,1,30.48,8.07
0,2,17.9,5.2
1,3,26.41,9.13
0,2,35.87,9.41
2,4,62.62,17.05
2,4,33.82,9.08
0,2,25.45,7.07
1,3,26.14,7.84
2,3,40.93,11.14
1,3,54.54,14.19
0,2,18.25,5.37
2,4,35.69,9.46
0,1,28.03,7.85
0,2,26.27,6.88
2,4,32.75,9.4
2,4,36.73,10.52
3,5,16.87,5.08
1,2,25.88,7.91
1,2,28.29,7.98
0,2,25.62,6.8
0,3,31.42,10.01
1,3,40.17,9.74
0,1,18.24,5.16
0,2,54.64,12.55
0,1,18.3,5.34
0,1,35.14,9.65
0,1,26.76,6.76
0,2,33.37,10.08
0,2,15.02,4.93
0,1,27.48,6.59
2,4,15.55,5.28
0,2,13.61,4.03
1,3,29.79,8.42
0,2,16.5,5.01
0,2,27.21,7.17
0,2,12.96,3.78
2,5,40.88,11.2
0,1,21.76,5.88
0,1,26.82,7.6
0,2,38.24,10.72
2,4,34.26,9.53
3,5,25.2,7.51
0,1,32.77,7.73
0,1,21.64,6.34
0,2,35.76,10.26
0,2,17.94,5.64
0,2,12.52,3.81
2,4,21.43,7.25
5,7,62.63,18.78
2,4,40.95,13.22
0,1,25.68,7.93
0,2,46.71,11.93
0,2,20.85,7.25
4,6,22.86,7.33
0,1,14.66,4.47
1,2,39.17,9.15
0,2,42.47,9.75
0,1,17.68,4.82
2,4,23.97,7.07
0,1,21.13,5.61
0,2,30.46,8.48
0,2,16.92,4.71
2,4,19.39,5.63
0,2,16.34,4.83
1,3,25.21,8.41
2,4,34.72,10.06
3,5,36.82,9.9
2,4,19.18,6.22
2,4,24.96,6.87
0,1,12.82,3.65
3,5,22.94,6.95
4,6,27.71,8.91
3,5,27.03,8.27
