"year","gdp","exports"
1969,262.426576726428,62.9775138660249
1970,278.540044641616,70.1509119095304
1971,290.564563677776,77.6205709755777
1972,300.832750436385,85.293750210178
1973,317.210756181547,95.2275342216046
1974,328.118739110483,97.947989930105
1975,328.125396187827,95.0433362200417
1976,342.747679887529,103.784345055479
1977,351.386430467402,102.373882340837
1978,360.860676429789,106.687710621076
1979,368.129009943781,115.006224714354
1980,373.068985166768,117.943863133143
1981,370.145572922263,121.321271409798
1982,365.552967323612,120.050418702183
1983,373.119759805182,122.785030685655
1984,384.543489815709,132.288917284916
1985,394.465403148719,138.184748958305
1986,405.459058225018,141.013476482237
1987,413.289480955017,146.351632581898
1988,427.511676525385,159.378410116571
1989,446.408196647337,173.103537254862
1990,465.082446942397,182.898734230146
1991,476.426432932937,194.984814589042
1992,484.554605651777,200.724000794481
1993,490.648132551043,208.689769673468
1994,505.176677944667,226.782326769258
1995,520.918165020581,247.666307346571
1996,539.143748273904,257.933091680886
1997,562.483569063842,282.892381895264
1998,588.717336764449,301.842803262956
1999,618.353650975274,329.047563388819
2000,644.297559542718,369.944599085794
2001,659.290074379866,375.393218288845
2002,660.722537625617,377.822628794903
2003,661.750925152705,384.779280166686
2004,674.886321780345,416.380251014431
2005,688.727404110835,440.364484657834
2006,712.564183491074,471.951326968429
2007,739.44810799338,497.223902571142
2008,755.496534043895,505.263097903718
2009,727.793352989741,461.599572808411
2010,737.565720627788,506.502154190914
2011,749.006761258435,532.633486113894
2012,741.289340197321,549.990897720561
2013,740.324364660471,563.62174732951
2014,750.862107575857,589.246308130183
2015,765.572770634375,632.81400570664
2016,782.351934079297,643.371020860937
2017,805.125436190089,685.188418581431
2018,824.133764145055,714.859920993582
2019,840.250428566882,729.013392225992
2020,807.59759178977,697.436938284591
2021,857.602880650928,752.936946609406
2022,894.727808846024,786.900956902091
2023,895.765770359845,774.8329260989
