year,month,rate,ecb,rate_chg,ecb_chg,ecb_chg_lag
2015,2,2.65,-0.2,0.0800000000000001,0,0
2015,3,2.57,-0.2,-0.0800000000000001,0,0
2015,4,2.6,-0.2,0.0300000000000003,0,0
2015,5,2.57,-0.2,-0.0300000000000003,0,0
2015,6,2.59,-0.2,0.02,0,0
2015,7,2.53,-0.2,-0.0600000000000001,0,0
2015,8,2.55,-0.2,0.02,0,0
2015,9,2.62,-0.2,0.0700000000000003,0,0
2015,10,2.61,-0.2,-0.0100000000000002,0,0
2015,11,2.63,-0.2,0.02,0,0
2015,12,2.5,-0.2,-0.13,0,0
2016,1,2.52,-0.3,0.02,-0.1,0
2016,2,2.52,-0.3,0,0,-0.1
2016,3,2.41,-0.3,-0.11,0,0
2016,4,2.38,-0.4,-0.0300000000000003,-0.1,0
2016,5,2.39,-0.4,0.0100000000000002,0,-0.1
2016,6,2.34,-0.4,-0.0500000000000003,0,0
2016,7,2.38,-0.4,0.04,0,0
2016,8,2.3,-0.4,-0.0800000000000001,0,0
2016,9,2.32,-0.4,0.02,0,0
2016,10,2.28,-0.4,-0.04,0,0
2016,11,2.22,-0.4,-0.0599999999999996,0,0
2016,12,2.22,-0.4,0,0,0
2017,1,2.3,-0.4,0.0799999999999996,0,0
2017,2,2.26,-0.4,-0.04,0,0
2017,3,2.3,-0.4,0.04,0,0
2017,4,2.33,-0.4,0.0300000000000003,0,0
2017,5,2.34,-0.4,0.00999999999999979,0,0
2017,6,2.28,-0.4,-0.0600000000000001,0,0
2017,7,2.22,-0.4,-0.0599999999999996,0,0
2017,8,2.26,-0.4,0.0399999999999996,0,0
2017,9,2.26,-0.4,0,0,0
2017,10,2.17,-0.4,-0.0899999999999999,0,0
2017,11,2.21,-0.4,0.04,0,0
2017,12,2.16,-0.4,-0.0499999999999998,0,0
2018,1,2.17,-0.4,0.00999999999999979,0,0
2018,2,2.17,-0.4,0,0,0
2018,3,2.13,-0.4,-0.04,0,0
2018,4,2.14,-0.4,0.0100000000000002,0,0
2018,5,2.1,-0.4,-0.04,0,0
2018,6,2.12,-0.4,0.02,0,0
2018,7,2.12,-0.4,0,0,0
2018,8,2.09,-0.4,-0.0300000000000003,0,0
2018,9,2.08,-0.4,-0.00999999999999979,0,0
2018,10,2.08,-0.4,0,0,0
2018,11,2.09,-0.4,0.00999999999999979,0,0
2018,12,2.08,-0.4,-0.00999999999999979,0,0
2019,1,2.08,-0.4,0,0,0
2019,2,2.08,-0.4,0,0,0
2019,3,2.09,-0.4,0.00999999999999979,0,0
2019,4,2.04,-0.4,-0.0499999999999998,0,0
2019,5,2.03,-0.4,-0.0100000000000002,0,0
2019,6,2.04,-0.4,0.0100000000000002,0,0
2019,7,2.03,-0.4,-0.0100000000000002,0,0
2019,8,2.02,-0.4,-0.00999999999999979,0,0
2019,9,2.01,-0.4,-0.0100000000000002,0,0
2019,10,1.92,-0.5,-0.0899999999999999,-0.1,0
2019,11,1.89,-0.5,-0.03,0,-0.1
2019,12,1.9,-0.5,0.01,0,0
2020,1,1.92,-0.5,0.02,0,0
2020,2,1.93,-0.5,0.01,0,0
2020,3,1.88,-0.5,-0.05,0,0
2020,4,1.91,-0.5,0.03,0,0
2020,5,1.93,-0.5,0.02,0,0
2020,6,1.95,-0.5,0.02,0,0
2020,7,1.95,-0.5,0,0,0
2020,8,1.92,-0.5,-0.03,0,0
2020,9,1.93,-0.5,0.01,0,0
2020,10,1.93,-0.5,0,0,0
2020,11,1.93,-0.5,0,0,0
2020,12,1.91,-0.5,-0.02,0,0
2021,1,1.89,-0.5,-0.02,0,0
2021,2,1.86,-0.5,-0.0299999999999998,0,0
2021,3,1.84,-0.5,-0.02,0,0
2021,4,1.84,-0.5,0,0,0
2021,5,1.82,-0.5,-0.02,0,0
2021,6,1.84,-0.5,0.02,0,0
2021,7,1.85,-0.5,0.01,0,0
2021,8,1.84,-0.5,-0.01,0,0
2021,9,1.84,-0.5,0,0,0
2021,10,1.82,-0.5,-0.02,0,0
2021,11,1.85,-0.5,0.03,0,0
2021,12,1.84,-0.5,-0.01,0,0
2022,1,1.85,-0.5,0.01,0,0
2022,2,1.85,-0.5,0,0,0
2022,3,1.89,-0.5,0.0399999999999998,0,0
2022,4,1.98,-0.5,0.0900000000000001,0,0
2022,5,2.1,-0.5,0.12,0,0
2022,6,2.28,-0.5,0.18,0,0
2022,7,2.44,-0.5,0.16,0,0
2022,8,2.64,0,0.2,0.5,0
2022,9,2.77,0,0.13,0,0.5
2022,10,3.23,0.75,0.46,0.75,0
2022,11,3.54,0.75,0.31,0,0.75
2022,12,3.73,1.5,0.19,0.75,0
2023,1,3.96,2,0.23,0.5,0.75
2023,2,4.06,2,0.0999999999999996,0,0.5
2023,3,4.3,2.5,0.24,0.5,0
2023,4,4.31,3,0.00999999999999979,0.5,0.5
2023,5,4.42,3,0.11,0,0.5
2023,6,4.57,3.25,0.15,0.25,0
2023,7,4.63,3.5,0.0599999999999996,0.25,0.25
2023,8,4.72,3.5,0.0899999999999999,0,0.25
2023,9,4.79,3.75,0.0700000000000003,0.25,0
2023,10,4.9,4,0.11,0.25,0.25
2023,11,5.09,4,0.19,0,0.25
2023,12,5.13,4,0.04,0,0
2024,1,5.16,4,0.0300000000000003,0,0
2024,2,5.17,4,0.00999999999999979,0,0
2024,3,5.18,4,0.00999999999999979,0,0
2024,4,5.2,4,0.0200000000000005,0,0
2024,5,5.17,4,-0.0300000000000003,0,0
2024,6,5.2,4,0.0300000000000003,0,0
2024,7,5.33,3.75,0.13,-0.25,0
