rating,length,year,comedy,action,drama,documentary,romance,horror,thriller
46,95,2018,0,0,1,0,0,0,0
34,104,2021,0,0,0,0,0,0,1
41,97,2008,0,0,0,1,0,0,0
14,102,2018,0,0,0,0,0,0,0
75,114,2018,0,0,1,0,0,0,1
50,80,2019,1,0,1,0,1,0,0
58,92,2021,0,1,1,0,0,1,1
57,92,2017,0,0,1,0,0,1,1
74,89,2017,0,0,1,0,0,0,0
40,160,2012,0,1,0,0,0,0,1
37,90,2017,0,0,1,0,0,0,0
44,75,2016,0,0,1,0,1,0,0
72,91,2017,0,0,0,0,0,1,0
60,90,2015,0,0,1,0,0,0,0
43,98,2013,0,0,1,0,0,0,1
72,139,2016,0,1,1,0,0,0,0
44,75,2019,0,0,0,1,0,0,0
52,84,2012,0,1,0,0,0,0,0
43,90,2015,0,0,0,0,0,0,0
40,122,2012,0,0,1,0,0,0,1
59,116,2018,1,0,1,0,0,0,0
38,91,1998,0,0,0,0,0,1,1
46,71,1998,0,0,1,0,1,0,0
51,108,2003,0,0,1,0,0,0,0
66,119,2001,0,0,1,0,0,0,0
72,156,2018,0,1,1,0,0,0,1
47,96,2013,0,0,1,0,0,0,0
54,100,2000,0,0,1,0,0,0,0
52,113,2021,0,1,1,0,1,0,0
39,130,2019,0,0,1,0,1,0,0
48,90,2013,0,0,1,0,0,0,0
74,95,2001,0,1,0,0,0,0,0
54,95,2018,1,0,1,0,0,0,0
38,150,2019,1,0,0,0,1,0,0
38,70,2018,0,1,1,0,0,0,0
58,90,2016,1,0,1,0,0,0,0
68,112,2009,0,0,1,0,0,0,1
55,120,2017,0,0,1,0,1,0,0
52,105,2015,1,1,1,0,0,0,0
49,112,2021,0,0,0,1,0,0,0
39,77,2018,0,0,0,0,0,1,1
59,81,2013,1,1,0,0,0,1,1
47,78,2020,0,0,0,0,0,0,0
35,88,2018,1,0,1,0,0,0,0
41,77,2020,1,0,1,0,1,0,0
47,86,2017,1,0,0,0,0,0,0
42,102,2006,1,0,0,0,0,0,0
50,107,2020,1,0,0,0,1,0,0
43,90,2016,0,0,0,0,0,1,1
61,139,2010,1,0,1,0,1,0,0
36,91,2006,0,0,1,0,0,0,0
45,93,2011,0,0,0,0,0,0,1
85,132,2014,0,1,0,0,0,0,1
42,95,2006,0,0,0,0,0,0,1
71,139,2008,1,1,0,0,0,0,0
49,93,2015,1,0,1,0,0,0,0
64,87,1998,0,0,0,1,0,0,0
78,109,2013,0,0,1,0,0,0,1
79,131,2001,0,0,1,0,0,0,0
52,80,2012,0,0,0,0,0,1,0
40,91,2012,0,0,0,0,0,0,0
68,153,2010,0,0,1,0,0,0,0
69,92,2016,0,0,0,1,0,0,0
44,110,2012,1,0,0,0,0,0,0
45,136,2019,0,1,1,0,1,0,0
68,109,2014,0,0,1,0,0,0,0
46,145,2010,1,0,1,0,1,0,0
68,112,2010,0,0,1,0,0,0,0
49,100,2018,1,0,0,0,1,0,0
63,108,2011,0,0,1,0,0,0,0
65,104,2007,1,0,1,0,1,0,0
54,95,2014,1,0,1,0,1,0,0
70,94,2009,1,0,0,0,0,0,0
52,166,2019,0,0,1,0,1,0,0
63,99,2019,0,0,1,0,1,0,0
83,137,2019,1,0,1,0,1,0,0
61,109,2017,0,1,0,0,0,0,1
60,97,2009,1,0,0,0,1,0,0
71,107,2005,0,0,1,0,0,0,0
49,90,2006,1,0,0,0,1,0,0
12,75,2007,0,0,0,0,0,0,0
70,105,2016,0,0,1,0,1,0,0
56,101,2018,0,0,1,0,0,0,0
67,78,2017,0,0,1,0,0,1,1
61,107,2019,0,0,1,0,1,0,1
50,92,2013,0,1,0,0,0,0,1
55,90,2020,1,0,0,0,0,0,0
52,103,2016,0,0,1,0,0,0,1
61,97,2020,0,0,1,0,0,0,0
85,144,2006,0,1,0,0,0,0,1
61,82,2018,0,0,0,1,0,0,0
78,102,1999,1,0,0,0,0,0,0
60,83,2020,0,0,0,1,0,0,0
