date,nodur,durbl,manuf,enrgy,hitec,telcm,shops,hlth,utils,other,mkt,smb,hml,rf
200001,-4.72,-1.27,-8.69,1.24,-5.25,-3.54,-11.11,7.59,6.03,-4.77,-4.33,5.77,-1.88,0.41
200002,-6.27,-8.27,-3.85,-5.41,18,-4.1,-3.93,-2.75,-7.16,-7.38,2.88,21.36,-9.59,0.43
200003,7.42,10.62,7.49,11.69,4.19,7.67,13.34,0.16,5.94,14.39,5.67,-17.2,8.13,0.47
200004,-1.95,8.83,1.42,-1.99,-10.5,-7.62,-4.46,5.26,7.48,-2.85,-5.94,-6.68,7.26,0.46
200005,7.08,-12.51,-1.69,9.38,-10.76,-10.76,-2.84,3.96,3.97,3.36,-3.92,-6.05,4.75,0.5
200006,2.2,-9.03,-1.23,-5.05,12.61,4.04,-2.23,11.55,-4.72,-3.11,5.04,12.84,-8.42,0.4
200007,0.72,4.86,-1.48,-2.58,-5.18,-7.46,-1.23,-6.47,4.21,5.34,-2.03,-3.07,8.31,0.48
200008,-2.08,5.36,7.38,8.74,12.68,-1.39,-2.39,3.46,11.76,9.24,7.53,-0.61,-1.39,0.5
200009,3.71,-4.31,-5.69,4.51,-14.82,-3.35,2.66,3.71,9.16,0.25,-4.94,-1.82,7.17,0.51
200010,7.74,2.47,3.51,-2.9,-7.48,-0.24,-1.83,2.08,-1.81,-1.29,-2.2,-3.88,5.71,0.56
200011,2.74,-11.53,-3.13,-2.53,-23.16,-15.46,-1.04,0.75,3.06,-6.02,-10.21,-3.41,12.3,0.51
200012,5.5,-0.18,6.95,7.69,-7.99,-4.57,5.66,3.51,6.6,7.13,1.69,0.73,7.61,0.5
200101,-2.2,13.4,-1.07,-3.37,16.03,14.38,6.43,-8.51,-10.77,0.07,3.67,6.68,-5.07,0.54
200102,0.13,-1.16,-3.91,0.04,-26.05,-9.85,-5.36,-0.55,6.16,-4.3,-9.67,-0.78,12.47,0.38
200103,-4.78,-2.87,-6.1,-0.14,-13.86,-5.79,-2.88,-8.57,1.24,-4.51,-6.84,0.25,6.42,0.42
200104,0.9,8.59,7.47,10.06,18.04,2.7,5.61,4.23,5.53,6.09,8.33,0.55,-4.67,0.39
200105,3.39,-1.62,2.19,0.09,-3.21,-1.38,1.61,2.81,0.24,3.63,1.04,2.5,3.36,0.32
200106,-1.53,3.73,-4.63,-7.52,1.4,-3.11,-2.59,-3.07,-6.05,-0.08,-1.66,6.24,-1.12,0.28
200107,-0.17,3.18,0.52,-2.23,-7.53,-0.56,4.58,2.31,-3.83,-2.2,-1.83,-4.19,5.21,0.3
200108,2.47,-11.23,-1.99,-3.52,-12.65,-9.3,-6.98,-3.09,0.52,-5.35,-6.15,2.48,2.31,0.31
200109,-2.98,-16.96,-12.8,-5.62,-18.98,-1.97,-9.52,-0.6,-6.58,-8,-8.97,-6.23,1.45,0.28
200110,1.26,1,3.88,4.73,15.73,-9.67,1.57,1.24,1.87,-0.97,2.68,7.48,-7.65,0.22
200111,2.19,15.48,8.43,-4.07,15.89,5.8,9.82,5.03,-1.54,7.3,7.71,-0.47,2.21,0.17
200112,1.92,-0.74,2.62,5.95,-0.64,2.54,4.33,-2.82,4.04,3.67,1.75,4.74,0.84,0.15
200201,1.46,2.94,1.54,-2.88,-0.5,-6.94,2.62,-2.41,-4.34,-1.68,-1.3,1.19,3.44,0.14
200202,4.27,3.16,4.42,5.46,-13.09,-2.21,-0.15,-0.46,-0.37,-0.25,-2.16,-1.01,2.16,0.13
200203,4.03,6.86,4.97,7.67,6.47,0.12,2.09,0.54,10.28,5.18,4.37,4.21,1.06,0.13
200204,2.47,1.8,-1.44,-4.54,-11.77,-12.96,-1.63,-7.52,-0.41,-2.82,-5.05,5.96,3.88,0.15
200205,1.25,-0.31,-0.28,-0.77,-3.74,3.2,-1.43,-2.27,-6.91,-0.52,-1.24,-3.21,1.53,0.14
200206,-5.85,-8.1,-3.06,-0.06,-12.13,-14.02,-5.1,-9.68,-5.8,-5.16,-7.08,4.29,-0.05,0.13
200207,-6.62,-12.18,-8.5,-11.83,-9.74,-11.79,-11.43,-2.57,-12.13,-6.38,-8.03,-5.28,-3.85,0.15
200208,2.24,0.57,-1.27,0.63,-0.94,0.14,1.85,0.63,3.41,1.14,0.64,-2.86,3.28,0.14
200209,-7.67,-10.93,-8.35,-8.11,-16.6,-9.63,-9.43,-5.88,-10.84,-10.6,-10.21,2.4,1.47,0.14
200210,5.06,-3.09,3.79,3.18,19.4,22.11,5.74,5.67,-0.62,6.37,7.98,-3.41,-3.95,0.14
200211,-1.09,11.9,6.26,3.01,16.24,11.76,1.89,3.78,1.57,4.21,6.08,3.18,-1.23,0.12
200212,-0.25,-7.17,-3.77,0.84,-12.91,-9.44,-6.97,-4.07,3.84,-4.79,-5.65,0.09,2.14,0.11
200301,-3.94,-3.16,-4.09,-2.5,-1.5,-4,-4.77,-0.61,-3.27,-2.38,-2.47,1.33,-0.83,0.1
200302,-2.88,-4.99,-2.26,1.94,1.17,-6.61,-1.22,-1.96,-3.97,-2.7,-1.79,-0.45,-1.39,0.09
200303,-2.59,-2.63,1.31,1.5,-0.95,-0.66,4.65,3.79,4.31,1.04,1.19,1.02,-1.93,0.1
200304,4.39,14.96,6.38,-0.47,9.18,11.5,8.99,4.39,7.31,11.63,8.32,0.63,1.14,0.1
200305,9.51,2.86,4.65,8.64,9.8,6.29,3.49,3.94,10.12,5.23,6.14,4.67,0.4,0.09
200306,1.64,2.84,0.5,-0.96,0.35,1.91,3.44,4.15,0.74,0.91,1.52,1.74,0.11,0.1
200307,-1.68,6.6,4.98,-2.62,5.62,-1.93,3.29,0.48,-5.15,3.59,2.42,5.06,-1.24,0.07
200308,0.3,7.85,4.13,6.18,6.07,1.16,6.74,-2.82,1.92,0.64,2.41,2.59,1.53,0.07
200309,1.13,-4.15,-3.75,-2.18,-0.91,-5.64,-4.54,0.29,3.85,0.26,-1.16,0.8,0.16,0.08
200310,5.94,6.99,8.92,1.64,8.28,6.81,9.02,0.87,1.51,6.34,6.15,2.7,1.97,0.07
200311,3.61,3.08,2.07,0.65,1.85,-0.68,0.54,1.83,0.95,1.15,1.42,2.08,1.78,0.07
200312,3.44,12.27,6.73,13.6,2.16,7.64,-2.13,5.65,5.85,4.27,4.37,-2.68,1.6,0.08
200401,0.06,-1.18,-0.64,0.23,4.51,1.4,0.45,3.09,1.91,2.9,2.22,2.55,2.49,0.07
200402,4.25,-0.08,1.97,4.53,-2.92,-0.49,6.09,0.9,2.11,2.13,1.46,-1.58,0.9,0.06
200403,-0.09,-1.19,-0.3,0.02,-2.51,-2.06,0.29,-3.92,1.14,-0.64,-1.23,1.72,0.27,0.09
200404,1.42,2.28,-0.14,2.66,-4.89,-0.48,-2.7,3.52,-3.56,-3.81,-1.75,-1.68,-3.1,0.08
