price,age,odometer,state_ca,state_fl,state_ny,state_tx
12995,9,80410,1,0,0,0
18590,4,14317,1,0,0,0
8900,5,67000,1,0,0,0
15990,6,45728,1,0,0,0
10999,7,118661,1,0,0,0
5700,12,146000,1,0,0,0
18995,1,11479,1,0,0,0
18995,1,17977,1,0,0,0
17995,1,12019,1,0,0,0
10995,6,91564,1,0,0,0
8250,8,81300,1,0,0,0
12995,9,80410,1,0,0,0
14995,6,91103,1,0,0,0
17495,2,18838,1,0,0,0
18590,4,14317,1,0,0,0
23995,0,1236,1,0,0,0
14990,7,66499,1,0,0,0
8995,9,133713,1,0,0,0
17960,2,22518,1,0,0,0
10595,8,83000,1,0,0,0
8300,11,78000,1,0,0,0
8495,12,149726,1,0,0,0
11498,5,92310,1,0,0,0
10500,6,96955,1,0,0,0
18995,1,32149,1,0,0,0
17990,3,19632,1,0,0,0
10595,8,83000,1,0,0,0
10500,6,96955,1,0,0,0
8995,11,101908,1,0,0,0
11890,4,99329,1,0,0,0
8500,8,106000,1,0,0,0
14985,5,66813,1,0,0,0
12995,5,86168,1,0,0,0
7900,10,108000,1,0,0,0
18590,4,14317,1,0,0,0
16590,6,46490,1,0,0,0
11995,4,66313,1,0,0,0
15991,7,91243,1,0,0,0
14500,4,85790,1,0,0,0
1000,14,110688,1,0,0,0
14985,5,66813,1,0,0,0
10500,6,96955,1,0,0,0
8995,11,101908,1,0,0,0
12500,8,54295,1,0,0,0
12995,5,86168,1,0,0,0
6995,13,114000,1,0,0,0
7995,11,105000,1,0,0,0
7995,11,113000,1,0,0,0
17700,1,30297,1,0,0,0
9899,7,102206,1,0,0,0
17990,3,19632,1,0,0,0
14995,6,57930,1,0,0,0
10900,7,0,1,0,0,0
13900,6,0,1,0,0,0
4700,11,113000,1,0,0,0
27000,2,49700,1,0,0,0
3800,16,123000,1,0,0,0
11950,8,90300,1,0,0,0
11985,6,101699,1,0,0,0
6789,11,117000,1,0,0,0
12900,6,55801,1,0,0,0
3995,14,124683,1,0,0,0
18011,3,24895,1,0,0,0
8999,5,83473,1,0,0,0
11985,6,101699,1,0,0,0
16590,7,39024,1,0,0,0
5997,17,139000,1,0,0,0
2495,2,52583,1,0,0,0
12999,6,99737,1,0,0,0
1000,6,114000,1,0,0,0
12998,7,87536,1,0,0,0
8500,7,45000,1,0,0,0
15999,3,40000,1,0,0,0
4100,18,136184,1,0,0,0
8900,8,90000,1,0,0,0
14995,2,52583,1,0,0,0
8400,6,101785,1,0,0,0
5997,17,139000,1,0,0,0
1000,6,114000,1,0,0,0
15495,5,56514,1,0,0,0
4000,17,140000,1,0,0,0
18590,4,21032,1,0,0,0
17990,3,35517,1,0,0,0
16992,3,6802,1,0,0,0
8000,11,107930,1,0,0,0
10995,4,120414,1,0,0,0
12999,4,92671,1,0,0,0
5997,17,139000,1,0,0,0
10995,4,120414,1,0,0,0
12999,4,92671,1,0,0,0
2950,4,109215,1,0,0,0
2950,4,109215,1,0,0,0
6500,10,137328,1,0,0,0
16500,1,25413,1,0,0,0
10995,4,120414,1,0,0,0
12999,4,92671,1,0,0,0
21990,2,16493,1,0,0,0
5997,17,139000,1,0,0,0
5997,17,139000,1,0,0,0
12538,8,64238,1,0,0,0
9938,13,53454,1,0,0,0
11438,6,125515,1,0,0,0
10222,8,114082,1,0,0,0
8188,13,112005,1,0,0,0
8999,12,119000,1,0,0,0
23995,1,16498,1,0,0,0
12995,5,86168,1,0,0,0
12500,8,54295,1,0,0,0
8999,11,144852,1,0,0,0
11498,5,92310,1,0,0,0
6500,13,113814,1,0,0,0
7300,8,75000,1,0,0,0
15990,6,45728,1,0,0,0
12995,5,86168,1,0,0,0
17995,4,48024,1,0,0,0
7999,12,146230,1,0,0,0
12500,8,54295,1,0,0,0
15991,7,91243,1,0,0,0
11498,5,92310,1,0,0,0
12995,5,87000,1,0,0,0
12995,5,86168,1,0,0,0
11498,5,92310,1,0,0,0
12500,8,54295,1,0,0,0
17995,3,21161,1,0,0,0
17995,3,21161,1,0,0,0
19691,2,19468,1,0,0,0
9500,8,126047,1,0,0,0
17999,0,6897,1,0,0,0
19991,3,31848,1,0,0,0
9500,9,90574,1,0,0,0
14990,7,66499,1,0,0,0
7999,12,129029,1,0,0,0
17990,3,19632,1,0,0,0
16900,3,95980,1,0,0,0
11985,6,101699,1,0,0,0
19500,2,25538,1,0,0,0
5997,17,139000,1,0,0,0
7998,12,128815,1,0,0,0
19500,1,12000,1,0,0,0
5997,17,139000,1,0,0,0
2900,20,105382,1,0,0,0
4995,15,106000,1,0,0,0
21590,1,5336,1,0,0,0
7900,8,140123,1,0,0,0
11950,8,90300,1,0,0,0
9275,10,90527,1,0,0,0
5997,17,139000,1,0,0,0
14700,4,35880,1,0,0,0
5997,17,139000,1,0,0,0
5997,17,139000,1,0,0,0
3995,14,124683,1,0,0,0
6600,13,94750,1,0,0,0
5997,17,139000,1,0,0,0
11985,6,101699,1,0,0,0
18990,4,16947,1,0,0,0
10900,7,0,1,0,0,0
13900,6,0,1,0,0,0
5997,17,139000,1,0,0,0
7395,12,71698,1,0,0,0
9995,8,144000,1,0,0,0
5997,17,139000,1,0,0,0
5997,17,139000,1,0,0,0
18590,4,14317,1,0,0,0
7995,15,50882,1,0,0,0
7750,12,113178,1,0,0,0
7995,11,136649,1,0,0,0
8980,16,55000,1,0,0,0
3995,14,124683,1,0,0,0
5000,11,107000,1,0,0,0
6300,11,14400,1,0,0,0
7900,8,131000,1,0,0,0
11000,4,146450,1,0,0,0
11500,6,82000,1,0,0,0
7500,9,87000,1,0,0,0
10999,8,27980,1,0,0,0
7500,20,129000,1,0,0,0
7995,11,136649,1,0,0,0
5200,17,65114,1,0,0,0
7900,10,102000,1,0,0,0
11999,8,27980,1,0,0,0
7900,10,102000,1,0,0,0
8495,12,149726,1,0,0,0
11995,5,79805,1,0,0,0
8995,9,133713,1,0,0,0
20999,2,5490,1,0,0,0
20590,1,1688,1,0,0,0
9900,9,127798,1,0,0,0
20999,2,5490,1,0,0,0
6850,12,122000,1,0,0,0
850,18,0,1,0,0,0
13500,5,82000,1,0,0,0
21500,1,23000,1,0,0,0
9995,7,94703,1,0,0,0
12995,7,44365,1,0,0,0
17991,4,44469,1,0,0,0
2200,22,131067,1,0,0,0
9123,9,120806,1,0,0,0
16991,5,48116,1,0,0,0
10950,3,77312,1,0,0,0
15991,7,91243,1,0,0,0
7900,9,120000,1,0,0,0
21590,1,16759,1,0,0,0
7999,8,126000,1,0,0,0
6900,14,105000,1,0,0,0
12538,8,64238,1,0,0,0
7900,9,120000,1,0,0,0
18990,4,16947,1,0,0,0
18590,4,21032,1,0,0,0
