wage,educ,exper
3.1,11,2
3.24,12,22
3,11,2
6,8,44
5.3,12,7
8.75,16,9
11.25,18,15
5,12,5
3.6,12,26
18.18,17,22
6.25,16,8
8.13,13,3
8.77,12,15
5.5,12,18
22.2,12,31
17.33,16,14
7.5,12,10
10.63,13,16
3.6,12,13
4.5,12,36
6.88,12,11
8.48,12,29
6.33,16,9
0.53,12,3
6,11,37
9.56,16,3
7.78,16,11
12.5,16,31
12.5,15,30
3.25,8,9
13,14,23
4.5,14,2
9.68,13,16
5,12,7
4.68,12,3
4.27,16,22
6.15,12,15
3.51,4,39
3,14,3
6.25,12,11
7.81,12,3
10,12,20
4.5,14,16
4,11,45
6.38,13,11
13.7,15,20
1.67,10,1
2.93,12,36
3.65,14,9
2.9,12,15
1.63,12,18
8.6,16,3
5,12,15
6,12,7
2.5,12,2
3.25,15,3
3.4,16,1
10,8,13
21.63,18,8
4.38,16,7
11.71,13,40
12.39,14,42
6.25,10,36
3.71,10,13
7.78,14,9
19.98,14,26
6.25,16,7
10,12,25
5.71,16,10
2,12,3
5.71,16,3
13.08,17,17
4.91,12,17
2.91,12,20
3.75,12,7
11.9,13,24
4,12,28
3.1,12,2
8.45,12,19
7.14,18,13
4.5,9,22
4.65,16,3
2.9,10,4
6.67,12,7
3.5,12,6
3.26,12,13
3.25,12,14
8,12,14
9.85,8,40
7.5,12,11
5.91,12,14
11.76,14,40
3,12,1
4.81,12,2
6.5,12,4
4,9,19
3.5,13,1
13.16,12,34
4.25,14,5
3.5,12,3
5.13,15,6
3.75,12,14
4.5,12,35
7.63,12,8
15,14,7
6.85,15,11
13.33,12,14
6.67,12,35
2.53,12,46
9.8,17,7
3.37,11,45
24.98,18,29
5.4,12,6
6.11,14,15
4.2,14,33
3.75,10,15
3.5,14,5
3.64,12,7
3.8,15,6
3,8,33
5,16,2
4.63,14,4
3,15,1
3.2,12,29
3.91,18,17
6.43,16,17
5.48,10,36
1.5,8,31
2.9,10,23
5,11,13
8.92,18,3
5,15,15
3.52,12,48
2.9,11,6
4.5,12,12
2.25,12,5
5,14,19
10,16,9
3.75,2,39
10,14,28
10.95,16,23
7.9,12,2
4.72,12,15
5.84,13,5
3.83,12,18
3.2,15,2
2,10,3
4.5,12,31
11.55,16,20
2.14,13,34
2.38,9,5
3.75,12,11
5.52,13,31
6.5,12,8
3.1,12,2
10,14,18
6.63,16,3
10,16,3
2.31,9,4
6.88,18,4
2.83,10,1
3.13,10,1
8,13,28
4.5,12,47
8.65,18,13
2,13,2
4.75,12,48
6.25,13,6
6,13,8
15.38,13,25
14.58,18,13
12.5,12,8
5.25,12,19
2.17,13,1
7.14,12,43
6.22,12,19
9,12,11
10,14,43
5.77,10,44
4,12,22
8.75,16,3
6.53,16,3
7.6,12,41
5,14,5
5,12,14
21.86,12,24
8.64,12,28
3.3,12,25
4.44,12,3
4.55,12,11
3.5,12,7
6.25,16,9
3.85,16,5
6.18,14,9
2.91,11,1
6.25,16,2
6.25,12,13
9.05,12,10
10,17,5
11.11,12,30
6.88,12,31
8.75,16,1
10,8,9
3.05,12,10
3,12,38
5.8,12,19
4.1,16,5
8,12,26
6.15,12,35
2.7,9,2
2.75,13,1
3,16,19
3,14,3
7.36,8,36
7.5,14,29
3.5,13,1
8.1,12,38
3.75,18,1
3.25,9,29
5.83,8,36
3.5,8,4
3.33,12,45
4,14,22
3.5,12,20
6.25,16,5
2.95,8,15
5.71,13,10
3,9,3
22.86,16,16
9,12,38
8.33,15,33
3,11,2
5.75,14,6
6.76,12,19
10,12,29
3,12,2
3.5,18,3
3.25,12,4
4,12,10
2.92,12,4
3.06,12,14
3.2,12,15
4.75,12,19
3,14,17
18.16,16,29
3.5,12,2
4.11,14,5
1.96,11,38
4.29,12,3
3,10,47
6.45,12,7
5.2,6,47
4.5,13,23
3.88,12,12
3.45,10,11
10.91,12,25
4.1,14,6
3,13,3
5.9,12,14
18,18,13
4,12,9
3,12,1
3.55,12,6
3,12,11
8.75,12,47
2.9,8,49
6.26,13,37
3.5,13,2
4.6,14,7
6,12,22
2.89,10,8
5.58,16,1
4,12,43
6,16,2
4.5,12,2
2.92,14,1
4.33,18,1
18.89,17,26
4.28,13,1
4.57,14,37
6.25,15,12
2.95,14,41
8.75,12,24
8.5,8,38
3.75,12,18
3.15,12,26
5,8,45
6.46,12,27
2,9,2
4.79,12,41
5.78,16,11
3.18,12,5
4.68,16,3
4.1,12,3
2.91,12,4
6,13,21
3.6,10,34
3.95,6,49
7,12,6
3,12,26
6.08,16,9
8.63,12,23
3,8,33
3.75,12,5
2.9,6,49
3,4,48
6.25,11,35
3.5,11,23
3,7,26
3.24,12,16
8.02,18,23
3.33,12,36
5.25,16,4
6.25,12,10
3.5,14,18
2.95,12,3
3,10,7
4.69,10,7
3.73,9,33
4,10,34
4,12,8
2.9,12,17
3.05,12,2
5.05,10,5
13.95,16,41
18.16,16,35
6.25,16,11
5.25,12,4
4.79,12,12
3.35,7,35
3,8,33
8.43,16,8
5.7,16,2
11.98,18,8
3.5,13,29
4.24,10,14
7,16,26
6,14,11
12.22,16,10
4.5,12,13
3,9,23
2.9,11,1
15,11,35
4,12,5
5.25,11,13
4,12,22
3.3,12,21
5.05,12,19
3.58,12,13
5,14,15
4.57,14,3
12.5,18,6
3.45,12,6
4.63,12,16
10,12,31
2.92,11,1
4.51,12,5
6.5,17,3
7.5,16,11
3.54,13,6
4.2,13,11
3.51,12,7
4.5,14,5
3.35,14,5
2.91,11,2
5.25,10,44
4.05,8,44
3.75,14,13
3.4,12,26
3,10,2
6.29,17,10
2.54,9,2
4.5,12,35
3.13,12,6
6.36,14,8
4.68,16,1
6.8,12,14
8.53,10,14
4.17,0,22
3.75,14,8
11.1,15,1
3.26,16,15
9.13,12,14
4.5,11,37
3,11,1
8.75,12,4
4.14,13,29
2.87,12,45
3.35,13,22
6.08,16,42
3,15,9
4.2,16,8
5.6,15,31
10,12,24
12.5,18,16
3.76,6,6
3.1,6,14
4.29,12,47
10.92,12,34
7.5,16,6
4.05,9,7
4.65,12,27
5,11,24
2.9,10,18
8,12,12
8.43,8,27
2.92,9,49
6.25,17,4
6.25,16,24
5.11,11,3
4,10,2
4.44,8,29
6.88,13,34
5.43,14,10
3,13,5
2.9,11,2
6.25,7,39
4.34,16,5
3.25,12,14
7.26,13,8
6.35,14,10
5.63,16,2
8.75,14,9
3.2,11,1
3,8,45
3,14,33
12.5,17,21
2.88,10,2
3.35,12,9
6.5,12,33
10.38,18,16
4.5,14,10
10,18,9
3.81,12,8
8.8,16,9
9.42,14,23
6.33,12,23
4,9,22
2.9,12,37
20,12,22
11.25,17,28
3.5,12,14
6,15,19
14.38,17,10
6.36,16,25
3.55,12,21
3,15,32
4.5,16,21
6.63,12,36
9.3,15,2
3,12,11
3.25,12,40
1.5,12,11
5.9,12,9
8,16,23
2.9,11,1
3.29,14,30
6.5,14,41
4,13,6
6,14,11
4.08,12,43
3.75,12,39
3.05,8,50
3.5,12,26
2.92,3,51
4.5,11,3
3.35,15,3
5.95,11,15
8,12,17
3,4,36
5,9,31
5.5,12,9
2.65,12,42
3,11,3
4.5,12,37
17.5,16,23
8.18,13,21
9.09,15,11
11.82,16,35
3.25,12,42
4.5,12,3
4.5,12,13
3.71,9,14
6.5,10,14
2.9,12,39
5.6,11,11
2.23,8,28
5,6,18
8.33,16,6
2.9,12,26
6.25,12,21
4.55,16,34
3.28,12,17
2.3,10,2
3.3,13,5
3.15,13,1
12.5,14,40
5.15,16,39
3.13,10,1
7.25,12,14
2.9,12,2
1.75,11,2
2.89,0,42
2.9,5,34
17.71,16,10
6.25,16,4
2.6,9,4
6.63,15,21
3.5,12,31
6.5,12,20
3,12,36
4.38,13,7
10,12,15
4.95,7,25
9,17,7
1.43,12,17
3.08,12,3
9.33,14,12
7.5,12,18
4.75,13,47
5.65,12,2
15,16,14
2.27,10,2
4.67,15,13
11.56,16,5
3.5,14,5
